Age:3month
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals         0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
UB_Wall          0         0         0         0 8.868E-15 1.507E-12         0         0 9.334E-15         0         0
Bone_Sur         0         0         0         0 8.868E-15         0 5.226E-13 5.226E-13 9.334E-15 5.226E-14 3.136E-14
Brain            0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Breasts          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
St_Wall  1.479E-12         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
SI_Wall          0 7.723E-13         0         0 8.868E-15         0         0         0 9.334E-15         0         0
ULI_Wall         0         0 1.400E-12         0 8.868E-15         0         0         0 9.334E-15         0         0
LLI_Wall         0         0         0 2.246E-12 8.868E-15         0         0         0 9.334E-15         0         0
Kidneys          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Liver            0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
ET1-bas          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
ET2-bas          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
LN-ET            0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
BBi-bas          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
BBi-sec          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
bbe-sec          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
AI               0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
LN-Th            0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Muscle           0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Ovaries          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Pancreas         0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
R_Marrow         0         0         0         0 8.868E-15         0 3.336E-13         0 9.334E-15 2.335E-13         0
Skin             0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Spleen           0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Testes           0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Thymus           0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Thyroid          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
GB_Wall          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Ht_Wall          0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Uterus           0         0         0         0 8.868E-15         0         0         0 9.334E-15         0         0
Age:1year
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals         0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
UB_Wall          0         0         0         0 3.286E-15 6.030E-13         0         0 3.495E-15         0         0
Bone_Sur         0         0         0         0 3.286E-15         0 3.015E-13 3.015E-13 3.495E-15 3.015E-14 1.809E-14
Brain            0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Breasts          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
St_Wall  4.331E-13         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
SI_Wall          0 2.953E-13         0         0 3.286E-15         0         0         0 3.495E-15         0         0
ULI_Wall         0         0 5.463E-13         0 3.286E-15         0         0         0 3.495E-15         0         0
LLI_Wall         0         0         0 8.567E-13 3.286E-15         0         0         0 3.495E-15         0         0
Kidneys          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Liver            0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
ET1-bas          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
ET2-bas          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
LN-ET            0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
BBi-bas          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
BBi-sec          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
bbe-sec          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
AI               0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
LN-Th            0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Muscle           0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Ovaries          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Pancreas         0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
R_Marrow         0         0         0         0 3.286E-15         0 1.045E-13         0 3.495E-15 7.316E-14         0
Skin             0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Spleen           0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Testes           0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Thymus           0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Thyroid          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
GB_Wall          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Ht_Wall          0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Uterus           0         0         0         0 3.286E-15         0         0         0 3.495E-15         0         0
Age:5year
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals         0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
UB_Wall          0         0         0         0 1.611E-15 2.319E-13         0         0 1.720E-15         0         0
Bone_Sur         0         0         0         0 1.611E-15         0 2.119E-13 2.119E-13 1.720E-15 2.119E-14 1.271E-14
Brain            0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Breasts          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
St_Wall  2.088E-13         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
SI_Wall          0 1.479E-13         0         0 1.611E-15         0         0         0 1.720E-15         0         0
ULI_Wall         0         0 2.708E-13         0 1.611E-15         0         0         0 1.720E-15         0         0
LLI_Wall         0         0         0 4.284E-13 1.611E-15         0         0         0 1.720E-15         0         0
Kidneys          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Liver            0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
ET1-bas          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
ET2-bas          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
LN-ET            0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
BBi-bas          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
BBi-sec          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
bbe-sec          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
AI               0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
LN-Th            0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Muscle           0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Ovaries          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Pancreas         0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
R_Marrow         0         0         0         0 1.611E-15         0 4.899E-14         0 1.720E-15 3.430E-14         0
Skin             0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Spleen           0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Testes           0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Thymus           0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Thyroid          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
GB_Wall          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Ht_Wall          0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Uterus           0         0         0         0 1.611E-15         0         0         0 1.720E-15         0         0
Age:10year
