Age:3month
  T/S      St_Cont   SI_Cont  ULI_Cont  LLI_Cont     Blood   UB_Cont  T_Bone-S  C_Bone-S     Other  T_Bone-V  C_Bone-V
Adrenals 4.481E-21 9.762E-22 1.436E-21 2.612E-22 4.228E-14 8.073E-23 1.285E-20 1.336E-20 4.450E-14 1.285E-20 1.336E-20
UB_Wall  2.841E-22 1.111E-20 7.931E-21 5.110E-20 4.228E-14 7.187E-12 6.263E-22 6.540E-22 4.450E-14 6.263E-22 6.540E-22
Bone_Sur 7.109E-21 2.098E-20 1.660E-20 5.635E-20 4.228E-14 2.261E-21 2.492E-13 1.495E-13 4.450E-14 2.491E-13 1.495E-13
Brain    1.324E-23 7.674E-24 9.529E-24 5.459E-24 4.228E-14 5.101E-24 2.746E-20 1.801E-20 4.450E-14 2.746E-20 1.801E-20
Breasts  1.731E-21 8.222E-23 1.068E-22 5.140E-23 4.228E-14 3.381E-23 8.715E-21 1.122E-20 4.450E-14 8.715E-21 1.122E-20
St_Wall  7.051E-12 1.856E-20 6.064E-20 9.051E-21 4.228E-14 2.894E-22 1.557E-21 1.969E-21 4.450E-14 1.557E-21 1.969E-21
SI_Wall  1.172E-20 3.682E-12 4.876E-19 2.409E-19 4.228E-14 9.601E-21 4.670E-21 4.343E-21 4.450E-14 4.670E-21 4.343E-21
ULI_Wall 4.102E-20 7.208E-19 6.673E-12 1.213E-19 4.228E-14 5.173E-21 5.512E-21 4.883E-21 4.450E-14 5.512E-21 4.883E-21
LLI_Wall 5.554E-21 2.702E-19 6.187E-20 1.071E-11 4.228E-14 5.760E-20 1.463E-20 1.313E-20 4.450E-14 1.463E-20 1.313E-20
Kidneys  2.221E-21 6.595E-21 2.761E-21 8.434E-22 4.228E-14 1.558E-22 6.149E-21 8.983E-21 4.450E-14 6.149E-21 8.983E-21
Liver    2.274E-20 1.308E-20 3.624E-20 3.544E-22 4.228E-14 1.762E-22 3.374E-21 4.274E-21 4.450E-14 3.374E-21 4.274E-21
ET1-bas  5.331E-23 2.341E-23 2.838E-23 1.891E-23 4.228E-14 1.391E-23 7.724E-22 7.961E-22 4.450E-14 7.724E-22 7.961E-22
ET2-bas  5.331E-23 2.341E-23 2.838E-23 1.891E-23 4.228E-14 1.391E-23 7.724E-22 7.961E-22 4.450E-14 7.724E-22 7.961E-22
LN-ET    5.331E-23 2.341E-23 2.838E-23 1.891E-23 4.228E-14 1.391E-23 7.724E-22 7.961E-22 4.450E-14 7.724E-22 7.961E-22
BBi-bas  7.770E-21 1.973E-22 2.538E-22 7.763E-23 4.228E-14 3.895E-23 8.579E-21 1.086E-20 4.450E-14 8.579E-21 1.086E-20
BBi-sec  7.770E-21 1.973E-22 2.538E-22 7.763E-23 4.228E-14 3.895E-23 8.579E-21 1.086E-20 4.450E-14 8.579E-21 1.086E-20
bbe-sec  7.770E-21 1.973E-22 2.538E-22 7.763E-23 4.228E-14 3.895E-23 8.579E-21 1.086E-20 4.450E-14 8.579E-21 1.086E-20
AI       7.770E-21 1.973E-22 2.538E-22 7.763E-23 4.228E-14 3.895E-23 8.579E-21 1.086E-20 4.450E-14 8.579E-21 1.086E-20
LN-Th    7.770E-21 1.973E-22 2.538E-22 7.763E-23 4.228E-14 3.895E-23 8.579E-21 1.086E-20 4.450E-14 8.579E-21 1.086E-20
Muscle   1.880E-20 1.838E-20 1.433E-20 1.967E-20 4.228E-14 2.375E-20 1.316E-20 1.296E-20 4.450E-14 1.316E-20 1.296E-20
Ovaries  9.798E-22 3.015E-19 2.185E-19 7.003E-19 4.228E-14 3.384E-20 5.518E-21 4.832E-21 4.450E-14 5.518E-21 4.832E-21
Pancreas 1.897E-19 4.462E-21 5.649E-21 9.806E-22 4.228E-14 1.404E-22 1.534E-21 1.812E-21 4.450E-14 1.534E-21 1.812E-21
R_Marrow 9.998E-22 3.989E-21 3.333E-21 1.123E-20 4.228E-14 4.301E-22 1.590E-12 1.051E-19 4.450E-14 1.113E-12 1.051E-19
Skin     1.716E-21 7.723E-22 9.620E-22 2.770E-21 4.228E-14 2.484E-21 1.474E-20 1.335E-20 4.450E-14 1.474E-20 1.335E-20
Spleen   3.099E-20 3.115E-21 2.893E-21 1.639E-21 4.228E-14 1.067E-22 3.568E-21 4.566E-21 4.450E-14 3.568E-21 4.566E-21
Testes   6.364E-23 3.858E-22 4.260E-22 1.163E-20 4.228E-14 5.200E-20 3.724E-22 7.206E-22 4.450E-14 3.724E-22 7.206E-22
Thymus   2.415E-22 4.467E-23 5.727E-23 3.145E-23 4.228E-14 2.320E-23 4.884E-21 6.147E-21 4.450E-14 4.884E-21 6.147E-21
Thyroid  5.331E-23 2.341E-23 2.838E-23 1.891E-23 4.228E-14 1.391E-23 7.724E-22 7.961E-22 4.450E-14 7.724E-22 7.961E-22
GB_Wall  1.043E-19 4.138E-20 1.624E-19 2.336E-21 4.228E-14 5.378E-22 4.669E-22 5.823E-22 4.450E-14 4.669E-22 5.823E-22
Ht_Wall  1.658E-20 2.035E-22 2.886E-22 9.207E-23 4.228E-14 4.405E-23 2.544E-21 3.219E-21 4.450E-14 2.544E-21 3.219E-21
