  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
O-mucosa   7.71528087E-14 9.29054080E-16 9.29054080E-16 3.99230337E-17 9.87821913E-18 6.49842783E-18 4.76118787E-18 8.74852449E-19 7.06768114E-15 1.66386028E-14 1.66386028E-14 2.52503014E-14 9.07296523E-16 9.07296523E-16 2.18424720E-16 2.18424720E-16 2.18424720E-16 1.03888328E-15 3.49787171E-16 7.13801668E-16 7.13801668E-16 7.20771136E-16 7.20771136E-16 7.78225185E-19 4.76945173E-16
Oesophagus 9.28333100E-16 2.20058940E-13 7.25689818E-14 1.21877565E-15 1.40856948E-16 5.17134505E-17 4.52006031E-17 9.25529291E-18 1.98814080E-16 2.75205855E-15 2.75205855E-15 3.51533543E-15 1.38517770E-14 1.38517770E-14 2.52470971E-15 2.52470971E-15 2.52470971E-15 1.42888508E-14 1.58368737E-15 5.43105786E-16 5.43105786E-16 4.60914132E-16 4.60914132E-16 7.32883590E-18 5.31480802E-16
St-stem    3.80917460E-17 1.11591592E-15 1.11591592E-15 1.72634516E-14 2.63285662E-15 3.32515708E-16 6.10349133E-16 6.45500885E-17 3.23463411E-17 2.98821937E-17 2.98821937E-17 4.31498171E-17 2.82671998E-16 2.82671998E-16 7.02506324E-16 7.02506324E-16 7.02506324E-16 2.26483668E-16 1.37035757E-15 1.62556826E-16 1.62556826E-16 2.07626051E-16 2.07626051E-16 5.64975495E-17 5.65057427E-16
SI-stem    8.87685883E-18 1.09906103E-16 1.09906103E-16 1.35050660E-15 6.84513882E-15 2.43963414E-15 3.35047147E-15 2.65112143E-15 8.61394166E-18 6.70959469E-18 6.70959469E-18 9.52173486E-18 5.09299862E-17 5.09299862E-17 9.86251780E-17 9.86251780E-17 9.86251780E-17 4.27877253E-17 1.15401568E-15 2.24320730E-16 2.24320730E-16 3.73291100E-16 3.73291100E-16 2.25009666E-15 6.25932718E-16
RC-stem    6.71600340E-18 5.33348531E-17 5.33348531E-17 2.31850959E-16 1.86429256E-15 1.85532037E-14 1.13685637E-15 4.65416248E-16 6.43097620E-18 5.08707056E-18 5.08707056E-18 7.19297134E-18 3.20227014E-17 3.20227014E-17 5.92661104E-17 5.92661104E-17 5.92661104E-17 2.83633303E-17 1.03976447E-15 2.06120005E-16 2.06120005E-16 3.10966434E-16 3.10966434E-16 7.61915028E-16 5.83156280E-16
LC-stem    4.67050468E-18 4.31193758E-17 4.31193758E-17 4.44107300E-16 2.46799266E-15 1.11612421E-15 2.24817405E-14 1.25458430E-15 5.09524166E-18 3.37642673E-18 3.37642673E-18 4.78393877E-18 2.40999387E-17 2.40999387E-17 4.52614858E-17 4.52614858E-17 4.52614858E-17 1.99775386E-17 1.00911484E-15 2.13281734E-16 2.13281734E-16 3.05887535E-16 3.05887535E-16 1.05216532E-15 5.98507364E-16
RS-stem    1.05541774E-18 7.64782924E-18 7.64782924E-18 4.34622416E-17 2.44043522E-15 4.25185596E-16 7.82839453E-16 2.18857308E-14 1.10386756E-18 8.73891143E-19 8.73891143E-19 9.30896582E-19 5.13273259E-18 5.13273259E-18 9.62876025E-18 9.62876025E-18 9.62876025E-18 4.38740009E-18 9.37705833E-16 2.56588564E-16 2.56588564E-16 3.21092190E-16 3.21092190E-16 5.11815279E-15 6.68254733E-16
ET1-bas    6.97203120E-15 1.94632400E-16 1.94632400E-16 2.89449204E-17 8.54729112E-18 5.66161105E-18 4.01233058E-18 5.59480029E-19 5.42176523E-12 4.86580999E-15 4.86580999E-15 1.44267982E-15 1.90803198E-16 1.90803198E-16 1.07747971E-16 1.07747971E-16 1.07747971E-16 2.25714623E-16 1.18921550E-16 6.05142059E-16 6.05142059E-16 4.48160807E-16 4.48160807E-16 1.57910515E-18 3.60319650E-16
ET2-bas    1.62797153E-14 2.73219156E-15 2.73219156E-15 3.12264197E-17 7.48456746E-18 4.96514493E-18 3.31842794E-18 6.71295926E-19 4.87606392E-15 2.09965229E-13 1.83881795E-12 3.27613048E-14 2.20635724E-15 2.20635724E-15 2.31947090E-16 2.31947090E-16 2.31947090E-16 2.89321030E-15 1.49936482E-16 7.52446165E-16 7.52446165E-16 7.46421982E-16 7.46421982E-16 6.41863944E-19 4.75623617E-16
LN-ET      2.53784756E-14 3.63213410E-15 3.63213410E-15 4.75381785E-17 1.16904410E-17 6.82591271E-18 2.55995759E-18 7.83272041E-19 1.48374360E-15 3.37434390E-14 3.37434390E-14 1.11589990E-12 3.89425017E-15 3.89425017E-15 3.68116070E-16 3.68116070E-16 3.68116070E-16 5.17839462E-15 1.13128080E-16 5.45204637E-16 5.45204637E-16 5.54641456E-16 5.54641456E-16 6.60561344E-19 3.51780559E-16
