  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
O-mucosa   7.10244837E-14 4.45292911E-16 4.45292911E-16 3.05631187E-17 1.11771036E-17 1.18658793E-17 1.47236815E-17 8.39941023E-19 4.31273867E-15 1.08090837E-14 1.08090837E-14 8.22477300E-15 2.00095821E-16 2.00095821E-16 1.20171247E-16 1.20171247E-16 1.20171247E-16 3.52334631E-16 3.42465224E-16 5.12904759E-16 5.12904759E-16 4.46190130E-16 4.46190130E-16 6.82366966E-19 4.18750839E-16
Oesophagus 4.39589163E-16 2.03043826E-13 6.60705540E-14 1.37184760E-15 2.99270546E-16 1.56125690E-16 2.50868794E-16 1.73339474E-17 1.01263963E-16 2.46238504E-15 2.46238504E-15 4.29399320E-15 4.27332513E-15 4.27332513E-15 1.91203742E-15 1.91203742E-15 1.91203742E-15 1.17106284E-14 1.32379832E-15 4.68860927E-16 4.68860927E-16 3.21348538E-16 3.21348538E-16 9.21187393E-18 4.62459900E-16
St-stem    3.31410206E-17 1.54404952E-15 1.54404952E-15 1.63822546E-14 2.23952229E-15 7.94567385E-16 3.99518729E-15 8.80540175E-17 2.77977620E-17 3.12921090E-17 3.12921090E-17 5.38571626E-17 6.78393568E-16 6.78393568E-16 8.13152632E-16 8.13152632E-16 8.13152632E-16 3.19233665E-16 1.23375600E-15 1.44905648E-16 1.44905648E-16 1.66722485E-16 1.66722485E-16 4.39412923E-17 4.91051491E-16
SI-stem    6.96017509E-18 1.63806524E-16 1.63806524E-16 1.05389567E-15 5.62347925E-15 1.80228833E-15 2.04101263E-15 1.69301989E-15 6.27204029E-18 6.31257536E-18 6.31257536E-18 1.08287904E-17 9.87036847E-17 9.87036847E-17 1.19902082E-16 1.19902082E-16 1.19902082E-16 5.71496353E-17 9.73386303E-16 1.97243947E-16 1.97243947E-16 2.23631794E-16 2.23631794E-16 1.47264052E-15 5.37211747E-16
RC-stem    9.67634489E-18 1.25416773E-16 1.25416773E-16 4.14050470E-16 2.11903862E-15 1.54566772E-14 9.87869978E-16 2.09308336E-16 9.16925604E-18 8.36624518E-18 8.36624518E-18 1.39275600E-17 9.68691926E-17 9.68691926E-17 1.20496489E-16 1.20496489E-16 1.20496489E-16 5.98845506E-17 9.84601538E-16 1.50091893E-16 1.50091893E-16 1.77392981E-16 1.77392981E-16 2.45389351E-16 5.15822938E-16
LC-stem    1.40135969E-17 2.15765108E-16 2.15765108E-16 2.88744246E-15 3.67058633E-15 8.82382678E-16 1.72105798E-14 7.15419867E-16 1.26075268E-17 1.25535334E-17 1.25535334E-17 2.07321637E-17 2.03716740E-16 2.03716740E-16 2.37314381E-16 2.37314381E-16 2.37314381E-16 9.34405349E-17 9.56387210E-16 1.14147064E-16 1.14147064E-16 1.79972485E-16 1.79972485E-16 1.23263448E-16 4.86993287E-16
RS-stem    8.07496949E-19 1.14980196E-17 1.14980196E-17 4.97315582E-17 5.12856693E-16 1.40791259E-16 1.43002262E-16 1.88800477E-14 8.40389633E-19 6.28790184E-19 6.28790184E-19 1.34453049E-18 9.13833403E-18 9.13833403E-18 1.17902566E-17 1.17902566E-17 1.17902566E-17 5.43522351E-18 7.65728208E-16 3.05198599E-16 3.05198599E-16 3.01385419E-16 3.01385419E-16 4.87526283E-15 5.37577650E-16
ET1-bas    4.24016007E-15 9.58742410E-17 9.58742410E-17 2.31546546E-17 8.60785339E-18 1.04785547E-17 1.48851809E-17 8.28116961E-19 4.59760565E-12 7.76655052E-15 7.76655052E-15 6.69293206E-16 8.46189512E-17 8.46189512E-17 5.62107599E-17 5.62107599E-17 5.62107599E-17 9.09908070E-17 1.16648061E-16 4.28373927E-16 4.28373927E-16 1.90963415E-16 1.90963415E-16 7.08065877E-19 2.56943667E-16
ET2-bas    1.06120160E-14 2.44892676E-15 2.44892676E-15 2.88391768E-17 9.52445856E-18 9.56931950E-18 1.26084881E-17 8.77912606E-19 7.80163819E-15 1.58769281E-13 1.56680043E-12 2.87334331E-14 5.03483961E-16 5.03483961E-16 1.56053592E-16 1.56053592E-16 1.56053592E-16 1.17772789E-15 1.46389263E-16 5.68211891E-16 5.68211891E-16 3.26651742E-16 3.26651742E-16 4.09580397E-19 3.87706093E-16
LN-ET      8.20682862E-15 4.36785354E-15 4.36785354E-15 5.09283840E-17 1.70359426E-17 1.69350055E-17 1.98173210E-17 5.96346110E-19 7.00743930E-16 2.93118188E-14 2.93118188E-14 8.46045316E-13 1.28714052E-15 1.28714052E-15 3.19650231E-16 3.19650231E-16 3.19650231E-16 3.19970666E-15 3.12584633E-16 3.81141764E-16 3.81141764E-16 3.58134510E-16 3.58134510E-16 9.77471853E-19 2.94792872E-16
Bronch-bas 1.37079016E-16 2.88519942E-15 2.88519942E-15 8.17670770E-16 1.89857914E-16 1.32799602E-16 2.52406884E-16 1.48871035E-17 7.54432864E-17 1.68949511E-16 1.68949511E-16 3.24633000E-16 2.73603679E-13 1.07446762E-12 1.11351266E-14 4.73699500E-15 4.62468243E-15 7.95656865E-15 1.15017046E-15 2.70207065E-16 2.70207065E-16 2.62580704E-16 2.62580704E-16 8.29110310E-18 4.46763291E-16
Bronch-sec 1.37079016E-16 2.88519942E-15 2.88519942E-15 8.17670770E-16 1.89857914E-16 1.32799602E-16 2.52406884E-16 1.48871035E-17 7.54432864E-17 1.68949511E-16 1.68949511E-16 3.24633000E-16 1.06402143E-12 4.29431364E-13 1.11351266E-14 4.73699500E-15 4.62003612E-15 7.95656865E-15 1.15017046E-15 2.70207065E-16 2.70207065E-16 2.62580704E-16 2.62580704E-16 8.29110310E-18 4.42963105E-16
Bchiol-sec 1.19217952E-16 2.00704649E-15 2.00704649E-15 8.66745436E-16 2.14323149E-16 1.48694795E-16 2.63782337E-16 1.60105496E-17 6.04260862E-17 1.57365775E-16 1.57365775E-16 3.04782033E-16 4.36064374E-15 4.36064374E-15 5.98477005E-13 2.90714924E-13 6.18023558E-15 2.83937717E-15 1.15017046E-15 3.74140253E-16 3.74140253E-16 3.23351259E-16 3.23351259E-16 9.43810125E-18 4.32781943E-16
AI         1.19217952E-16 2.00704649E-15 2.00704649E-15 8.66745436E-16 2.14323149E-16 1.48694795E-16 2.63782337E-16 1.60105496E-17 6.04260862E-17 1.57365775E-16 1.57365775E-16 3.04782033E-16 4.36064374E-15 4.36064374E-15 1.11351266E-14 1.11351266E-14 1.29231555E-14 2.83937717E-15 2.26675929E-15 3.74140253E-16 3.74140253E-16 3.23351259E-16 3.23351259E-16 9.43810125E-18 3.82678858E-16
LN-Th      3.60874232E-16 1.20568587E-14 1.20568587E-14 3.54097025E-16 9.67121793E-17 7.40846408E-17 1.08283098E-16 6.64310437E-18 1.00728836E-16 1.21137360E-15 1.21137360E-15 3.18785056E-15 1.23114446E-14 1.23114446E-14 2.74020245E-15 2.74020245E-15 2.74020245E-15 6.60833714E-13 8.15315571E-16 4.32267216E-16 4.32267216E-16 3.12200110E-16 3.12200110E-16 4.27492730E-18 3.22658760E-16
R-marrow   3.79587653E-16 9.91554984E-16 9.91554984E-16 3.60810145E-16 4.68844905E-16 3.30945575E-16 3.13257547E-16 6.33035952E-16 1.62140260E-16 4.16549865E-16 4.16549865E-16 4.70639343E-16 5.95448891E-16 5.95448891E-16 6.23182566E-16 6.23182566E-16 6.23182566E-16 8.37233345E-16 1.52352564E-15 6.53335528E-16 5.93574345E-16 2.35103378E-15 1.10705589E-15 6.49810740E-16 4.83593498E-16
Endost-BS  4.18552585E-16 4.02626951E-16 4.02626951E-16 1.47523604E-16 2.06504527E-16 1.49136996E-16 1.37675026E-16 3.43186204E-16 2.53688625E-16 4.41752101E-16 4.41752101E-16 3.03404161E-16 2.44235784E-16 2.44235784E-16 2.53336146E-16 2.53336146E-16 2.53336146E-16 3.39485176E-16 6.44972167E-16 1.54875992E-15 5.56820416E-16 1.91540199E-14 2.30985784E-15 3.83945573E-16 4.01538089E-16
Brain      1.01526720E-15 7.36071922E-17 7.36071922E-17 7.09892358E-18 2.48946183E-18 2.79996363E-18 3.59720665E-18 2.48097029E-19 9.28877840E-16 2.04774177E-15 2.04774177E-15 4.37634507E-16 4.29030820E-17 4.29030820E-17 3.41183483E-17 3.41183483E-17 3.41183483E-17 7.14762974E-17 2.34094007E-16 4.97203429E-16 4.97203429E-16 3.95961897E-16 3.95961897E-16 1.71016318E-19 4.34741747E-16
Eye-lens   2.32523874E-15 6.88711585E-17 6.88711585E-17 9.64109701E-18 2.73459483E-18 9.22773548E-18 0.00000000E+00 0.00000000E+00 9.92916834E-15 4.23279006E-15 4.23279006E-15 5.31874528E-16 4.56796538E-17 4.56796538E-17 3.86220664E-17 3.86220664E-17 3.86220664E-17 6.82463096E-17 1.04399422E-16 3.99310446E-16 3.99310446E-16 2.74597028E-16 2.74597028E-16 0.00000000E+00 2.92945682E-16
P-gland    3.46374535E-15 1.37372214E-16 1.37372214E-16 8.67081893E-18 2.42457368E-18 1.49433399E-18 4.82767819E-18 0.00000000E+00 2.50292011E-15 1.90530828E-14 1.90530828E-14 1.14145462E-15 7.01833410E-17 7.01833410E-17 5.11302582E-17 5.11302582E-17 5.11302582E-17 1.22882130E-16 1.44894433E-16 6.00351551E-16 6.00351551E-16 3.47736385E-16 3.47736385E-16 0.00000000E+00 4.60278234E-16
Tongue     1.43252202E-13 5.24712799E-16 5.24712799E-16 3.39100653E-17 1.12359035E-17 1.22699482E-17 1.55952655E-17 1.13519011E-18 3.38459783E-15 1.02845311E-14 1.02845311E-14 9.47543196E-15 2.28406280E-16 2.28406280E-16 1.32201991E-16 1.32201991E-16 1.32201991E-16 4.11422900E-16 3.48393277E-16 5.11254517E-16 5.11254517E-16 4.64166550E-16 4.64166550E-16 7.45092175E-19 3.14409406E-16
Tonsils    9.16284733E-15 2.60145396E-16 2.60145396E-16 1.77713416E-17 6.19705843E-18 4.60193152E-18 7.99518111E-18 2.57549870E-19 1.66177745E-15 1.48307069E-14 1.48307069E-14 2.82800172E-15 1.28492952E-16 1.28492952E-16 8.40357589E-17 8.40357589E-17 8.40357589E-17 2.29495760E-16 1.39696972E-16 7.94359102E-16 7.94359102E-16 4.12816794E-16 4.12816794E-16 2.23055011E-19 4.50070071E-16
S-glands   3.09876954E-15 5.49081904E-16 5.49081904E-16 2.83248781E-17 9.18399606E-18 1.01952899E-17 1.33535001E-17 9.86123606E-19 6.93502092E-16 3.06191948E-15 3.06191948E-15 5.36825254E-15 2.21436812E-16 2.21436812E-16 1.43015080E-16 1.43015080E-16 1.43015080E-16 4.22269635E-16 1.36917196E-16 4.21003915E-16 4.21003915E-16 2.83985782E-16 2.83985782E-16 5.32547443E-19 3.98131783E-16
Thyroid    7.45204328E-16 9.47527174E-15 9.47527174E-15 1.15513720E-16 3.46614861E-17 3.00696483E-17 4.43081907E-17 3.72586142E-18 1.73211300E-16 2.43306521E-15 2.43306521E-15 5.75806208E-15 4.55642971E-15 4.55642971E-15 1.06011212E-15 1.06011212E-15 1.06011212E-15 1.53366742E-14 6.82623314E-16 3.84570422E-16 3.84570422E-16 2.54986388E-16 2.54986388E-16 2.04245459E-18 4.49461323E-16
Breast     9.77263570E-17 3.12232154E-16 3.12232154E-16 7.33139939E-16 1.75951022E-16 1.64479438E-16 2.80525081E-16 1.38240594E-17 1.05429622E-16 7.65744230E-17 7.65744230E-17 1.23953986E-16 8.70174094E-16 8.70174094E-16 8.25954023E-16 8.25954023E-16 8.25954023E-16 2.98357305E-16 3.02250594E-16 7.20146287E-17 7.20146287E-17 1.18756526E-16 1.18756526E-16 8.03171073E-18 3.65957989E-16
Thymus     3.33765406E-16 4.15027797E-15 4.15027797E-15 2.31931068E-16 6.47022953E-17 5.90177731E-17 7.84730022E-17 5.41022956E-18 1.26126537E-16 6.81950400E-16 6.81950400E-16 1.44577202E-15 4.72161411E-15 4.72161411E-15 2.12929255E-15 2.12929255E-15 2.12929255E-15 9.92532312E-15 2.79115166E-16 3.92789588E-16 3.92789588E-16 2.97043521E-16 2.97043521E-16 3.68692853E-18 4.51823411E-16
Ht-wall    9.82839144E-17 5.01561349E-15 5.01561349E-15 2.72434090E-15 3.70791704E-16 1.98958276E-16 4.31850650E-16 2.28951020E-17 5.66705845E-17 1.20704772E-16 1.20704772E-16 2.28838868E-16 4.02851256E-15 4.02851256E-15 2.56476412E-15 2.56476412E-15 2.56476412E-15 4.61474894E-15 2.06296244E-15 2.36000597E-16 2.36000597E-16 2.18056220E-16 2.18056220E-16 1.27914566E-17 4.56480622E-16
