  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Ht-wall        Liver          Kidneys        Muscle         St-wall        SI-wall        RC-wall        LC-wall        RS-wall        Spleen         Pancreas       Brain          R-marrow       Skin           Lung-Tis       Adipose        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Cartilage      UB-cont        Other          
O-mucosa   1.48395188E-13 1.29104983E-15 1.29104983E-15 7.98829175E-17 2.33004527E-17 1.71352775E-17 1.36688085E-17 3.71016009E-18 9.86043497E-15 2.23119098E-14 2.23119098E-14 3.59848839E-14 1.27829651E-15 1.27829651E-15 3.58519032E-16 3.58519032E-16 3.58519032E-16 1.45323816E-15 4.84962801E-16 2.99991525E-16 1.03790595E-16 4.27476708E-17 3.42769638E-16 7.27356082E-17 1.94135725E-17 1.62941349E-17 1.29846791E-17 3.27709179E-18 8.48080080E-17 5.31938615E-17 1.58615472E-15 7.73915330E-16 2.57934393E-16 3.89376952E-16 3.01721876E-16 1.19075359E-15 1.19075359E-15 1.07707917E-15 1.07707917E-15 8.59087032E-16 3.43907183E-18 4.65163590E-15
Oesophagus 1.29385364E-15 7.00808017E-13 2.35984575E-13 1.53499723E-15 2.17912024E-16 9.90401417E-17 8.58766597E-17 2.30040500E-17 3.62652648E-16 4.13457664E-15 4.13457664E-15 4.19898414E-15 1.95161118E-14 1.95161118E-14 3.21156277E-15 3.21156277E-15 3.21156277E-15 1.92533548E-14 1.91331916E-15 6.87558018E-15 1.45695521E-15 5.07921990E-16 4.37201920E-16 1.43266621E-15 1.72538386E-16 1.01087723E-16 8.33404143E-17 1.87951324E-17 1.29656132E-15 5.36825254E-16 2.11567405E-16 1.77585242E-15 2.42889955E-16 3.75566190E-15 3.19538079E-16 7.95592778E-16 7.95592778E-16 6.42841272E-16 6.42841272E-16 7.30993022E-16 1.91668373E-17 3.48740728E-15
St-stem    7.58566480E-17 1.43957160E-15 1.43957160E-15 4.06279914E-14 3.19746362E-15 5.17631179E-16 8.68331591E-16 1.24577233E-16 6.56219446E-17 6.19289278E-17 6.19289278E-17 8.42408375E-17 4.23887833E-16 4.23887833E-16 9.60360608E-16 9.60360608E-16 9.60360608E-16 3.50476107E-16 1.61755738E-15 2.06840984E-15 2.70287173E-15 2.76872119E-15 3.31554402E-16 5.60168965E-14 2.39669581E-15 5.16125134E-16 8.53511458E-16 1.07884156E-16 7.47895984E-15 8.94302872E-15 2.30104587E-17 6.97908078E-16 2.53256037E-16 9.42496340E-16 4.03716431E-16 2.45517525E-16 2.45517525E-16 3.04782033E-16 3.04782033E-16 4.75830395E-16 1.10140020E-16 3.84584282E-16
SI-stem    2.16389956E-17 1.74557128E-16 1.74557128E-16 1.69910816E-15 1.21026810E-14 3.02090377E-15 4.06456153E-15 3.19698296E-15 2.02659304E-17 1.70519644E-17 1.70519644E-17 2.24336752E-17 9.33107586E-17 9.33107586E-17 1.66626355E-16 1.66626355E-16 1.66626355E-16 8.00671678E-17 1.32285304E-15 2.40598843E-16 8.86740598E-16 2.31049871E-15 4.94768121E-16 2.39717646E-15 1.56252262E-14 3.27164439E-15 4.30504822E-15 2.56348238E-15 9.29839146E-16 4.48449199E-15 6.41671683E-18 1.10849785E-15 2.25266014E-16 1.64142981E-16 5.70214612E-16 3.25834632E-16 3.25834632E-16 5.15099741E-16 5.15099741E-16 6.91098828E-16 2.77801381E-15 5.59952365E-16
RC-stem    1.84891167E-17 9.98828866E-17 9.98828866E-17 3.74813167E-16 2.34943160E-15 2.45421394E-14 1.50707129E-15 6.92508743E-16 1.70359426E-17 1.44183066E-17 1.44183066E-17 1.95785967E-17 6.77480328E-17 6.77480328E-17 1.13608733E-16 1.13608733E-16 1.13608733E-16 5.87261770E-17 1.18657191E-15 1.26922819E-16 7.65984557E-16 2.06216136E-15 5.54160803E-16 5.14571022E-16 3.26331307E-15 5.93926824E-14 1.68004226E-15 6.39140244E-16 2.17928046E-16 1.93831311E-15 5.59447986E-18 8.41975787E-16 2.39813777E-16 1.12085063E-16 5.02875134E-16 3.02090377E-16 3.02090377E-16 4.41447687E-16 4.41447687E-16 5.11863344E-16 1.07254501E-15 3.64433892E-16
LC-stem    1.41640412E-17 8.38819500E-17 8.38819500E-17 6.54713400E-16 3.04798055E-15 1.50535696E-15 2.96947390E-14 1.66161723E-15 1.48941531E-17 1.01664507E-17 1.01664507E-17 1.33179318E-17 5.05326464E-17 5.05326464E-17 8.79098217E-17 8.79098217E-17 8.79098217E-17 4.34061654E-17 1.15925480E-15 1.24912088E-16 3.00888744E-16 8.91402932E-16 5.54497260E-16 8.60320708E-16 4.30008147E-15 1.67107008E-15 6.23182566E-14 1.31120522E-15 3.83112442E-16 1.01909640E-15 3.97499986E-18 8.30392051E-16 2.35776292E-16 8.66617262E-17 5.41038978E-16 3.08274778E-16 3.08274778E-16 4.34558329E-16 4.34558329E-16 4.97700104E-16 1.41797426E-15 3.88805728E-16
RS-stem    3.52879371E-18 1.92293222E-17 1.92293222E-17 8.83119680E-17 2.92076774E-15 6.31513884E-16 1.06312421E-15 3.67026590E-14 4.08282634E-18 2.67835843E-18 2.67835843E-18 3.55042310E-18 1.38971186E-17 1.38971186E-17 2.32219460E-17 2.32219460E-17 2.32203438E-17 1.18678019E-17 1.04271248E-15 2.65032034E-17 7.88142657E-17 1.86990018E-16 6.48432868E-16 1.08473757E-16 2.56604586E-15 6.42584924E-16 1.32272486E-15 1.14446671E-13 7.11206143E-17 1.69542316E-16 1.21940050E-18 1.02318195E-15 2.28230041E-16 2.29127259E-17 6.74356083E-16 3.61803494E-16 3.61803494E-16 4.43081907E-16 4.43081907E-16 5.63293209E-16 6.20314670E-15 1.11862117E-15
ET1-bas    9.85498757E-15 3.55026288E-16 3.55026288E-16 7.28285344E-17 1.86397212E-17 1.56068012E-17 1.15153231E-17 3.95208874E-18 7.51949491E-12 6.47087040E-15 6.47087040E-15 2.34254224E-15 3.76078887E-16 3.76078887E-16 2.13473995E-16 2.13473995E-16 2.13473995E-16 4.02498777E-16 1.31865534E-16 1.87358518E-16 7.83416237E-17 3.28846724E-17 1.35792468E-16 6.19177125E-17 1.67940139E-17 1.41239868E-17 1.71480949E-17 3.44596119E-18 5.57349135E-17 4.59343999E-17 1.79251505E-15 3.68228222E-16 3.31634511E-16 2.18985482E-16 4.52710988E-16 9.52974574E-16 9.52974574E-16 6.82655358E-16 6.82655358E-16 4.05542912E-16 5.85691637E-18 1.07108915E-15
ET2-bas    2.23135119E-14 4.16021147E-15 4.16021147E-15 7.05694655E-17 1.81558640E-17 1.56120883E-17 9.04300453E-18 2.02611239E-18 6.59535951E-15 3.12584633E-13 4.48881786E-13 4.60753914E-14 4.08442852E-15 4.08442852E-15 3.72185598E-16 3.72185598E-16 3.72185598E-16 5.56612133E-15 1.75999087E-16 2.86036568E-16 8.80636306E-17 3.70599443E-17 3.66850350E-16 5.91940125E-17 1.64735786E-17 1.25934276E-17 8.70510551E-18 1.80789595E-18 8.84417443E-17 4.15620602E-17 2.61875747E-15 1.00509338E-15 2.34190137E-16 4.96113949E-16 3.88912320E-16 1.12054621E-15 1.12054621E-15 1.09319706E-15 1.09319706E-15 2.28133910E-15 2.65416557E-18 1.51832867E-15
LN-ET      3.61771451E-14 4.21997265E-15 4.21997265E-15 8.12976393E-17 2.11823753E-17 2.01425628E-17 1.63021458E-17 4.37778703E-18 2.44379980E-15 4.65336139E-14 4.65336139E-14 1.05687572E-12 4.83889343E-15 4.83889343E-15 5.93237888E-16 5.93237888E-16 5.93237888E-16 6.12464006E-15 1.25894222E-16 4.21853069E-16 1.41624391E-16 5.21796838E-17 5.87502096E-16 7.54849430E-17 1.68420792E-17 2.45261177E-17 9.76638721E-18 3.55042310E-18 1.03162542E-16 4.22077374E-17 1.14866441E-15 8.70638725E-16 2.74052288E-16 7.34918355E-16 3.60121209E-16 7.87549852E-16 7.87549852E-16 8.08842778E-16 8.08842778E-16 2.62949205E-15 3.11655370E-18 1.34585724E-15
Bronch-bas 3.65953131E-16 1.17458763E-14 1.17458763E-14 7.80964907E-16 1.51961633E-16 9.26490597E-17 6.72946168E-17 2.34590681E-17 1.77537177E-16 4.16678039E-16 4.16678039E-16 5.84714309E-16 5.16029003E-13 5.21220055E-13 1.63886633E-14 8.18808315E-15 1.11924845E-14 6.78169263E-14 2.02451021E-15 1.02133945E-14 9.49049242E-16 3.67491221E-16 3.75133603E-16 6.18776581E-16 1.31016380E-16 9.38891443E-17 7.31922285E-17 1.60361845E-17 9.80820402E-16 3.57589770E-16 1.02978292E-16 1.32386241E-15 2.48657791E-16 2.47632398E-14 3.61499081E-16 5.62780513E-16 5.62780513E-16 4.49090069E-16 4.49090069E-16 4.25922597E-16 1.70215230E-17 7.42605010E-16
Bronch-sec 3.65953131E-16 1.17458763E-14 1.17458763E-14 7.80964907E-16 1.51961633E-16 9.26490597E-17 6.72946168E-17 2.34590681E-17 1.77537177E-16 4.16678039E-16 4.16678039E-16 5.84714309E-16 5.75694055E-13 5.09428036E-13 1.63886633E-14 8.18808315E-15 1.11561151E-14 6.78169263E-14 2.02451021E-15 1.02133945E-14 9.49049242E-16 3.67491221E-16 3.75133603E-16 6.18776581E-16 1.31016380E-16 9.38891443E-17 7.31922285E-17 1.60361845E-17 9.80820402E-16 3.57589770E-16 1.02978292E-16 1.32386241E-15 2.48657791E-16 2.48225203E-14 3.61499081E-16 5.62780513E-16 5.62780513E-16 4.49090069E-16 4.49090069E-16 4.25922597E-16 1.70215230E-17 7.42605010E-16
Bchiol-sec 3.57798053E-16 3.24488804E-15 3.24488804E-15 1.15222124E-15 2.04694068E-16 1.11638055E-16 9.20322218E-17 2.64134816E-17 1.94247877E-16 3.77825259E-16 3.77825259E-16 5.50171384E-16 5.87005421E-15 5.87005421E-15 5.49226100E-14 5.05182268E-14 1.56657613E-14 4.58687106E-15 2.02451021E-15 4.19353674E-15 1.43013478E-15 4.78682269E-16 4.19561957E-16 9.69252688E-16 1.67795943E-16 1.12706707E-16 9.00311033E-17 2.29864261E-17 1.65841288E-15 4.60465522E-16 1.00874634E-16 1.21151779E-15 2.77913533E-16 1.64335242E-14 3.44275684E-16 5.52029909E-16 5.52029909E-16 4.36977615E-16 4.36977615E-16 4.69485776E-16 2.20892072E-17 6.56226706E-16
AI         3.57798053E-16 3.24488804E-15 3.24488804E-15 1.15222124E-15 2.04694068E-16 1.11638055E-16 9.20322218E-17 2.64134816E-17 1.94247877E-16 3.77825259E-16 3.77825259E-16 5.50171384E-16 5.87005421E-15 5.87005421E-15 1.63886633E-14 1.63886633E-14 1.69974904E-14 4.58687106E-15 3.11431066E-15 4.19353674E-15 1.43013478E-15 4.78682269E-16 4.19561957E-16 9.69252688E-16 1.67795943E-16 1.12706707E-16 9.00311033E-17 2.29864261E-17 1.65841288E-15 4.60465522E-16 1.00874634E-16 1.21151779E-15 2.77913533E-16 1.66129680E-14 3.44275684E-16 5.52029909E-16 5.52029909E-16 4.36977615E-16 4.36977615E-16 4.69485776E-16 2.20892072E-17 6.56226706E-16
