  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Ht-wall        Liver          Kidneys        Muscle         St-wall        SI-wall        RC-wall        LC-wall        RS-wall        Spleen         Pancreas       Brain          R-marrow       Skin           Lung-Tis       Adipose        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Cartilage      UB-cont        Other         
O-mucosa   1.42753925E-13 6.55899010E-16 6.55899010E-16 6.52214004E-17 2.36561358E-17 2.90362445E-17 3.61979734E-17 3.95305005E-18 6.33212191E-15 1.48722032E-14 1.48722032E-14 1.06466230E-14 3.35752105E-16 3.35752105E-16 2.12112145E-16 2.12112145E-16 2.12112145E-16 5.69685893E-16 4.81790491E-16 1.69622425E-16 7.56371498E-17 2.89016616E-17 3.06592493E-16 6.36304392E-17 1.61435303E-17 2.43819218E-17 3.05262686E-17 3.32035055E-18 6.06247561E-17 4.11022356E-17 1.50131948E-15 5.60056813E-16 2.02402956E-16 2.16005434E-16 2.35279617E-16 7.75277180E-16 7.75277180E-16 6.45773255E-16 6.45773255E-16 6.51108503E-16 2.39236993E-18 4.87812814E-15 
Oesophagus 6.60144778E-16 6.49041695E-13 2.17335240E-13 1.70856101E-15 4.19594000E-16 2.46975505E-16 3.75742430E-16 3.84153856E-17 1.98269340E-16 3.52671088E-15 3.52671088E-15 5.06175618E-15 5.55154153E-15 5.55154153E-15 2.42457368E-15 2.42457368E-15 2.42457368E-15 1.64191046E-14 1.58921488E-15 6.19962192E-15 1.30548545E-15 5.39196475E-16 3.06544427E-16 1.95273270E-15 2.36833728E-16 2.03476414E-16 3.23655672E-16 2.71088262E-17 1.18984035E-15 8.71728205E-16 1.43224965E-16 1.38194131E-15 1.84074057E-16 2.52294731E-15 4.32090977E-16 6.80460376E-16 6.80460376E-16 4.55675015E-16 4.55675015E-16 6.00688009E-16 2.32203438E-17 2.93500824E-15 
St-stem    6.57405056E-17 1.96106402E-15 1.96106402E-15 3.95337048E-14 2.72706460E-15 1.04574059E-15 4.72369694E-15 1.57493949E-16 5.56259655E-17 6.29927729E-17 6.29927729E-17 1.00342711E-16 9.20931045E-16 9.20931045E-16 1.06238721E-15 1.06238721E-15 1.06238721E-15 4.70815582E-16 1.44037268E-15 2.94287777E-15 2.08250900E-15 1.41404892E-15 2.42457368E-16 4.89977613E-14 1.39945310E-15 7.53808015E-16 3.83657182E-15 1.04109428E-16 3.65744848E-15 5.46021747E-15 1.87534758E-17 5.42577067E-16 1.95481553E-16 1.05834972E-15 5.73995748E-16 2.17110936E-16 2.17110936E-16 2.41480040E-16 2.41480040E-16 2.48081007E-16 8.77095496E-17 3.10040321E-16 
SI-stem    1.69590381E-17 2.37795034E-16 2.37795034E-16 1.33120038E-15 1.03883521E-14 2.20475506E-15 2.45629677E-15 2.06953137E-15 1.60810454E-17 1.54933671E-17 1.54933671E-17 2.46318613E-17 1.61483368E-16 1.61483368E-16 1.91972787E-16 1.91972787E-16 1.91972787E-16 9.94871490E-17 1.10091955E-15 3.00167765E-16 6.41543509E-16 1.56973241E-15 3.66257545E-16 1.39448635E-15 1.30316229E-14 2.54393583E-15 3.02538986E-15 1.58253380E-15 8.12912306E-16 2.96386628E-15 5.61594902E-18 7.82118474E-16 1.93494854E-16 1.91027503E-16 7.81477603E-16 2.89160812E-16 2.89160812E-16 3.22454040E-16 3.22454040E-16 3.91796238E-16 1.80773573E-15 3.73266927E-16 
RC-stem    2.40342495E-17 2.01153258E-16 2.01153258E-16 5.89472773E-16 2.55803498E-15 2.04565894E-14 1.25081918E-15 3.37434390E-16 2.25778711E-17 2.12400537E-17 2.12400537E-17 3.28846724E-17 1.64463416E-16 1.64463416E-16 2.01521759E-16 2.01521759E-16 2.01521759E-16 1.09454289E-16 1.12363841E-15 2.48481551E-16 1.66129680E-15 1.92902049E-15 3.60409601E-16 7.51468838E-16 2.53688625E-15 5.25610018E-14 9.54881164E-16 3.09460388E-16 2.42120911E-16 2.61250898E-15 7.22181052E-18 5.62636317E-16 2.05943766E-16 2.00368191E-16 6.56363641E-16 2.24176534E-16 2.24176534E-16 2.60145396E-16 2.60145396E-16 2.93422602E-16 3.84650531E-16 2.51050216E-16 
LC-stem    3.26491525E-17 3.25962806E-16 3.25962806E-16 3.49146300E-15 4.31482150E-15 1.16015202E-15 2.33389049E-14 9.74491805E-16 3.03676531E-17 2.93582819E-17 2.93582819E-17 4.48961895E-17 3.15388441E-16 3.15388441E-16 3.55298658E-16 3.55298658E-16 3.55298658E-16 1.58524148E-16 1.09773122E-15 5.45220659E-16 6.03491817E-16 1.62012086E-15 3.01657789E-16 3.84762683E-15 3.02026290E-15 9.55714296E-16 5.31137527E-14 4.52326466E-16 2.23759968E-15 2.13425930E-15 1.00504531E-17 4.82992124E-16 2.26611842E-16 3.54097025E-16 6.67050159E-16 1.78322243E-16 1.78322243E-16 2.55643280E-16 2.55643280E-16 2.66826472E-16 2.09628772E-16 2.22246353E-16 
RS-stem    3.30689227E-18 2.71152349E-17 2.71152349E-17 9.77567984E-17 6.93165635E-16 2.43194369E-16 2.36144792E-16 3.23335237E-14 3.27244547E-18 2.24080403E-18 2.24080403E-18 4.34301980E-18 2.30617284E-17 2.30617284E-17 2.80493038E-17 2.80493038E-17 2.80493038E-17 1.52432673E-17 8.39316174E-16 3.46662926E-17 7.90433770E-17 1.81782944E-16 4.96450406E-16 1.01619646E-16 1.57763114E-15 3.14090679E-16 4.47776285E-16 1.06307614E-13 7.56980325E-17 1.67331312E-16 8.86692533E-19 9.31136909E-16 2.03700719E-16 2.78938926E-17 7.34069201E-16 4.27540796E-16 4.27540796E-16 4.26066793E-16 4.26066793E-16 5.05871204E-16 5.70999678E-15 5.79043400E-16 
ET1-bas    6.33548648E-15 1.85435907E-16 1.85435907E-16 4.97379669E-17 2.27076474E-17 2.67355190E-17 3.15676833E-17 4.41383600E-18 6.41046834E-12 1.29725026E-14 1.29725026E-14 1.17639809E-15 1.63838568E-16 1.63838568E-16 1.14914506E-16 1.14914506E-16 1.14914506E-16 1.93510876E-16 1.31860727E-16 1.02702717E-16 5.96474284E-17 2.12720972E-17 8.72673489E-17 4.90426223E-17 1.37253653E-17 2.10141468E-17 2.56204042E-17 2.38884514E-18 3.90530519E-17 3.09876954E-17 1.37985848E-15 2.47744550E-16 3.51277195E-16 1.16422154E-16 2.83697391E-16 7.44579479E-16 7.44579479E-16 3.10117281E-16 3.10117281E-16 9.37577658E-16 2.65865166E-18 8.43430187E-16 
ET2-bas    1.48736452E-14 3.50892672E-15 3.50892672E-15 6.35182868E-17 2.33164744E-17 2.41992737E-17 3.16141464E-17 3.49354583E-18 1.29596852E-14 2.46831310E-13 3.64671390E-13 6.59231537E-14 9.02874516E-16 9.02874516E-16 2.65720970E-16 2.65720970E-16 2.65720970E-16 1.55483217E-15 1.70631796E-16 2.03300174E-16 7.09363640E-17 3.14491223E-17 3.03996967E-16 6.19946170E-17 1.52689021E-17 2.13570126E-17 2.72466133E-17 2.63301684E-18 7.05662612E-17 3.80404763E-17 2.75285964E-15 5.92196473E-16 2.09340380E-16 2.85700111E-16 3.36809541E-16 8.51797129E-16 8.51797129E-16 4.80412620E-16 4.80412620E-16 9.89488177E-16 2.50227924E-18 1.17804387E-15 
LN-ET      1.05899059E-14 5.03403852E-15 5.03403852E-15 1.04674996E-16 2.77144489E-17 4.00207665E-17 5.31506028E-17 3.11767523E-18 1.20921066E-15 6.59279603E-14 6.59279603E-14 7.99213697E-13 2.01922303E-15 2.01922303E-15 4.93374227E-16 4.93374227E-16 4.93406271E-16 4.02450712E-15 4.34974894E-16 3.64078585E-16 1.12466381E-16 4.76759657E-17 4.44027192E-16 8.90457648E-17 2.46318613E-17 3.34726712E-17 4.13441642E-17 4.34301980E-18 1.12610577E-16 5.77873015E-17 7.19056807E-16 6.77063762E-16 2.53656581E-16 5.41231239E-16 3.37931065E-16 5.42785350E-16 5.42785350E-16 5.37594298E-16 5.37594298E-16 1.53293042E-15 4.04116975E-18 8.74044446E-16 
