  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
O-mucosa   4.59920782E-17 1.42721881E-20 1.42721881E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.59538326E-19 9.03771735E-17 9.03771735E-17 2.04629981E-16 1.76559849E-20 1.76559849E-20 2.81197995E-21 2.81197995E-21 2.81197995E-21 2.03236087E-20 6.00832204E-17 0.00000000E+00 7.59287459E-18 7.59287459E-18 1.00685577E-18 1.00685577E-18 1.54588092E-16
Oesophagus 2.42873934E-20 2.06824963E-14 1.56710484E-16 3.21012081E-20 4.24368486E-23 2.42104889E-22 0.00000000E+00 0.00000000E+00 6.99702515E-22 2.79515710E-17 2.79515710E-17 2.10429860E-19 1.23889899E-16 1.23889899E-16 2.40374538E-18 2.40374538E-18 2.40374538E-18 9.98941018E-17 3.65248174E-16 0.00000000E+00 1.44038871E-18 1.44038871E-18 1.78178047E-20 1.78178047E-20 1.26646081E-16
St-stem    1.71545036E-22 1.92437418E-18 1.92437418E-18 6.40774464E-16 1.28145280E-18 1.31221459E-21 1.00448455E-20 9.37465506E-24 0.00000000E+00 9.35462785E-24 9.35462785E-24 2.63894489E-22 1.74300780E-21 1.74300780E-21 7.51196468E-19 7.51196468E-19 7.51196468E-19 1.58854197E-21 3.63998476E-16 1.25174845E-23 6.92620895E-21 6.92620895E-21 5.27885109E-21 5.27885109E-21 1.26022201E-16
SI-stem    0.00000000E+00 1.51636391E-21 1.51636391E-21 4.22766310E-19 2.44412023E-17 9.38843378E-19 2.07385724E-18 2.15668977E-18 3.03612444E-23 1.31165382E-24 1.31165382E-24 0.00000000E+00 1.77617285E-22 1.77617285E-22 5.82919871E-22 5.82919871E-22 5.82919871E-22 1.29899663E-22 3.96538681E-16 1.15483279E-18 9.46101237E-21 9.46101237E-21 1.14440262E-20 1.14440262E-20 1.23878216E-16
RC-stem    0.00000000E+00 2.01617889E-22 2.01617889E-22 1.11546731E-21 2.59536569E-19 0.00000000E+00 6.34590063E-20 6.13120898E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.81975205E-22 1.81975205E-22 1.81975205E-22 4.24528704E-22 3.83561051E-16 1.46999693E-20 1.08066804E-20 1.08066804E-20 6.74820715E-21 6.74820715E-21 1.24726404E-16
LC-stem    0.00000000E+00 3.70823748E-23 3.70823748E-23 4.94431664E-21 4.50499985E-19 5.05791095E-19 0.00000000E+00 1.62412630E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.08092439E-22 3.85435597E-16 2.29079194E-20 9.76606678E-21 9.76606678E-21 6.66056809E-21 6.66056809E-21 1.23824651E-16
RS-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.52676204E-18 4.16437713E-21 2.25970972E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.87438318E-16 3.97003312E-18 5.23110623E-21 5.23110623E-21 4.56860625E-20 4.56860625E-20 1.25304564E-16
ET1-bas    2.01826172E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.44654106E-11 4.77384506E-18 4.77384506E-18 2.53159907E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.57188917E-17 0.00000000E+00 2.94704343E-18 2.94704343E-18 1.17931405E-19 1.17931405E-19 1.19246543E-16
ET2-bas    9.20850936E-17 2.77913533E-17 2.77913533E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.74965220E-18 3.26010872E-13 1.83144794E-12 2.95056822E-16 4.46222173E-17 4.46222173E-17 1.04378594E-21 1.04378594E-21 1.04378594E-21 7.70118172E-17 5.83993330E-17 0.00000000E+00 1.27664627E-18 1.27664627E-18 2.59408395E-19 2.59408395E-19 1.19370476E-16
LN-ET      2.08363052E-16 1.13285093E-19 1.13285093E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.07259307E-22 2.99751199E-16 2.99751199E-16 6.01953728E-13 3.35800170E-19 3.35800170E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.81798657E-19 7.46902635E-18 0.00000000E+00 5.39917454E-20 5.39917454E-20 0.00000000E+00 0.00000000E+00 2.36889814E-18
