  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
O-mucosa   4.59920782E-17 6.52518418E-21 6.52518418E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.54216416E-20 6.20779302E-17 6.20779302E-17 3.13065286E-17 2.53993038E-21 2.53993038E-21 7.24952817E-22 7.24952817E-22 2.71120305E-22 1.89361239E-21 6.39733049E-17 0.00000000E+00 1.10985970E-18 1.10985970E-18 4.60497566E-19 4.60497566E-19 1.29959814E-16
Oesophagus 1.00204924E-20 1.92068917E-14 1.45527292E-16 5.64222472E-20 8.75573428E-22 3.80805307E-21 7.33700700E-23 0.00000000E+00 6.05526581E-23 2.03123935E-17 2.03123935E-17 3.88960386E-19 1.62733066E-17 1.62733066E-17 6.68572226E-19 6.68572226E-19 6.68572226E-19 1.01842348E-16 3.24392673E-16 0.00000000E+00 6.24368177E-19 6.24368177E-19 1.52097818E-20 1.52097818E-20 1.00795703E-16
St-stem    2.55947694E-23 3.53087654E-18 3.53087654E-18 6.40774464E-16 4.34766612E-19 1.85612146E-20 1.10782493E-18 1.15472064E-22 7.24327968E-24 1.19171489E-24 1.19171489E-24 1.37008520E-23 1.00941925E-20 1.00941925E-20 2.59985179E-19 2.59985179E-19 2.59985179E-19 4.44908389E-21 3.19730340E-16 0.00000000E+00 4.25105487E-21 4.25105487E-21 4.81534143E-21 4.81534143E-21 1.00891009E-16
SI-stem    0.00000000E+00 2.77032336E-21 2.77032336E-21 1.75886935E-19 2.26948299E-17 5.72617876E-19 2.18088263E-19 4.49538679E-19 3.26715829E-25 0.00000000E+00 0.00000000E+00 3.32195273E-24 5.41519631E-22 5.41519631E-22 1.64094916E-21 1.64094916E-21 1.64094916E-21 6.51829482E-22 3.47480037E-16 3.75806517E-19 6.05959169E-21 6.05959169E-21 2.89160812E-21 2.89160812E-21 9.83577447E-17
RC-stem    0.00000000E+00 1.00749664E-22 1.00749664E-22 5.33652944E-21 8.92236064E-19 0.00000000E+00 1.74525085E-19 3.44099444E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.26122406E-22 7.26122406E-22 2.80060450E-22 2.80060450E-22 2.80060450E-22 3.76495453E-22 3.49546844E-16 1.66081615E-21 3.59977013E-21 3.59977013E-21 7.23046227E-21 7.23046227E-21 9.71980856E-17
LC-stem    0.00000000E+00 3.91315585E-21 3.91315585E-21 1.68516923E-19 4.93983054E-19 9.24535942E-19 0.00000000E+00 1.58301446E-18 9.77119374E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.22125748E-21 2.22125748E-21 3.44211596E-21 3.44211596E-21 3.44211596E-21 1.24032493E-21 3.51918065E-16 2.26964321E-22 1.86797757E-21 1.86797757E-21 1.14661362E-19 1.14661362E-19 9.82635854E-17
RS-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.23891501E-19 4.03139648E-22 1.16548726E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.47752407E-16 2.13185603E-19 1.38713236E-20 1.38713236E-20 2.43594913E-21 2.43594913E-21 9.95825538E-17
ET1-bas    7.58053783E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.25053079E-11 1.17657432E-16 1.17657432E-16 2.40534756E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.12223679E-17 0.00000000E+00 3.56516312E-18 3.56516312E-18 1.49189868E-19 1.49189868E-19 9.92396348E-17
ET2-bas    6.23486980E-17 2.05911722E-17 2.05911722E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.17445945E-16 2.81886931E-13 1.58338296E-12 1.34057311E-15 6.82991815E-18 6.82991815E-18 3.23399324E-22 3.23399324E-22 3.23399324E-22 3.35351560E-19 6.36112131E-17 0.00000000E+00 1.18099633E-18 1.18099633E-18 3.50524172E-19 3.50524172E-19 9.94211673E-17
LN-ET      2.95905975E-17 3.39821633E-19 3.39821633E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.32285304E-15 1.32285304E-15 4.92108508E-13 1.51958429E-17 1.51958429E-17 0.00000000E+00 0.00000000E+00 3.30272661E-21 6.41399313E-19 2.58863655E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.16148182E-18 1.16148182E-18 1.39842700E-18
