  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
O-mucosa   2.38676231E-15 5.65808626E-20 5.65808626E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.34438011E-19 3.09011779E-16 3.09011779E-16 7.01977606E-16 5.99918964E-20 5.99918964E-20 8.70478507E-21 8.70478507E-21 8.70478507E-21 5.84025373E-20 9.48760850E-17 0.00000000E+00 2.52727319E-17 2.52727319E-17 3.55122418E-18 3.55122418E-18 2.38927615E-16
Oesophagus 7.26362732E-20 3.68068004E-13 7.18175610E-15 1.00177687E-19 1.59048060E-21 3.62652648E-21 3.65023869E-23 0.00000000E+00 2.18120307E-21 9.68739991E-17 9.68739991E-17 5.39757237E-19 4.23279006E-16 4.23279006E-16 7.84041086E-18 7.84041086E-18 7.84041086E-18 3.40077981E-16 5.69397502E-16 0.00000000E+00 4.79050770E-18 4.79050770E-18 5.53824346E-20 5.53824346E-20 1.94187947E-16
St-stem    1.71881494E-21 6.52550461E-18 6.52550461E-18 5.42737285E-15 4.32795934E-18 1.17727928E-20 3.81157786E-20 1.49922063E-22 6.23503002E-23 2.78698600E-22 2.78698600E-22 3.03900836E-21 1.12860516E-20 1.12860516E-20 2.56492434E-18 2.56492434E-18 2.56492434E-18 7.83960977E-21 5.65824648E-16 4.71969150E-22 1.96298663E-20 1.96298663E-20 1.69702534E-20 1.69702534E-20 1.81549121E-16
SI-stem    1.09555226E-22 5.72746051E-21 5.72746051E-21 1.43239384E-18 5.50443754E-16 3.15051984E-18 6.96450097E-18 7.30448282E-18 2.36593402E-22 5.37450103E-23 5.37450103E-23 6.31593993E-23 1.22391864E-21 1.22391864E-21 3.47351862E-21 3.47351862E-21 3.47351862E-21 8.76871191E-22 6.15203727E-16 3.87486383E-18 2.95425322E-20 2.95425322E-20 3.73739709E-20 3.73739709E-20 1.85944613E-16
RC-stem    0.00000000E+00 8.98308313E-22 8.98308313E-22 5.91651733E-21 8.82078265E-19 3.95609418E-17 2.44251805E-19 1.92934093E-20 9.55970644E-25 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.70799870E-23 2.70799870E-23 1.93911420E-21 1.93911420E-21 1.93911420E-21 1.12157161E-21 5.93574345E-16 5.20659293E-20 2.79515710E-20 2.79515710E-20 2.40646908E-20 2.40646908E-20 1.94390263E-16
LC-stem    0.00000000E+00 4.39973685E-22 4.39973685E-22 2.01842194E-20 1.53333096E-18 1.71753319E-18 4.28886624E-17 5.62828578E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.69838255E-24 4.69838255E-24 1.99038385E-23 1.99038385E-23 1.99038385E-23 1.06067288E-21 5.98044417E-16 7.48088245E-20 2.61811660E-20 2.61811660E-20 1.99759364E-20 1.99759364E-20 1.93319306E-16
RS-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 2.44828589E-22 5.15980938E-18 2.34158094E-20 7.76110312E-20 1.15033067E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.01374513E-22 0.00000000E+00 6.00543813E-16 1.34014052E-17 2.24769339E-20 2.24769339E-20 1.40446791E-19 1.40446791E-19 1.95479961E-16
ET1-bas    5.28958567E-19 5.00728217E-23 5.00728217E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.61819516E-11 1.70439535E-17 1.70439535E-17 4.90506331E-20 4.39204640E-21 4.39204640E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.86076777E-23 8.54921373E-17 0.00000000E+00 1.03587119E-17 1.03587119E-17 4.01409297E-19 4.01409297E-19 1.46757700E-16
ET2-bas    3.14042613E-16 9.59895977E-17 9.59895977E-17 2.38483970E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.62156282E-17 9.95576447E-13 2.39445276E-12 1.00144041E-15 1.67123029E-16 1.67123029E-16 8.06695861E-21 8.06695861E-21 8.06695861E-21 2.62821031E-16 8.97987877E-17 0.00000000E+00 4.26194967E-18 4.26194967E-18 9.21652024E-19 9.21652024E-19 1.47143596E-16
LN-ET      7.12039274E-16 2.87302288E-19 2.87302288E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.70567400E-21 1.02569737E-15 1.02569737E-15 9.30079472E-13 1.76768132E-18 1.76768132E-18 1.42004106E-20 1.42004106E-20 1.42004106E-20 1.13852263E-18 1.08629168E-17 0.00000000E+00 2.27829496E-19 2.27829496E-19 6.32234864E-22 6.32234864E-22 8.16879953E-18
