  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
O-mucosa   2.38676231E-15 2.16069521E-20 2.16069521E-20 3.61130580E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.79355492E-19 2.15636933E-16 2.15636933E-16 1.05178080E-16 7.93846406E-21 7.93846406E-21 8.49473973E-21 8.49473973E-21 2.45565590E-21 9.19761456E-21 1.00845795E-16 0.00000000E+00 3.76767823E-18 3.76767823E-18 1.83288990E-18 1.83288990E-18 2.02019850E-16
Oesophagus 3.76767823E-20 3.41760266E-13 6.66954028E-15 1.63838568E-19 7.15980629E-21 1.27408279E-20 5.51116668E-21 0.00000000E+00 1.13245038E-21 6.96754511E-17 6.96754511E-17 1.22715504E-18 5.60008748E-17 5.60008748E-17 2.23167163E-18 2.23167163E-18 2.23167163E-18 3.45765708E-16 5.05390551E-16 0.00000000E+00 1.97292013E-18 1.97292013E-18 7.44980023E-20 7.44980023E-20 1.54128046E-16
St-stem    7.34549854E-22 1.19778714E-17 1.19778714E-17 5.42737285E-15 1.46644010E-18 5.98765397E-20 3.71929250E-18 1.90002110E-21 3.03243944E-22 8.98981227E-23 8.98981227E-23 4.84337952E-22 4.15268124E-20 4.15268124E-20 8.82590961E-19 8.82590961E-19 8.82590961E-19 1.65184396E-20 4.95184687E-16 1.14002868E-22 1.30985939E-20 1.30985939E-20 1.31689294E-20 1.31689294E-20 1.45277932E-16
SI-stem    1.13802596E-23 9.26650815E-21 9.26650815E-21 5.96282023E-19 5.11078278E-16 1.88447998E-18 7.01737280E-19 1.48938326E-18 2.40855191E-23 7.35334920E-25 7.35334920E-25 1.00326689E-22 2.22734575E-21 2.22734575E-21 5.41055000E-21 5.41055000E-21 5.41055000E-21 2.34126050E-21 5.38010864E-16 1.26759397E-18 2.23695881E-20 2.23695881E-20 1.41536271E-20 1.41536271E-20 1.47607992E-16
RC-stem    1.35164415E-25 2.07337659E-21 2.07337659E-21 2.17207066E-20 3.01081005E-18 3.49130278E-17 6.03876340E-19 9.95336121E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.44867871E-24 3.31746663E-21 3.31746663E-21 2.55146606E-21 2.55146606E-21 2.55146606E-21 1.55991107E-21 5.41711892E-16 8.38947674E-21 1.25921459E-20 1.25921459E-20 1.70711905E-20 1.70711905E-20 1.52201305E-16
LC-stem    4.14515101E-23 1.11078896E-20 1.11078896E-20 4.83472777E-19 1.50292165E-18 3.18096120E-18 3.94824352E-17 5.42336741E-18 1.82664141E-22 0.00000000E+00 0.00000000E+00 3.75165646E-22 7.93509949E-21 7.93509949E-21 1.11069283E-20 1.11069283E-20 1.11069283E-20 2.48161116E-21 5.45973681E-16 1.84009970E-21 1.05479289E-20 1.05479289E-20 3.86589165E-19 3.86589165E-19 1.53280224E-16
RS-stem    0.00000000E+00 2.21981552E-25 2.21981552E-25 7.76751183E-22 4.17751497E-19 4.51621508E-21 6.92396591E-21 1.05966351E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.81782944E-24 1.81782944E-24 1.90146305E-24 1.90146305E-24 1.90146305E-24 0.00000000E+00 5.37866668E-16 5.67554999E-19 3.43586748E-20 3.43586748E-20 1.24692589E-20 1.24692589E-20 1.54944723E-16
ET1-bas    2.89353074E-19 1.28989627E-21 1.28989627E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.12792916E-11 4.14451014E-16 4.14451014E-16 2.80861538E-20 4.65608509E-28 4.65608509E-28 1.98990320E-28 1.98990320E-28 1.98990320E-28 5.15676524E-21 9.46998456E-17 0.00000000E+00 1.24756677E-17 1.24756677E-17 5.81093390E-19 5.81093390E-19 1.20829801E-16
ET2-bas    2.16486087E-16 7.00968235E-17 7.00968235E-17 2.06696789E-21 1.12580135E-24 0.00000000E+00 1.47863266E-23 0.00000000E+00 4.14579188E-16 8.60801361E-13 2.07017224E-12 4.54120903E-15 2.67162929E-17 2.67162929E-17 3.98813771E-21 3.98813771E-21 3.98813771E-21 1.68372727E-18 9.83319797E-17 0.00000000E+00 4.33404761E-18 4.33404761E-18 1.24431435E-18 1.24431435E-18 1.21398444E-16
LN-ET      1.02491230E-16 1.27959427E-18 1.27959427E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.74324658E-21 4.50660202E-15 4.50660202E-15 7.59960373E-13 5.22389644E-17 5.22389644E-17 3.28542310E-22 3.28542310E-22 1.34437027E-20 3.38507848E-18 4.04052888E-17 0.00000000E+00 2.26035059E-20 2.26035059E-20 4.11599140E-18 4.11599140E-18 4.86104680E-18
Bronch-bas 1.05198908E-21 2.41512084E-17 2.41512084E-17 6.40582203E-20 4.93181966E-21 3.54609722E-21 9.51548637E-21 2.54810148E-25 3.88704038E-21 8.12832197E-21 8.12832197E-21 1.88736390E-20 1.83465230E-12 2.54377561E-12 1.01786272E-14 3.08114560E-16 1.22201205E-18 1.00615081E-15 4.20266914E-16 0.00000000E+00 2.97139651E-20 2.97139651E-20 3.13577982E-20 3.13577982E-20 1.93297839E-16
Bronch-sec 1.05198908E-21 2.41512084E-17 2.41512084E-17 6.40582203E-20 4.93181966E-21 3.54609722E-21 9.51548637E-21 2.54810148E-25 3.88704038E-21 8.12832197E-21 8.12832197E-21 1.88736390E-20 3.41584027E-12 1.88239715E-12 1.01786272E-14 3.08114560E-16 1.09024906E-18 1.00615081E-15 4.20266914E-16 0.00000000E+00 2.97139651E-20 2.97139651E-20 3.13577982E-20 3.13577982E-20 1.87386437E-16
Bchiol-sec 2.45565590E-21 1.97852774E-18 1.97852774E-18 4.60914132E-19 1.00249785E-20 6.03123317E-21 1.24599663E-20 4.41816188E-23 1.82311662E-21 5.67506933E-21 5.67506933E-21 1.34437027E-20 2.34334333E-16 2.34334333E-16 6.99606385E-13 4.77720963E-13 4.67835534E-15 2.76247270E-17 4.20266914E-16 4.10253311E-23 1.13535032E-18 1.13535032E-18 8.66745436E-19 8.66745436E-19 1.36384548E-16
AI         2.45565590E-21 1.97852774E-18 1.97852774E-18 4.60914132E-19 1.00249785E-20 6.03123317E-21 1.24599663E-20 4.41816188E-23 1.82311662E-21 5.67506933E-21 5.67506933E-21 1.34437027E-20 2.34334333E-16 2.34334333E-16 1.01786272E-14 1.01786272E-14 1.11450601E-14 2.76247270E-17 1.32166743E-15 4.10253311E-23 1.13535032E-18 1.13535032E-18 8.66745436E-19 8.66745436E-19 8.98520557E-17
LN-Th      9.19761456E-21 3.44820424E-16 3.44820424E-16 1.55036210E-20 4.38932270E-21 0.00000000E+00 1.22515232E-22 0.00000000E+00 0.00000000E+00 1.84250296E-18 1.84250296E-18 3.38796240E-18 1.62108217E-15 1.62108217E-15 3.11254826E-17 3.11254826E-17 3.11254826E-17 7.54721256E-13 1.56875509E-16 0.00000000E+00 6.27989096E-19 6.27989096E-19 3.45781729E-20 3.45781729E-20 3.82179226E-18
R-marrow   1.24522759E-18 4.58799259E-19 4.58799259E-19 3.00680461E-20 3.86284751E-20 2.61314985E-20 3.74604884E-20 5.14250587E-20 3.91748173E-19 7.40942538E-19 7.40942538E-19 1.52277262E-18 7.40894473E-20 7.40894473E-20 1.58876627E-18 1.58876627E-18 1.58876627E-18 1.92421396E-19 3.51533543E-16 5.74460379E-20 1.37409064E-16 4.07129067E-17 1.44878411E-15 7.35190725E-16 1.90792351E-16
Endost-BS  2.04982460E-18 2.06216136E-19 2.06216136E-19 1.04340142E-20 1.47254439E-20 1.02278140E-20 1.35002595E-20 2.57037174E-20 7.86139937E-19 1.23454107E-18 1.23454107E-18 7.26987581E-19 2.57565892E-20 2.57565892E-20 5.37994843E-19 5.37994843E-19 5.37994843E-19 6.26835529E-20 1.34675751E-16 3.10629977E-20 1.28106828E-15 4.65288074E-17 6.31417754E-15 3.39981851E-15 1.45007023E-16
Brain      5.06944662E-20 1.66754529E-21 1.66754529E-21 3.19506035E-23 0.00000000E+00 9.25321008E-24 0.00000000E+00 0.00000000E+00 5.06127552E-20 5.93109714E-18 5.93109714E-18 1.44703774E-20 6.61634802E-22 6.61634802E-22 2.34670790E-22 2.34670790E-22 2.34670790E-22 8.16517203E-22 9.82518709E-17 0.00000000E+00 3.90754823E-18 3.90754823E-18 1.04827203E-18 1.04827203E-18 1.94507639E-16
Eye-lens   8.67866959E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.60280808E-19 4.57565583E-19 4.57565583E-19 8.52389935E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 9.59271128E-17 0.00000000E+00 2.50868794E-26 2.50868794E-26 1.52650569E-26 1.52650569E-26 1.95319115E-16
P-gland    1.61499390E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.03996967E-19 5.21780817E-16 5.21780817E-16 3.94135416E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.96882685E-22 1.03223425E-21 9.94438902E-17 0.00000000E+00 1.20743224E-18 1.20743224E-18 4.08074351E-19 4.08074351E-19 1.92549520E-16
Tongue     1.43516561E-13 3.07297450E-20 3.07297450E-20 0.00000000E+00 0.00000000E+00 2.66393884E-23 0.00000000E+00 0.00000000E+00 1.87855193E-19 1.06695341E-16 1.06695341E-16 5.23190732E-17 6.92348525E-21 6.92348525E-21 8.23823128E-21 8.23823128E-21 8.23823128E-21 1.50779227E-20 9.94935577E-17 0.00000000E+00 1.98125144E-18 1.98125144E-18 9.87277173E-19 9.87277173E-19 8.53724831E-17
Tonsils    1.28060364E-18 7.21235767E-23 7.21235767E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.88944673E-20 5.46838857E-18 5.46838857E-18 1.15146822E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.19914745E-21 1.00325087E-16 0.00000000E+00 3.43266312E-18 3.43266312E-18 1.97660513E-18 1.97660513E-18 1.93260773E-16
S-glands   3.54898114E-25 3.00392070E-20 3.00392070E-20 7.57509043E-23 2.94447995E-24 0.00000000E+00 1.48326295E-23 0.00000000E+00 1.44333671E-20 2.67227016E-19 2.67227016E-19 6.16341273E-19 9.47623305E-21 9.47623305E-21 1.50896186E-21 1.50896186E-21 1.50896186E-21 1.93382702E-20 9.92564355E-17 0.00000000E+00 1.38115624E-18 1.38115624E-18 7.22197073E-20 7.22197073E-20 1.94372021E-16
Thyroid    3.93238197E-20 9.89616351E-17 9.89616351E-17 1.64591591E-23 3.32339469E-24 0.00000000E+00 8.44587335E-23 0.00000000E+00 5.68259956E-23 2.70896000E-19 2.70896000E-19 7.21988790E-19 1.15665927E-17 1.15665927E-17 9.29374515E-20 9.29374515E-20 9.29374515E-20 2.65993340E-16 3.14667462E-16 0.00000000E+00 3.93302284E-20 3.93302284E-20 4.01825863E-21 4.01825863E-21 1.74484089E-16
Breast     9.89536242E-22 4.74805002E-21 4.74805002E-21 3.40638743E-20 1.98493645E-21 4.72722172E-21 4.74564675E-21 0.00000000E+00 3.28109723E-20 4.85747867E-24 4.85747867E-24 6.74708562E-21 3.98861836E-20 3.98861836E-20 5.95192543E-20 5.95192543E-20 5.95192543E-20 1.57952171E-20 9.96313448E-17 0.00000000E+00 1.76495762E-21 1.76495762E-21 5.52254213E-21 5.52254213E-21 1.95552918E-16
Thymus     1.53828169E-20 4.93133901E-19 4.93133901E-19 1.01287995E-20 2.30136631E-23 1.27930588E-21 1.17043799E-21 0.00000000E+00 5.33188313E-21 3.55811354E-20 3.55811354E-20 8.27780504E-20 5.79635409E-19 5.79635409E-19 1.37825630E-17 1.37825630E-17 1.37825630E-17 2.20860029E-18 9.96553775E-17 0.00000000E+00 3.49306518E-18 3.49306518E-18 2.37378468E-19 2.37378468E-19 1.93983819E-16
Ht-wall    2.48818008E-21 4.20058631E-17 4.20058631E-17 1.02911000E-17 1.89152956E-20 4.63958267E-21 2.06632702E-20 1.12165172E-22 1.63373936E-21 2.86517221E-21 2.86517221E-21 8.43497855E-21 5.20995750E-18 5.20995750E-18 1.23343557E-17 1.23343557E-17 1.23343557E-17 5.81926522E-17 4.03796540E-16 5.68932871E-22 2.53480342E-20 2.53480342E-20 2.53832821E-20 2.53832821E-20 1.72918156E-16
Adrenals   0.00000000E+00 5.29503307E-20 5.29503307E-20 1.98173210E-19 1.23274663E-19 3.64559238E-20 7.33604570E-20 3.37482455E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.78153860E-20 2.78153860E-20 2.89192856E-20 2.89192856E-20 2.89192856E-20 1.96154467E-20 4.17511171E-16 7.54464908E-24 3.15228224E-20 3.15228224E-20 2.06873028E-20 2.06873028E-20 1.64284847E-16
Liver      9.35030198E-22 1.05588237E-18 1.05588237E-18 9.56611515E-19 1.59620037E-19 3.21412625E-19 3.71624836E-20 7.00615756E-22 1.05445643E-21 7.49273856E-22 7.49273856E-22 1.45349451E-21 1.92821940E-19 1.92821940E-19 2.37634817E-18 2.37634817E-18 2.37634817E-18 2.39589472E-20 5.23879668E-16 8.52421978E-22 1.48768496E-19 1.48768496E-19 3.59832817E-19 3.59832817E-19 1.55443760E-16
Pancreas   8.08826756E-23 3.89953735E-20 3.89953735E-20 1.01624452E-18 1.71833428E-17 2.69277802E-19 2.23792012E-19 2.77769338E-21 2.15140259E-22 2.46943462E-22 2.46943462E-22 2.49298661E-22 1.61595520E-20 1.61595520E-20 1.17212027E-20 1.17212027E-20 1.17212027E-20 7.27003603E-21 4.24400530E-16 5.97804091E-22 1.44897637E-20 1.44897637E-20 1.47946579E-20 1.47946579E-20 1.64258866E-16
Kidneys    2.94752408E-23 1.35853351E-20 1.35853351E-20 8.44683466E-20 5.11030212E-19 1.34106978E-19 1.17606163E-19 5.55394479E-21 7.39372405E-23 4.88103067E-22 4.88103067E-22 3.96554702E-22 9.60488782E-21 9.60488782E-21 1.42250842E-20 1.42250842E-20 1.42250842E-20 4.31113649E-21 5.83416546E-16 1.44557976E-21 1.79876354E-20 1.79876354E-20 1.78690744E-20 1.78690744E-20 1.49753760E-16
Spleen     1.00800934E-21 6.45516907E-20 6.45516907E-20 3.16205551E-19 1.04442681E-19 3.25898719E-21 2.08587357E-19 1.58974360E-21 1.06145794E-22 4.12320119E-22 4.12320119E-22 1.98910211E-21 5.59079485E-20 5.59079485E-20 3.74508754E-18 3.74508754E-18 3.74508754E-18 2.58671394E-20 7.52830688E-16 2.64439229E-22 2.99975504E-20 2.99975504E-20 3.76719757E-20 3.76719757E-20 1.33910670E-16
GB-wall    0.00000000E+00 2.47888746E-20 2.47888746E-20 3.52318609E-20 1.42761936E-18 1.52596095E-17 4.22942549E-20 1.00003050E-22 0.00000000E+00 4.13025077E-24 4.13025077E-24 4.25746358E-23 2.19610331E-20 2.19610331E-20 1.22395068E-20 1.22395068E-20 1.22395068E-20 7.04733350E-21 9.96425601E-17 9.53887815E-23 1.59568767E-20 1.59568767E-20 1.19842801E-20 1.19842801E-20 1.91069643E-16
Ureters    0.00000000E+00 1.15811725E-21 1.15811725E-21 3.02426834E-20 6.25842179E-18 1.19836393E-19 6.60240909E-20 1.05311060E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.75365455E-22 6.75365455E-22 3.08979736E-23 3.08979736E-23 2.82543823E-21 3.89505126E-23 9.51788964E-17 2.61314985E-19 1.84907188E-20 1.84907188E-20 1.78866983E-20 1.78866983E-20 1.93690146E-16
