  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
O-mucosa   2.67531430E-13 1.69654468E-15 1.69654468E-15 1.68436814E-16 1.72185907E-16 4.39797446E-17 6.37570111E-17 6.54601247E-17 7.73434677E-17 8.18359706E-17 9.73418346E-17 9.06655652E-18 1.11940867E-17 1.64239112E-14 3.47560145E-14 3.47560145E-14 2.58383002E-14 8.76182255E-16 8.76182255E-16 5.56451916E-16 5.56451916E-16 5.56451916E-16 1.48465684E-15 1.24405800E-15 1.99695277E-16 7.72665633E-17 1.61178955E-16 1.09262028E-16 7.62347616E-16 5.24969148E-16 5.92709170E-16 3.89376952E-15 4.45645390E-16 5.66481541E-16 1.42731495E-15 1.65296548E-15 1.94536269E-15 1.64319221E-15 6.96049553E-18 5.89171967E-15
Oesophagus 1.70311361E-15 2.09260271E-12 3.44916554E-13 4.85988194E-15 4.39813467E-15 6.14354574E-16 1.09016895E-15 5.30672896E-16 6.43738491E-16 8.44379052E-16 9.77760245E-16 7.25914123E-17 1.02228473E-16 5.20130575E-16 8.03363334E-15 8.03363334E-15 1.29143436E-14 1.33459699E-14 1.33459699E-14 6.21067693E-15 6.21067693E-15 6.21067693E-15 3.69638137E-14 4.10141159E-15 3.35239408E-15 1.39809125E-15 3.06912928E-15 2.25233971E-15 7.88943746E-16 4.80941338E-16 1.06352475E-15 3.76735779E-16 1.52786754E-14 6.43482142E-15 3.56243942E-15 1.51706887E-15 1.72858821E-15 1.17659035E-15 6.18664429E-17 4.01460715E-15
St-stem    1.73515714E-16 4.87494240E-15 4.87494240E-15 1.40124753E-13 8.03924096E-14 3.56884812E-15 6.98500883E-15 1.95209183E-15 2.70110934E-15 9.68884187E-15 1.20637481E-14 2.74084332E-16 4.13393577E-16 1.46917982E-16 1.67219160E-16 1.67219160E-16 2.64439229E-16 2.37955252E-15 2.37955252E-15 2.72994852E-15 2.72994852E-15 2.72994852E-15 1.22467166E-15 3.77136323E-15 5.30352461E-15 3.65007847E-15 9.38667138E-15 1.38136452E-14 6.27043812E-16 5.09460079E-16 1.42701053E-15 5.05678943E-17 7.42240301E-15 2.71969459E-15 1.40675902E-15 6.45132384E-16 5.65376039E-16 6.27284138E-16 2.32267525E-16 6.39285579E-16
SI-stem    4.56700408E-17 6.18776581E-16 6.18776581E-16 3.55923507E-15 3.41760266E-15 3.72970664E-14 2.15781129E-14 6.42312554E-15 5.63533536E-15 7.59944351E-15 6.29847621E-15 4.03107604E-15 5.29439220E-15 4.31113649E-17 4.17687410E-17 4.17687410E-17 6.57549252E-17 4.22525983E-16 4.22525983E-16 5.01657480E-16 5.01657480E-16 5.01657480E-16 2.61379072E-16 2.90426532E-15 1.66081615E-15 4.03620301E-15 2.09212206E-15 7.41230930E-15 9.43810125E-16 5.04285049E-16 1.93831311E-15 1.53946730E-17 7.80788667E-16 4.99174106E-16 2.02499086E-15 1.01594011E-15 7.49674400E-16 8.36127843E-16 4.62612439E-15 8.27474981E-16
RC-stem    6.45580994E-17 5.26298954E-16 5.26298954E-16 1.94408095E-15 1.52930950E-15 6.40918660E-15 6.51605177E-15 1.57187933E-13 4.67611229E-14 2.39557428E-15 3.20675624E-15 8.08282016E-16 8.80588241E-16 6.03091273E-17 5.70935591E-17 5.70935591E-17 8.77704323E-17 4.31337954E-16 4.31337954E-16 5.27100042E-16 5.27100042E-16 5.27100042E-16 2.87190135E-16 2.96835238E-15 4.25329792E-15 4.95601253E-15 6.32875734E-16 6.69517510E-15 9.24215507E-16 5.36088253E-16 1.63422002E-15 1.99695277E-17 6.49586435E-16 5.24103972E-16 1.45894191E-15 7.61834920E-16 5.84506026E-16 6.75589759E-16 1.00265807E-15 6.13977005E-16
LC-stem    8.72657467E-17 8.48256319E-16 8.48256319E-16 9.71191321E-15 8.96353657E-15 7.58694654E-15 1.10409186E-14 2.39301080E-15 2.93951320E-15 1.58206917E-13 5.24856995E-14 1.15646701E-15 2.42425324E-15 8.10653237E-17 7.86556503E-17 7.86556503E-17 1.19097789E-16 8.20426514E-16 8.20426514E-16 9.22549243E-16 9.22549243E-16 9.22549243E-16 4.15059841E-16 2.89657487E-15 1.56508610E-15 4.16902344E-15 5.74300162E-15 5.49722774E-15 7.74043504E-16 5.89825252E-16 1.65328592E-15 2.70815892E-17 1.41781404E-15 9.19457042E-16 1.24293648E-15 6.87317691E-16 4.65223987E-16 6.57997861E-16 5.49290187E-16 5.23108351E-16
RS-stem    9.03162907E-18 7.25097013E-17 7.25097013E-17 2.69069519E-16 2.57533849E-16 4.02210385E-15 1.77633307E-15 8.17077965E-16 6.34958564E-16 1.14555619E-15 6.16229120E-16 3.27805309E-13 6.31225492E-14 8.92828869E-18 6.61202214E-18 6.61202214E-18 1.19352535E-17 6.21788673E-17 6.21788673E-17 7.45845198E-17 7.45845198E-17 7.45845198E-17 4.12544424E-17 2.25810754E-15 2.09051988E-16 4.77224288E-16 2.00544431E-16 4.38611835E-16 1.27030165E-15 5.32082811E-16 1.82375750E-15 2.59248177E-18 9.26218227E-17 7.41919866E-17 2.40662930E-15 1.30827323E-15 1.10506919E-15 1.10489295E-15 1.46408490E-14 1.22687011E-15
ET1-bas    1.64046851E-14 4.91483659E-16 4.91483659E-16 1.32520824E-16 1.32145914E-16 3.62973083E-17 6.05686799E-17 5.62267816E-17 7.03900218E-17 7.07200701E-17 8.61906863E-17 6.74067692E-18 1.19314083E-17 4.38067095E-11 2.77384815E-14 2.77384815E-14 3.06896906E-15 4.31321932E-16 4.31321932E-16 3.02218551E-16 3.02218551E-16 3.02218551E-16 5.11895388E-16 3.59127860E-16 1.58496911E-16 5.86140246E-17 1.04942560E-16 8.28565570E-17 2.27989714E-16 8.24560129E-16 6.43402034E-16 3.58038380E-15 2.70992131E-16 3.06207970E-16 6.37842481E-16 1.86605495E-15 1.75438325E-15 7.96906563E-16 7.46758439E-18 2.33462102E-15
ET2-bas    3.47592189E-14 7.99389936E-15 7.99389936E-15 1.64944069E-16 1.67379378E-16 4.07946177E-17 6.26178636E-17 5.69397502E-17 6.53752094E-17 7.37738185E-17 8.52181652E-17 7.20658984E-18 1.01984942E-17 2.76599749E-14 1.47666198E-12 2.36609424E-12 1.13837844E-13 1.94776596E-15 1.94776596E-15 6.93854571E-16 6.93854571E-16 6.93854571E-16 3.89713409E-15 4.58735172E-16 1.87775084E-16 8.39188000E-17 1.85499994E-16 1.00691986E-16 7.66160796E-16 5.41151130E-16 7.71207652E-16 7.01384801E-15 5.32499377E-16 7.33123917E-16 1.52443888E-15 2.23824055E-15 2.12640863E-15 1.23061574E-15 6.78810134E-18 2.86638636E-15
LN-ET      2.57165348E-14 1.28226991E-14 1.28226991E-14 2.39605494E-16 2.74260571E-16 6.57549252E-17 7.59255415E-17 8.75701602E-17 1.06988539E-16 1.11556344E-16 1.40244917E-16 1.19352535E-17 9.37048940E-18 3.16958574E-15 1.13972427E-13 1.13972427E-13 2.20715833E-12 4.38323443E-15 4.38323443E-15 1.26866743E-15 1.26866743E-15 1.26871549E-15 9.93461574E-15 1.06338056E-15 2.93134210E-16 1.30248938E-16 2.95409301E-16 1.53919493E-16 1.08121278E-15 6.48016302E-16 7.99181653E-16 1.88063476E-15 9.47062543E-16 1.36633611E-15 1.72330103E-15 3.54081004E-15 1.40739989E-15 1.31745370E-15 1.02331012E-17 1.64571652E-15
