  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
O-mucosa   8.29062245E-14 4.51028703E-19 4.51028703E-19 5.44467636E-21 4.29527494E-21 3.01593702E-22 3.70951922E-22 9.68403534E-23 3.30737292E-22 8.96081287E-22 2.43514804E-23 3.69782333E-24 3.27789287E-24 3.60649927E-18 3.10549868E-15 3.10549868E-15 7.33748766E-15 4.27476708E-19 4.27476708E-19 7.69925911E-20 7.69925911E-20 7.69925911E-20 4.85026888E-19 2.36689532E-16 1.78770852E-20 1.38846217E-21 1.75726717E-20 4.99654759E-21 4.22590070E-17 2.37170185E-19 1.34876023E-17 3.83144485E-19 6.57597317E-20 8.87028990E-20 1.71641167E-17 1.46015956E-16 2.36128771E-16 3.95561353E-17 2.88471876E-24 4.07859244E-15
Oesophagus 4.43674713E-19 2.45052894E-12 2.15636933E-13 6.37057415E-17 6.82014487E-19 4.11230639E-20 4.70110625E-20 1.32232432E-20 2.10590077E-20 1.51599541E-20 6.83648707E-21 9.92740595E-22 7.79474883E-22 3.95673505E-20 9.47206739E-16 9.47206739E-16 4.32844000E-18 4.19065282E-15 4.19065282E-15 6.79290787E-17 6.79290787E-17 6.79290787E-17 3.34566494E-15 1.38399209E-15 3.75726408E-17 1.24549996E-19 5.14458870E-19 1.14380982E-19 1.55298967E-17 7.01480931E-20 1.30420370E-17 2.85780220E-20 8.49522039E-16 2.05383004E-16 4.08955548E-18 5.11014191E-17 4.69613950E-17 1.20301024E-18 4.84129669E-22 3.04376736E-15
St-stem    9.80724271E-21 6.45725190E-17 6.45725190E-17 1.27618164E-13 4.53303793E-14 1.52145884E-16 4.38515704E-17 1.35018617E-19 1.24620492E-19 2.79131188E-19 2.90314379E-19 1.31746973E-20 1.17075842E-20 6.65656265E-21 6.40502094E-21 6.40502094E-21 1.81911118E-20 1.08616351E-19 1.08616351E-19 2.42970064E-17 2.42970064E-17 2.42970064E-17 8.50659584E-20 1.34098968E-15 1.28592287E-16 1.29454258E-18 3.90866976E-16 8.33580383E-16 7.19217025E-18 7.01817388E-20 1.60778410E-17 1.51772576E-21 6.43658382E-17 2.34911117E-17 4.20619393E-19 6.60353061E-19 1.18503382E-19 1.41883943E-19 1.19927717E-20 6.40995700E-18
SI-stem    2.11967949E-21 4.22910506E-20 4.22910506E-20 1.52809185E-16 1.41879137E-17 3.14282940E-14 7.36071922E-15 1.36976477E-16 3.17791706E-17 1.95898119E-16 7.07617267E-17 8.66088544E-17 7.40606081E-17 2.16325869E-21 1.79427745E-21 1.79427745E-21 2.32011177E-21 1.34860001E-20 1.34860001E-20 3.41648114E-20 3.41648114E-20 3.41648114E-20 1.17112692E-20 1.44823937E-15 1.77857612E-17 1.77392981E-17 3.93798959E-19 3.27484874E-16 3.50171693E-18 5.81622108E-20 3.13337656E-17 2.12224297E-22 5.54032629E-20 3.34758755E-20 1.52674602E-18 9.53967924E-19 2.30392979E-19 3.20483363E-19 3.89905670E-17 1.23079422E-17
RC-stem    6.40886617E-22 1.33377988E-20 1.33377988E-20 1.27502807E-19 7.95480626E-20 1.36617589E-16 8.63717322E-18 1.46797818E-13 3.37562564E-15 7.25401426E-17 4.06616371E-18 1.62124239E-19 1.74717346E-19 8.49602148E-22 6.91787764E-23 6.91787764E-23 5.46454334E-22 1.04000480E-20 1.04000480E-20 1.58046700E-20 1.58046700E-20 1.58046700E-20 8.27588243E-21 1.38130044E-15 5.89649013E-18 7.78497555E-17 3.87999080E-20 2.43274478E-17 1.97548361E-17 6.58638732E-20 2.27300778E-17 5.66866063E-23 2.34494551E-20 1.56217014E-20 2.81838866E-19 1.95385423E-19 1.64719765E-19 1.63838568E-19 3.71272357E-19 7.15616936E-18
LC-stem    2.17655676E-22 9.21652024E-21 9.21652024E-21 2.83312868E-19 1.91668373E-19 1.95657793E-16 1.56495793E-17 7.15884498E-17 1.86269038E-17 1.46741742E-13 4.10733964E-15 5.84970657E-17 5.89520838E-17 2.06873028E-22 1.31162178E-22 1.31162178E-22 1.97436208E-22 4.38627857E-21 4.38627857E-21 1.10263388E-20 1.10263388E-20 1.10263388E-20 5.02506633E-21 1.41050811E-15 6.40902638E-20 2.92733666E-19 8.53351241E-20 3.24649022E-19 1.24524361E-17 6.48689216E-20 2.29575869E-17 1.32310939E-22 1.97372121E-20 1.08045976E-20 2.66762385E-19 1.81558640E-19 1.86285060E-19 1.57298483E-19 5.10453429E-19 5.70390340E-18
RS-stem    4.38291400E-24 6.51941634E-22 6.51941634E-22 1.15291018E-20 9.13625120E-21 8.61842776E-17 5.37241820E-17 1.99919582E-19 1.85243645E-19 5.91010863E-17 1.29816350E-18 3.04381489E-13 1.13161725E-14 1.26692106E-22 3.60441644E-24 3.60441644E-24 3.86060446E-24 3.75646299E-22 3.75646299E-22 2.21356703E-21 2.21356703E-21 1.40209669E-21 2.37474599E-22 1.40679106E-15 6.03539883E-21 2.86004525E-20 3.64062563E-21 2.52839471E-20 9.35478807E-18 5.50764189E-20 2.86789591E-17 7.74764484E-25 1.68484879E-21 1.38232583E-21 1.05498515E-17 2.69486085E-18 1.93062267E-19 1.34390564E-18 1.38357553E-16 2.71410896E-17
ET1-bas    3.55234571E-18 3.12007849E-20 3.12007849E-20 1.65985484E-21 2.39429254E-22 9.75933764E-22 3.61595211E-23 2.88824355E-23 2.78410208E-23 1.65488809E-23 1.73675931E-23 2.28951020E-24 4.11839466E-24 6.50579784E-11 1.40105527E-16 1.40105527E-16 3.99839164E-19 4.37922899E-20 4.37922899E-20 1.72554408E-20 1.72554408E-20 1.72554408E-20 1.89873935E-20 1.91331916E-16 1.91219764E-21 1.41899965E-21 3.42433181E-20 9.04909280E-23 5.27821022E-18 1.67619704E-17 1.24654137E-16 5.18576464E-19 2.46911418E-20 1.81350357E-20 2.57710088E-18 2.57613957E-17 9.88206435E-17 5.76110621E-18 5.96153849E-24 1.37065215E-15
ET2-bas    3.12344306E-15 9.40717924E-16 9.40717924E-16 2.22894793E-21 6.93325853E-21 3.49658997E-22 4.41303492E-22 1.93831311E-23 2.23103076E-23 1.36116108E-22 1.41145340E-22 3.21893278E-24 2.97892674E-24 1.40837722E-16 2.00608518E-12 3.17727619E-12 9.94294706E-15 1.65681071E-15 1.65681071E-15 8.87477600E-20 8.87477600E-20 8.87477600E-20 2.44283849E-15 2.03059848E-16 5.02266307E-21 5.26891760E-21 7.93269622E-21 9.93109095E-22 1.08813418E-17 7.15067388E-20 7.15307714E-17 3.80532937E-18 4.62996961E-20 5.53231541E-17 3.57798053E-18 1.11319222E-15 4.40790795E-17 9.06431348E-18 2.39301080E-24 1.36057375E-15
LN-ET      7.41999975E-15 3.74300471E-18 3.74300471E-18 1.82151445E-20 2.60465831E-20 3.13513895E-23 5.57701613E-23 3.69109419E-23 2.98261175E-23 9.85258431E-24 1.04187935E-23 3.76639649E-24 3.30384813E-24 2.77416859E-19 9.94695250E-15 9.94695250E-15 2.13762387E-12 9.27403838E-17 9.27403838E-17 1.66289898E-19 1.66289898E-19 1.66289898E-19 3.03163835E-17 2.47440137E-17 2.17511480E-20 5.75037163E-21 1.69974904E-20 4.91611833E-21 9.81541381E-17 8.89704625E-20 4.48048655E-17 2.51974296E-19 1.06086514E-19 3.25674415E-18 4.84209778E-19 1.20331465E-15 6.37938612E-18 2.44556219E-19 4.27380578E-24 4.52853045E-17
