  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Spleen         UB-cont        Other          
O-mucosa   1.51288719E-13 2.40951322E-15 2.40951322E-15 1.78658700E-16 5.97451612E-17 4.70815582E-17 3.94984569E-17 1.17463569E-17 1.80581312E-14 3.55538984E-14 3.55538984E-14 5.38106995E-14 2.35327682E-15 2.35327682E-15 6.93357897E-16 6.93357897E-16 6.93357897E-16 2.71040196E-15 9.10613028E-16 2.18280525E-16 1.81350357E-16 1.24449059E-17 1.21527081E-15
Oesophagus 2.38131491E-15 1.29766682E-12 1.71336754E-13 2.79707971E-15 4.15892972E-16 2.07626051E-16 1.90594915E-16 5.87630270E-17 7.24167750E-16 6.19161103E-15 6.19161103E-15 7.58790784E-15 2.90698902E-14 2.90698902E-14 5.65552278E-15 5.65552278E-15 5.65552278E-15 2.98661719E-14 3.44548054E-15 2.57918371E-15 2.33805615E-15 4.84882692E-17 1.21875626E-15
St-stem    1.67155073E-16 2.53480342E-15 2.53480342E-15 4.84257843E-14 5.73226704E-15 9.89936786E-16 1.63357915E-15 2.66570124E-16 1.42151507E-16 1.39246761E-16 1.39246761E-16 1.83305012E-16 8.08986974E-16 8.08986974E-16 1.72410212E-15 1.72410212E-15 1.72410212E-15 6.70126337E-16 2.98293218E-15 4.70639343E-15 1.28313508E-14 2.42473390E-16 1.09302169E-15
SI-stem    5.44275374E-17 3.43827074E-16 3.43827074E-16 3.05631187E-15 1.56680043E-14 5.39260562E-15 7.19072829E-15 5.62492121E-15 5.08642969E-17 4.29175016E-17 4.29175016E-17 5.61226402E-17 1.95962206E-16 1.95962206E-16 3.36040496E-16 3.36040496E-16 3.36040496E-16 1.71529015E-16 2.46703135E-15 1.62172304E-15 1.70984275E-15 4.94031120E-15 1.35806456E-15
RC-stem    4.99158085E-17 2.10173512E-16 2.10173512E-16 7.33620592E-16 4.23166854E-15 3.75902647E-14 2.74965529E-15 1.29539173E-15 4.41688014E-17 4.01249079E-17 4.01249079E-17 5.19201312E-17 1.51101264E-16 1.51101264E-16 2.41864562E-16 2.41864562E-16 2.41864562E-16 1.34876023E-16 2.24512991E-15 1.43016682E-15 4.42985777E-16 1.97884818E-15 1.30809700E-15
LC-stem    3.77232454E-17 1.81302291E-16 1.81302291E-16 1.24783914E-15 5.44483657E-15 2.73026895E-15 4.53351859E-14 2.94896604E-15 3.99406576E-17 2.94736387E-17 2.94736387E-17 3.64831608E-17 1.18988841E-16 1.18988841E-16 1.95850054E-16 1.95850054E-16 1.95850054E-16 1.02206042E-16 2.17511480E-15 6.00495747E-16 7.48552876E-16 2.59680765E-15 1.35622196E-15
RS-stem    1.14438660E-17 4.87654457E-17 4.87654457E-17 1.95081009E-16 5.15516306E-15 1.18198968E-15 1.95705858E-15 4.47471871E-14 1.33884276E-17 8.51620890E-18 8.51620890E-18 1.17944222E-17 3.80597024E-17 3.80597024E-17 6.04821624E-17 6.04821624E-17 6.04821624E-17 3.26283242E-17 1.97820731E-15 1.77825568E-16 1.66514202E-16 1.08404863E-14 1.49982289E-15
ET1-bas    1.80357007E-14 7.25609709E-16 7.25609709E-16 1.71737298E-16 5.14587044E-17 4.12079792E-17 2.86244851E-17 1.36913992E-17 5.07761772E-11 1.15225329E-14 1.15225329E-14 4.45100650E-15 7.60120591E-16 7.60120591E-16 4.13505730E-16 4.13505730E-16 4.13505730E-16 8.26514784E-16 2.75157790E-16 1.64639656E-16 1.36699300E-16 1.41398484E-17 8.31371791E-16
ET2-bas    3.56420181E-14 6.17238492E-15 6.17238492E-15 1.64207068E-16 5.03115460E-17 4.08875439E-17 2.59824961E-17 9.42256014E-18 1.18323938E-14 1.63197697E-12 2.90410510E-12 6.94094898E-14 5.13529608E-15 5.13529608E-15 7.45877242E-16 7.45877242E-16 7.45877242E-16 6.84049251E-15 3.48297147E-16 1.98045036E-16 1.82600054E-16 1.07884156E-17 1.09775912E-15
LN-ET      5.40766608E-14 7.48408681E-15 7.48408681E-15 1.78354287E-16 5.15003610E-17 5.08082208E-17 3.16814379E-17 1.06825117E-17 4.41864253E-15 6.90922588E-14 6.90922588E-14 1.92373331E-12 8.28405353E-15 8.28405353E-15 1.11580377E-15 1.11580377E-15 1.11580377E-15 1.06046459E-14 2.26403559E-16 2.61811660E-16 2.23279315E-16 8.92716717E-18 9.28032054E-16
