  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Spleen         UB-cont        Other          
O-mucosa   1.45618617E-13 1.22157946E-15 1.22157946E-15 1.43830588E-16 5.79074648E-17 6.79627244E-17 8.91627237E-17 1.47773544E-17 1.16952475E-14 2.36144792E-14 2.36144792E-14 1.77601264E-14 6.52614548E-16 6.52614548E-16 4.35727917E-16 4.35727917E-16 4.35711896E-16 1.09483128E-15 9.00439207E-16 1.64527503E-16 1.37518012E-16 9.29839146E-18 1.04500604E-15
Oesophagus 1.22419101E-15 1.20214506E-12 1.56269886E-13 3.10870304E-15 7.83528389E-16 4.79435292E-16 7.26186493E-16 8.64021736E-17 4.10749986E-16 5.43858809E-15 5.43858809E-15 9.03259038E-15 9.16637212E-15 9.16637212E-15 4.29239103E-15 4.29239103E-15 4.29239103E-15 2.47295941E-14 2.88551985E-15 2.36240923E-15 2.13778409E-15 5.70054394E-17 1.05448138E-15
St-stem    1.42641773E-16 3.37802891E-15 3.37802891E-15 4.64070419E-14 4.86853369E-15 1.91748482E-15 8.39636610E-15 3.28173810E-16 1.22936604E-16 1.41968859E-16 1.41968859E-16 2.17207066E-16 1.68292618E-15 1.68292618E-15 1.92084939E-15 1.92084939E-15 1.92084939E-15 8.92476390E-16 2.67018733E-15 3.70086747E-15 6.53575854E-15 1.93847333E-16 9.51957205E-16
SI-stem    4.35775983E-17 4.56331907E-16 4.56331907E-16 2.39413232E-15 1.30149603E-14 3.93350349E-15 4.40021750E-15 3.71032031E-15 4.03171691E-17 3.99374533E-17 3.99374533E-17 5.91523559E-17 3.25129675E-16 3.25129675E-16 3.78914739E-16 3.78914739E-16 3.78914739E-16 2.06200114E-16 2.07610029E-15 1.18740504E-15 1.48762087E-15 3.23046845E-15 1.15846496E-15
RC-stem    5.92084321E-17 3.96891159E-16 3.96891159E-16 1.10734428E-15 4.53608207E-15 3.10069216E-14 2.25874841E-15 6.55129966E-16 5.44772049E-17 5.40141759E-17 5.40141759E-17 8.02097615E-17 3.34085841E-16 3.34085841E-16 4.03508148E-16 4.03508148E-16 4.03508148E-16 2.27765409E-16 2.12528711E-15 2.99014198E-15 4.75237590E-16 7.42112127E-16 1.07889703E-15
LC-stem    7.65567991E-17 6.25313461E-16 6.25313461E-16 6.25041091E-15 7.68740300E-15 2.07690138E-15 3.45108815E-14 1.72137842E-15 7.20851245E-17 7.11382382E-17 7.11382382E-17 1.04215172E-16 6.07385106E-16 6.07385106E-16 6.69757837E-16 6.69757837E-16 6.69757837E-16 3.19810449E-16 2.06408397E-15 1.13212995E-15 4.03876649E-15 4.24448595E-16 1.04789615E-15
RS-stem    1.01100541E-17 6.57389034E-17 6.57389034E-17 2.10830404E-16 1.26535092E-15 4.80124228E-16 4.63942245E-16 3.84794727E-14 1.00797729E-17 9.11077659E-18 9.11077659E-18 1.30165624E-17 6.02578577E-17 6.02578577E-17 6.74484257E-17 6.74484257E-17 6.74484257E-17 4.10253311E-17 1.62941349E-15 1.73579801E-16 1.68372727E-16 1.01387330E-14 1.24182556E-15
ET1-bas    1.16648061E-14 3.99791099E-16 3.99791099E-16 1.08565081E-16 5.25658084E-17 6.05542603E-17 7.78193142E-17 1.20685546E-17 4.37666551E-11 1.81654770E-14 1.81654770E-14 2.25570428E-15 3.45541403E-16 3.45541403E-16 2.41624236E-16 2.41624236E-16 2.41624236E-16 4.13505730E-16 2.62180160E-16 1.22630588E-16 9.45780802E-17 8.68411699E-18 5.75385264E-16
ET2-bas    2.35648118E-14 5.44083113E-15 5.44083113E-15 1.39594433E-16 5.86925312E-17 6.38851852E-17 7.96618171E-17 1.43566228E-17 1.80469159E-14 1.37610938E-12 2.47616376E-12 6.61090062E-14 1.30993950E-15 1.30993950E-15 5.19297443E-16 5.19297443E-16 5.19297443E-16 2.76119096E-15 3.34838864E-16 1.60393888E-16 1.48877444E-16 7.60473070E-18 8.80946576E-16
LN-ET      1.78162025E-14 8.95280199E-15 8.95280199E-15 2.16325869E-16 6.54392964E-17 8.62739995E-17 1.22257281E-16 1.73147213E-17 2.42889955E-15 6.60176821E-14 6.60176821E-14 1.50870551E-12 2.96530824E-15 2.96530824E-15 8.99317684E-16 8.99317684E-16 8.99349727E-16 6.88070714E-15 7.43377846E-16 2.38772362E-16 2.29431673E-16 1.32879711E-17 7.81153988E-16
Bronch-bas 4.83344603E-16 6.32523255E-15 6.32523255E-15 2.04501807E-15 5.82743632E-16 4.52791097E-16 7.53503602E-16 8.67338241E-17 2.96867281E-16 5.54801674E-16 5.54801674E-16 9.79650813E-16 2.67851865E-12 3.17246966E-12 2.43594913E-14 1.02165988E-14 9.56371189E-15 1.81606705E-14 2.48962204E-15 1.88095520E-15 1.98173210E-15 5.65311952E-17 9.83092905E-16
Bronch-sec 4.83344603E-16 6.32523255E-15 6.32523255E-15 2.04501807E-15 5.82743632E-16 4.52791097E-16 7.53503602E-16 8.67338241E-17 2.96867281E-16 5.54801674E-16 5.54801674E-16 9.79650813E-16 4.11823444E-12 2.62276291E-12 2.43594913E-14 1.02165988E-14 9.54608794E-15 1.81606705E-14 2.48962204E-15 1.88095520E-15 1.98173210E-15 5.65311952E-17 9.78193708E-16
Bchiol-sec 4.24720965E-16 4.41944362E-15 4.41944362E-15 2.04069219E-15 6.23679241E-16 4.86020237E-16 7.51100337E-16 9.05662303E-17 2.46607005E-16 5.18912921E-16 5.18912921E-16 9.10597006E-16 9.15643862E-15 9.15643862E-15 7.17518718E-13 5.27003912E-13 1.95641771E-14 5.94968238E-15 2.48962204E-15 2.28934998E-15 3.00712505E-15 6.17879362E-17 9.16592313E-16
AI         4.24720965E-16 4.41944362E-15 4.41944362E-15 2.04069219E-15 6.23679241E-16 4.86020237E-16 7.51100337E-16 9.05662303E-17 2.46607005E-16 5.18912921E-16 5.18912921E-16 9.10597006E-16 9.15643862E-15 9.15643862E-15 2.43594913E-14 2.43594913E-14 2.57982458E-14 5.94968238E-15 4.71840975E-15 2.28934998E-15 3.00712505E-15 6.17879362E-17 8.69794384E-16
LN-Th      1.08204591E-15 2.47616376E-14 2.47616376E-14 9.74587935E-16 3.32243338E-16 2.64311055E-16 3.52094305E-16 5.40350042E-17 4.06279914E-16 2.77673207E-15 2.77673207E-15 6.76519022E-15 2.71841285E-14 2.71841285E-14 5.84682265E-15 5.84682265E-15 5.84682265E-15 1.25440806E-12 1.84170187E-15 1.08164537E-15 1.12836483E-15 3.18753012E-17 8.08874177E-16
