  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Skin           UB-cont        Other          
O-mucosa   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.22574358E-19 2.22574358E-19 4.65448291E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.68956749E-18 0.00000000E+00 0.00000000E+00 1.73525736E-17
Oesophagus 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.59015398E-20 5.59015398E-20 0.00000000E+00 2.92525383E-19 2.92525383E-19 6.83488489E-21 6.83488489E-21 6.83488489E-21 1.94135725E-19 4.21885113E-17 0.00000000E+00 0.00000000E+00 1.41429336E-17
St-stem    0.00000000E+00 3.67699504E-21 3.67699504E-21 0.00000000E+00 1.91940743E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.58086445E-22 3.58086445E-22 3.58086445E-22 0.00000000E+00 4.21660808E-17 0.00000000E+00 0.00000000E+00 1.44555306E-17
SI-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 8.99750272E-22 0.00000000E+00 1.49156222E-21 4.47632089E-21 4.51044725E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.58174410E-17 0.00000000E+00 2.24833426E-21 1.40795317E-17
RC-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.32820431E-22 0.00000000E+00 1.06826719E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.45389042E-17 0.00000000E+00 0.00000000E+00 1.39090978E-17
LC-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.02100299E-21 9.84649604E-22 0.00000000E+00 4.16662017E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.45661412E-17 0.00000000E+00 0.00000000E+00 1.37318479E-17
RS-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.03299865E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.45581303E-17 0.00000000E+00 7.07408984E-21 1.37839621E-17
ET1-bas    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.20390746E-20 1.20390746E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.63429240E-18 7.99934676E-23 0.00000000E+00 1.74706793E-17
ET2-bas    2.10173512E-19 5.41295326E-20 5.41295326E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.97539268E-21 0.00000000E+00 1.41377655E-17 6.83632685E-19 3.58390858E-20 3.58390858E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.13393886E-19 6.64470654E-18 0.00000000E+00 0.00000000E+00 1.74716605E-17
LN-ET      5.16189221E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.43962795E-19 6.43962795E-19 6.99462189E-14 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.03465353E-17 6.61522650E-26 0.00000000E+00 1.54293990E-21
