  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Skin           UB-cont        Other          
O-mucosa   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.23782553E-19 1.23782553E-19 7.33268113E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.31569806E-18 0.00000000E+00 0.00000000E+00 1.44825080E-17
Oesophagus 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.04060745E-20 5.04060745E-20 3.11094608E-24 3.37594608E-20 3.37594608E-20 1.51956827E-21 1.51956827E-21 1.51956827E-21 2.52166557E-19 3.70999987E-17 0.00000000E+00 0.00000000E+00 1.11270131E-17
St-stem    0.00000000E+00 8.04052270E-21 8.04052270E-21 0.00000000E+00 7.49514182E-22 0.00000000E+00 2.54329496E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.67515408E-22 2.67515408E-22 2.67515408E-22 0.00000000E+00 3.70295030E-17 0.00000000E+00 0.00000000E+00 1.15344065E-17
SI-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 1.68260575E-22 0.00000000E+00 1.08507403E-21 2.12112145E-22 8.53126936E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.01441341E-17 0.00000000E+00 6.95600944E-22 1.11592212E-17
RC-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.84594609E-21 0.00000000E+00 1.03063207E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.06376044E-17 0.00000000E+00 0.00000000E+00 1.06825239E-17
LC-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 6.00800161E-23 7.70390542E-22 1.42183550E-21 0.00000000E+00 3.09973085E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.06712501E-17 0.00000000E+00 0.00000000E+00 1.10111539E-17
RS-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.37145689E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.06103674E-17 0.00000000E+00 0.00000000E+00 1.09205326E-17
ET1-bas    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.40203260E-19 1.40203260E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.27484256E-18 6.29318902E-22 0.00000000E+00 1.45846344E-17
ET2-bas    1.17239264E-19 5.87101552E-20 5.87101552E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.54010817E-19 0.00000000E+00 1.22207614E-17 2.93390558E-18 9.72921672E-22 9.72921672E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.37197577E-23 7.29615150E-18 0.00000000E+00 0.00000000E+00 1.45863620E-17
LN-ET      2.02146607E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.95649627E-18 2.95649627E-18 5.71127852E-14 1.60377866E-20 1.60377866E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.59022945E-18 0.00000000E+00 0.00000000E+00 3.03493293E-22
Bronch-bas 0.00000000E+00 1.20584609E-20 1.20584609E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.41015100E-16 2.04341589E-19 0.00000000E+00 6.56764186E-19 2.97764500E-17 0.00000000E+00 0.00000000E+00 1.45855363E-17
Bronch-sec 0.00000000E+00 1.20584609E-20 1.20584609E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.41015100E-16 2.04341589E-19 0.00000000E+00 6.56764186E-19 2.97764500E-17 0.00000000E+00 0.00000000E+00 1.44632932E-17
Bchiol-sec 0.00000000E+00 1.17213630E-21 1.17213630E-21 2.50676533E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.57449088E-19 1.57449088E-19 7.80404145E-19 0.00000000E+00 0.00000000E+00 1.97532339E-20 2.97764500E-17 0.00000000E+00 0.00000000E+00 1.43364080E-17
AI         0.00000000E+00 1.17213630E-21 1.17213630E-21 2.50676533E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.57449088E-19 1.57449088E-19 4.41015100E-16 4.41015100E-16 8.28549548E-16 1.97532339E-20 9.78176811E-17 0.00000000E+00 0.00000000E+00 6.32604457E-18
LN-Th      0.00000000E+00 2.50532337E-19 2.50532337E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 9.69493014E-19 9.69493014E-19 1.15782886E-20 1.15782886E-20 1.15782886E-20 5.71015700E-14 9.58165626E-18 0.00000000E+00 0.00000000E+00 1.34229907E-21
R-marrow   7.82823432E-22 2.35503922E-22 2.35503922E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.65841288E-26 0.00000000E+00 1.28925540E-22 4.87910806E-22 4.87910806E-22 1.06724180E-21 1.34656525E-24 1.34656525E-24 1.25110758E-21 1.25110758E-21 1.25110758E-21 7.86460372E-23 2.61427137E-17 1.44631676E-23 0.00000000E+00 1.33292258E-17
Endost-BS  1.21664476E-21 1.21356858E-22 1.21356858E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.63821928E-27 0.00000000E+00 2.57405674E-22 7.87806200E-22 7.87806200E-22 5.11975496E-22 4.53736381E-25 4.53736381E-25 4.28918667E-22 4.28918667E-22 4.28918667E-22 2.45469460E-23 9.98812844E-18 3.50604281E-23 0.00000000E+00 1.23116742E-17
Brain      0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.13401743E-21 3.13401743E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.20963397E-18 0.00000000E+00 0.00000000E+00 1.38444278E-17
Eye-lens   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.31113649E-18 0.00000000E+00 0.00000000E+00 1.43498385E-17
P-gland    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.81430465E-20 1.81430465E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.29855477E-18 0.00000000E+00 0.00000000E+00 1.37901986E-17
Tongue     6.15331902E-15 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.11775070E-20 6.11775070E-20 3.62732757E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.28189213E-18 0.00000000E+00 0.00000000E+00 3.50519753E-18
Tonsils    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.34622107E-23 6.34622107E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.32691329E-18 0.00000000E+00 0.00000000E+00 1.37875022E-17
S-glands   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.52634547E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.29454933E-18 1.07643829E-23 0.00000000E+00 1.38413090E-17
Thyroid    0.00000000E+00 5.98044417E-20 5.98044417E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.11967949E-23 9.77872397E-21 9.77872397E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.94039594E-19 2.34222181E-17 0.00000000E+00 0.00000000E+00 1.24085033E-17
Breast     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.30047738E-18 5.89825252E-21 0.00000000E+00 1.38440350E-17
Thymus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.21516303E-24 6.21516303E-24 1.38070763E-20 1.38070763E-20 1.38070763E-20 1.90691045E-23 7.28429540E-18 0.00000000E+00 0.00000000E+00 1.38417970E-17
Ht-wall    0.00000000E+00 2.73635722E-20 2.73635722E-20 6.73811343E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.69221881E-21 1.69221881E-21 8.54985461E-21 8.54985461E-21 8.54985461E-21 4.10109115E-20 2.36369097E-17 0.00000000E+00 0.00000000E+00 1.23817006E-17
Adrenals   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.14571331E-17 0.00000000E+00 0.00000000E+00 1.16808489E-17
Liver      0.00000000E+00 6.60417148E-22 6.60417148E-22 5.22870297E-22 6.32843691E-23 1.26072063E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.66120896E-23 6.66120896E-23 1.68452836E-21 1.68452836E-21 1.68452836E-21 0.00000000E+00 3.86188620E-17 0.00000000E+00 0.00000000E+00 1.10479081E-17
