  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       UB-cont        Other          
O-mucosa   1.44958520E-14 7.62395681E-17 7.62395681E-17 1.87086148E-19 1.99438929E-19 1.48268616E-20 3.18817099E-21 2.52503014E-21 0.00000000E+00 6.12175614E-16 2.83745456E-15 2.83745456E-15 4.73218847E-15 7.50235162E-17 7.50235162E-17 5.03612135E-18 5.03612135E-18 5.03612135E-18 8.34830080E-17 1.03002324E-16 3.53055611E-19 5.81878457E-21 1.32198786E-16 1.19515957E-15 0.00000000E+00 2.27575999E-16
Oesophagus 7.06559831E-17 3.55699202E-14 1.24777505E-14 1.33384397E-16 1.29383762E-16 4.39957663E-18 1.74925629E-19 2.09292314E-19 1.38758097E-21 2.02034455E-18 4.54008751E-16 4.54008751E-16 5.33220357E-16 2.64855795E-15 2.64855795E-15 2.90138140E-16 2.90138140E-16 2.90138140E-16 2.70960087E-15 6.40165637E-16 1.03545462E-16 1.30726386E-17 1.98621819E-15 7.11895078E-17 3.54850048E-21 1.96353279E-16
St-stem    1.41267105E-19 1.40334638E-16 1.40334638E-16 6.40582203E-14 3.33124535E-15 3.62268125E-16 9.31857888E-18 3.05551078E-17 1.97019643E-19 4.42088558E-19 8.05526272E-20 8.05526272E-20 1.79748180E-19 1.02925420E-17 1.02925420E-17 6.39012070E-17 6.39012070E-17 6.39012070E-17 6.05766908E-18 6.03059230E-16 2.41111540E-16 2.17831915E-16 4.64006332E-19 1.28855044E-19 2.00207974E-19 3.00377324E-17
SI-stem    1.33458097E-20 3.43058029E-18 3.43058029E-18 2.51381491E-16 1.58315865E-16 1.15037874E-15 2.99174415E-16 4.61266611E-16 3.71304401E-16 6.40646290E-20 4.17591280E-21 4.17591280E-21 1.07225661E-20 3.97307725E-19 3.97307725E-19 1.73756040E-18 1.73756040E-18 1.73756040E-18 2.70639652E-19 6.23038370E-16 5.30849135E-17 2.30024478E-16 2.48978226E-20 7.12327666E-21 2.76888140E-16 2.07944838E-16
RC-stem    7.52221861E-21 2.22878771E-19 2.22878771E-19 9.46325542E-18 3.99694968E-18 2.06985180E-16 3.43907183E-15 1.00204924E-16 1.22430316E-17 2.90586749E-20 1.75165955E-21 1.75165955E-21 5.73338856E-21 7.58710675E-20 7.58710675E-20 2.67755735E-19 2.67755735E-19 2.67755735E-19 5.69782024E-20 5.88799859E-16 3.16141464E-17 1.90642980E-16 1.34432220E-20 1.41411301E-21 4.24272356E-17 2.04918973E-16
LC-stem    3.74957363E-21 2.32684091E-19 2.32684091E-19 3.24681065E-17 1.82952533E-17 3.01305310E-16 9.68531708E-17 4.27829187E-15 1.31216652E-16 2.94672299E-20 4.75461894E-22 4.75461894E-22 3.66898416E-21 3.73931970E-20 3.73931970E-20 1.73051082E-19 1.73051082E-19 1.73051082E-19 2.36785663E-20 5.90594297E-16 2.40374538E-18 3.10998478E-17 4.40374229E-21 1.48456071E-21 8.10877542E-17 2.08096412E-16
RS-stem    0.00000000E+00 3.36408997E-21 3.36408997E-21 1.59198664E-19 8.44234856E-20 3.47912624E-16 1.02066653E-17 5.73370899E-17 4.07914134E-15 9.70934973E-22 0.00000000E+00 0.00000000E+00 1.27643799E-23 7.64126032E-22 7.64126032E-22 6.53399615E-21 6.53399615E-21 6.53399615E-21 7.15403845E-23 5.86252398E-16 5.93862737E-20 3.66145393E-19 1.34861604E-22 0.00000000E+00 6.83856990E-16 2.15836430E-16
ET1-bas    5.61386619E-16 1.92677744E-18 1.92677744E-18 3.80597024E-19 1.91668373E-19 8.93469740E-20 2.86533243E-20 0.00000000E+00 0.00000000E+00 1.58870218E-11 5.22822231E-16 5.22822231E-16 3.20162927E-17 1.84025991E-18 1.84025991E-18 1.97820731E-18 1.97820731E-18 1.97820731E-18 2.42201020E-18 8.02353963E-17 8.74243622E-19 6.58847015E-20 4.20282936E-18 2.54057126E-17 0.00000000E+00 1.83570668E-16
ET2-bas    2.62692857E-15 4.51092790E-16 4.51092790E-16 8.18760250E-20 4.53768425E-20 2.55931672E-20 3.78209782E-21 0.00000000E+00 0.00000000E+00 5.36280514E-16 3.77568911E-13 1.98189231E-12 6.37217632E-15 3.71112140E-16 3.71112140E-16 5.69173197E-18 5.69173197E-18 5.69173197E-18 5.16926222E-16 8.58558314E-17 1.28992831E-19 1.96330707E-20 4.04533541E-16 1.06033642E-15 0.00000000E+00 1.94402768E-16
LN-ET      4.76759657E-15 5.74027792E-16 5.74027792E-16 4.13858208E-19 1.23449300E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.62171995E-17 6.88951911E-15 6.88951911E-15 8.96610006E-13 6.75028998E-16 6.75028998E-16 1.57681403E-17 1.57681403E-17 1.57681403E-17 9.07104262E-16 3.52799262E-17 3.12152045E-19 0.00000000E+00 8.32683164E-16 2.19498179E-15 0.00000000E+00 4.00264713E-17
Bronch-bas 3.65007847E-18 1.49651295E-15 1.49651295E-15 1.71545036E-17 2.31081915E-17 9.58822519E-19 7.68900518E-20 3.54177134E-20 0.00000000E+00 9.22228808E-19 6.47920171E-18 6.47920171E-18 1.24080558E-17 8.48464602E-13 1.94151747E-12 1.07323394E-14 9.22421069E-16 8.19304990E-16 6.54408986E-15 5.92324647E-16 3.94247568E-17 3.43859118E-18 8.87461578E-17 4.09099744E-18 6.47615758E-21 2.29067577E-16
