  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       UB-cont        Other          
O-mucosa   1.30984337E-14 2.78089773E-17 2.78089773E-17 1.00587844E-19 1.13462934E-19 1.11714960E-20 2.36705554E-20 2.82671998E-20 0.00000000E+00 2.64663534E-16 1.73163235E-15 1.73163235E-15 1.31939234E-15 5.31618180E-18 5.31618180E-18 1.31939234E-18 1.31939234E-18 1.31887964E-18 1.23191350E-17 1.07075057E-16 8.55386005E-20 7.32931656E-21 2.83296846E-17 2.58302893E-16 0.00000000E+00 1.91042027E-16
Oesophagus 2.62564683E-17 3.28782637E-14 1.14336121E-14 2.00223996E-16 1.50417135E-16 1.36555104E-17 2.07113354E-18 6.26290789E-18 1.19855619E-20 5.53984564E-19 4.39396902E-16 4.39396902E-16 7.30880870E-16 6.85106688E-16 6.85106688E-16 1.98525689E-16 1.98525689E-16 1.98525689E-16 2.20571637E-15 5.50203427E-16 9.17662605E-17 1.33586271E-17 1.65248483E-15 3.93879068E-17 3.47383906E-21 1.56711065E-16
St-stem    9.56723667E-20 2.04341589E-16 2.04341589E-16 5.70839461E-14 3.18080098E-15 2.62885118E-16 6.38531417E-17 5.62812556E-16 5.81077368E-19 3.94952526E-19 1.02141955E-19 1.02141955E-19 2.68861236E-19 4.54233056E-17 4.54233056E-17 7.24183772E-17 7.24183772E-17 7.24183772E-17 9.56355167E-18 5.26907781E-16 1.77072545E-16 7.47142961E-17 6.98068295E-19 1.40140775E-19 1.30333853E-19 2.77032678E-17
SI-stem    4.89721265E-21 7.54673191E-18 7.54673191E-18 1.18979228E-16 1.09832403E-16 9.23911093E-16 2.21036268E-16 2.62532639E-16 2.16373935E-16 2.06953137E-20 3.65953131E-21 3.65953131E-21 1.51160545E-20 1.84570731E-18 1.84570731E-18 2.97155673E-18 2.97155673E-18 2.97155673E-18 4.74548654E-19 5.37722473E-16 2.37971274E-17 1.31181404E-16 4.07081002E-20 6.62580086E-21 1.78466439E-16 1.69653343E-16
RC-stem    1.07804047E-20 1.56684850E-18 1.56684850E-18 3.82167157E-17 1.93158397E-17 2.81133908E-16 2.89833726E-15 1.15645099E-16 2.63365771E-18 4.40710686E-20 5.90946775E-21 5.90946775E-21 1.42388629E-20 8.64806802E-19 8.64806802E-19 1.37080618E-18 1.37080618E-18 1.37080618E-18 2.27749388E-19 5.38747866E-16 1.18176538E-16 1.71545036E-16 3.24552891E-20 1.17486000E-20 4.57565583E-18 1.62146873E-16
LC-stem    1.87903258E-20 5.49514492E-18 5.49514492E-18 4.29559538E-16 3.59848839E-16 5.14987588E-16 9.50026570E-17 3.32627860E-15 8.59647794E-17 1.01738207E-19 1.90963415E-20 1.90963415E-20 4.81357904E-20 7.19441330E-18 7.19441330E-18 1.05381556E-17 1.05381556E-17 1.05381556E-17 9.09395374E-19 5.39004214E-16 1.74541106E-17 1.19048122E-16 1.24171882E-19 2.48721878E-20 1.39967740E-18 1.65044210E-16
RS-stem    0.00000000E+00 1.40671096E-20 1.40671096E-20 2.83505129E-19 1.98157188E-19 5.05935291E-17 1.22306949E-18 5.73531117E-18 3.64094607E-15 7.72136914E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.94568003E-21 3.94568003E-21 3.31682576E-21 3.31682576E-21 3.31682576E-21 5.05871204E-22 5.15884807E-16 7.80772646E-20 5.73146595E-19 8.57901422E-22 0.00000000E+00 6.53768116E-16 1.69595039E-16
ET1-bas    2.46238504E-16 7.45989394E-19 7.45989394E-19 3.80276589E-19 4.53335837E-19 5.55009957E-20 9.09843983E-20 1.14860032E-19 0.00000000E+00 1.37151114E-11 1.30953895E-15 1.30953895E-15 1.04431466E-17 1.89905979E-18 1.89905979E-18 1.43452474E-18 1.43452474E-18 1.43452474E-18 5.68884805E-19 8.72256923E-17 3.87646601E-19 1.55153169E-20 6.15379967E-19 8.67178024E-18 0.00000000E+00 1.46606526E-16
ET2-bas    1.61291107E-15 4.32187107E-16 4.32187107E-16 1.18900721E-19 8.38306803E-20 8.77319801E-21 9.15948276E-21 1.57681403E-20 0.00000000E+00 1.31303170E-15 3.21749082E-13 1.70872122E-12 6.69325249E-15 6.55802880E-17 6.55802880E-17 3.49995454E-18 3.49995454E-18 3.49995454E-18 1.57335333E-16 9.25673487E-17 1.63486089E-19 2.66890559E-20 2.87558636E-16 2.83296846E-16 0.00000000E+00 1.60925147E-16
LN-ET      1.31381676E-15 7.82983649E-16 7.82983649E-16 1.36420521E-19 1.29947728E-19 1.89697696E-19 1.31665262E-19 1.20991562E-20 0.00000000E+00 1.21760606E-17 7.07360919E-15 7.07360919E-15 7.18079480E-13 2.14387236E-16 2.14387236E-16 1.10337088E-17 1.10337088E-17 1.10372336E-17 5.16349438E-16 7.52061643E-17 3.72602164E-19 2.02739413E-22 8.47951906E-16 7.83288063E-16 0.00000000E+00 3.68436382E-17
