  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   4.02338559E-15 1.06807493E-18 1.06807493E-18 2.51269338E-21 5.53119389E-22 2.95793823E-22 2.49378770E-22 9.41583100E-23 2.30264805E-17 2.48801987E-16 2.48801987E-16 5.25145387E-16 8.39957045E-19 8.39957045E-19 2.36208879E-20 2.36208879E-20 2.36208879E-20 7.39500579E-19 1.22348605E-13 3.87534449E-21 2.95377257E-18 2.95377257E-18 7.06575853E-22 1.73339474E-18 1.73339474E-18 7.59111220E-19 1.08041169E-21 8.37441628E-23 0.00000000E+00 4.22365766E-22 9.19248759E-23 3.42188775E-13
Oesophagus 9.68323425E-19 3.56612442E-15 3.55587050E-15 2.91772360E-18 2.28165954E-20 2.70639652E-21 2.33148722E-21 3.46983362E-22 1.27566894E-20 4.99590672E-17 4.99590672E-17 2.87414440E-17 3.24056216E-16 3.24056216E-16 9.97979712E-18 9.97979712E-18 9.97979712E-18 2.97235782E-16 7.78016902E-13 4.08250591E-18 1.31215050E-18 1.31215050E-18 3.77296541E-21 5.38811953E-19 5.38811953E-19 9.52445856E-19 6.36753001E-20 2.55899629E-22 0.00000000E+00 8.89864843E-21 2.82063171E-22 2.77280726E-13
St-stem    1.79443767E-21 8.83424093E-18 8.83424093E-18 2.26115168E-16 1.34964143E-17 3.44051379E-20 1.09246006E-19 3.24520847E-21 1.95257248E-21 1.34629288E-21 1.34629288E-21 2.18424720E-21 4.87510261E-20 4.87510261E-20 2.76311357E-18 2.76311357E-18 2.76311357E-18 2.82095214E-20 7.78016902E-13 1.10458854E-17 5.70038372E-20 5.70038372E-20 3.59977013E-21 1.22223635E-19 1.22223635E-19 2.20795942E-19 3.21717039E-18 2.17575567E-21 0.00000000E+00 4.17879671E-19 2.86789591E-21 2.77253274E-13
SI-stem    3.11655370E-22 1.70840079E-20 1.70840079E-20 4.37666551E-18 1.04160698E-16 9.86476085E-18 1.71577080E-17 1.46672849E-17 3.76783844E-22 2.34959182E-22 2.34959182E-22 3.66594002E-22 3.18064076E-21 3.18064076E-21 8.47455231E-21 8.47455231E-21 8.47455231E-21 2.53944973E-21 8.44891749E-13 1.73083126E-18 9.84152929E-20 9.84152929E-20 2.81774779E-21 2.10910513E-19 2.10910513E-19 5.60921988E-19 8.62307407E-18 1.51567498E-17 0.00000000E+00 4.25506031E-17 7.63805597E-18 2.71655923E-13
RC-stem    2.20155071E-22 2.88616072E-21 2.88616072E-21 1.93286571E-20 5.22726101E-18 3.39453132E-16 3.04365467E-18 4.67483055E-20 2.54041104E-22 1.58408791E-22 1.58408791E-22 2.35584031E-22 1.51142921E-21 1.51142921E-21 3.12889046E-21 3.12889046E-21 3.12889046E-21 1.35403139E-21 8.21195558E-13 6.79819505E-19 1.01738207E-19 1.01738207E-19 2.74308636E-21 8.51476694E-20 8.51476694E-20 1.04090202E-19 8.39957045E-18 5.04749680E-20 0.00000000E+00 3.85403554E-18 2.49458879E-19 2.73657450E-13
LC-stem    1.52945370E-22 2.46767223E-21 2.46767223E-21 6.44203122E-20 7.91427119E-18 3.27805309E-18 4.59167759E-16 6.92604874E-18 2.02290803E-22 1.12341411E-22 1.12341411E-22 1.62348543E-22 1.04918527E-21 1.04918527E-21 2.28037779E-21 2.28037779E-21 2.28037779E-21 8.30504204E-22 8.21195558E-13 1.32107462E-20 1.25078714E-19 1.25078714E-19 2.87798962E-21 9.45476389E-20 9.45476389E-20 1.12187602E-19 1.29952535E-19 6.15636315E-20 0.00000000E+00 3.35095212E-18 7.77151727E-19 2.73657541E-13
RS-stem    3.05855491E-23 3.07922299E-22 3.07922299E-22 1.92293222E-21 1.23042348E-17 3.99694968E-20 1.84250296E-18 4.44491823E-16 3.28910811E-23 2.84210087E-23 2.84210087E-23 3.97275682E-23 1.89313174E-22 1.89313174E-22 3.18929252E-22 3.18929252E-22 3.18913230E-22 1.57899299E-22 8.21195558E-13 1.60714323E-21 1.07193618E-19 1.07193618E-19 5.49370296E-21 2.07674116E-19 2.07674116E-19 6.85443145E-19 5.61338554E-21 1.16402928E-16 0.00000000E+00 2.17767828E-17 2.36609424E-17 2.73558522E-13
ET1-bas    2.05222786E-17 1.20704772E-20 1.20704772E-20 2.07786269E-21 4.31049562E-22 3.03452227E-22 2.60850354E-22 4.89689221E-23 1.33031918E-10 3.43843096E-17 3.43843096E-17 1.29965352E-19 1.23024724E-20 1.23024724E-20 8.45949185E-21 8.45949185E-21 8.45949185E-21 1.31513055E-20 1.22347003E-13 2.28662628E-21 2.70126956E-18 2.70126956E-18 5.03644179E-22 6.11710983E-19 6.11710983E-19 1.73788084E-19 6.76006325E-22 6.82238792E-23 0.00000000E+00 3.55747267E-22 5.27003912E-23 3.11180361E-13
ET2-bas    2.28614563E-16 4.95889644E-17 4.95889644E-17 1.42095430E-21 3.03083726E-22 1.84394492E-22 1.35624240E-22 5.00295630E-23 3.45285055E-17 3.39453132E-13 5.93766606E-09 8.09916236E-16 4.26515403E-17 4.26515403E-17 2.12320428E-20 2.12320428E-20 2.12320428E-20 6.46542300E-17 1.22348605E-13 2.22350053E-21 2.24673209E-18 2.24673209E-18 4.78522051E-22 9.03323125E-19 9.03323125E-19 4.95489100E-19 6.50820111E-22 4.32940130E-23 0.00000000E+00 2.31546546E-22 3.96570724E-23 3.11180385E-13
LN-ET      5.30929244E-16 3.11655370E-17 3.11655370E-17 2.62612748E-21 4.01970059E-22 1.85836451E-22 2.23808033E-22 5.70198590E-23 1.44407371E-19 8.92957043E-16 8.92957043E-16 1.32346187E-09 5.72730029E-17 5.72730029E-17 5.48024467E-20 5.48024467E-20 5.48024467E-20 7.83079780E-17 2.22622423E-13 3.78546239E-21 9.43121189E-19 9.43121189E-19 6.38595504E-22 3.84922901E-19 3.84922901E-19 3.07762081E-19 9.06655652E-22 4.96979125E-23 0.00000000E+00 2.34126050E-22 6.57004512E-23 3.79106209E-18
