  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   6.04036557E-19 1.67010877E-21 1.67010877E-21 8.59743925E-23 2.24224599E-23 2.53368190E-23 3.25914741E-23 1.34207916E-24 1.58235756E-20 1.77296850E-19 1.77296850E-19 1.11755014E-19 7.13192841E-22 7.13192841E-22 4.08186504E-22 4.08186504E-22 4.08138438E-22 1.29529560E-21 9.87693739E-18 1.06165021E-22 5.23719450E-21 5.23719450E-21 1.89873935E-23 3.89953735E-21 3.89953735E-21 1.95769945E-21 2.56204042E-23 0.00000000E+00 2.06376353E-28 9.32114237E-24 9.09187091E-25 2.10240391E-17
Oesophagus 1.69830708E-21 2.65112143E-18 5.69397502E-19 5.74300162E-21 1.28622728E-21 6.56555903E-22 1.09825994E-21 4.43354277E-23 3.04878164E-22 6.21884803E-20 6.21884803E-20 1.95978228E-20 5.65183778E-20 5.65183778E-20 9.38026268E-21 9.38026268E-21 9.38026268E-21 3.14250896E-19 5.01128762E-17 4.57902040E-21 2.87350353E-21 2.87350353E-21 1.76688023E-22 1.26200238E-21 1.26200238E-21 2.00960997E-21 1.58019463E-21 0.00000000E+00 8.91034431E-25 4.99622716E-22 2.19786570E-23 1.61832620E-17
St-stem    1.03202596E-22 1.51328774E-20 1.51328774E-20 1.05665141E-19 1.02938237E-20 3.42625442E-21 1.92261178E-20 3.23655672E-22 8.40678024E-23 9.88879350E-23 9.88879350E-23 1.93510876E-22 2.93262384E-21 2.93262384E-21 3.82215223E-21 3.82215223E-21 3.82215223E-21 1.40959487E-21 5.00279608E-17 8.70158072E-21 6.09403849E-22 6.09403849E-22 1.98525689E-22 6.98084317E-22 6.98084317E-22 8.37521737E-22 4.78265703E-21 0.00000000E+00 8.16693442E-24 2.31722785E-21 1.41526658E-22 1.65868877E-17
SI-stem    1.67747878E-23 6.98821318E-22 6.98821318E-22 4.71873019E-21 3.00103678E-20 8.74596101E-21 8.73554686E-21 8.00383286E-21 1.51285515E-23 1.60858519E-23 1.60858519E-23 2.97347934E-23 4.02322538E-22 4.02322538E-22 4.90554397E-22 4.90554397E-22 4.90554397E-22 2.22173813E-22 5.42336741E-17 2.21500899E-21 8.44234856E-22 8.44234856E-22 9.25865748E-23 9.55922579E-22 9.55922579E-22 1.37098242E-21 5.50956450E-21 0.00000000E+00 2.02739413E-22 2.34254224E-20 6.84065273E-21 1.60799308E-17
RC-stem    2.24801383E-23 5.23366971E-22 5.23366971E-22 1.82391771E-21 1.17538871E-20 8.18632076E-20 4.27028099E-21 8.58205835E-22 2.14082822E-23 1.89168978E-23 1.89168978E-23 3.47079492E-23 3.78594304E-22 3.78594304E-22 4.83825256E-22 4.83825256E-22 4.83825256E-22 2.17767828E-22 5.49001795E-17 6.66233049E-21 6.24704634E-22 6.24704634E-22 1.05315867E-22 7.47767810E-22 7.47767810E-22 9.41535034E-22 6.73394777E-21 0.00000000E+00 5.51869691E-23 7.02810738E-21 1.03531042E-21 1.55940822E-17
LC-stem    3.67395090E-23 9.56915929E-22 9.56915929E-22 1.18943980E-20 1.58975962E-20 5.36873319E-21 9.90097004E-20 6.34413824E-21 3.21925322E-23 3.23655672E-23 3.23655672E-23 6.07240910E-23 8.42696767E-22 8.42696767E-22 9.86828564E-22 9.86828564E-22 9.86828564E-22 3.75838560E-22 5.49402339E-17 1.85804407E-21 4.71760867E-22 4.71760867E-22 1.67747878E-22 9.94759337E-22 9.94759337E-22 1.06605619E-21 5.44323440E-21 0.00000000E+00 2.88824355E-23 3.81350047E-21 4.86420781E-22 1.59167873E-17
RS-stem    1.15278200E-24 3.00536265E-23 3.00536265E-23 1.66818616E-22 2.64647512E-21 5.44243331E-22 5.68292000E-22 1.10758461E-19 7.15644171E-25 1.16716955E-24 1.16716955E-24 1.37838448E-24 2.08539292E-23 2.08539292E-23 2.85620002E-23 2.85620002E-23 2.85620002E-23 1.19152263E-23 5.48665338E-17 1.15995975E-22 1.27485183E-21 1.27485183E-21 8.87765991E-23 1.29845189E-21 1.29845189E-21 1.86220973E-21 3.71416553E-22 0.00000000E+00 1.17721520E-21 5.42016306E-21 1.98045036E-20 1.58297830E-17
ET1-bas    1.53610273E-20 2.71168370E-22 2.71168370E-22 6.54873617E-23 1.70022969E-23 2.41912628E-23 3.36937715E-23 1.18263055E-24 4.53367881E-16 1.89201021E-19 1.89201021E-19 2.23535663E-21 2.49330705E-22 2.49330705E-22 1.60361845E-22 1.60361845E-22 1.60361845E-22 2.58110632E-22 9.82903231E-18 7.69541388E-23 9.65856073E-21 9.65856073E-21 1.07824875E-23 6.65896592E-22 6.65896592E-22 4.47327675E-22 1.71096427E-23 0.00000000E+00 3.11062565E-26 5.23350949E-24 3.89344908E-25 2.04788777E-17
ET2-bas    1.70247274E-19 7.05005720E-20 7.05005720E-20 8.65768108E-23 2.25810754E-23 1.84859123E-23 3.26395394E-23 8.65768108E-25 2.01425628E-19 1.14911302E-17 1.20751235E-13 3.16477921E-18 4.07161111E-21 4.07161111E-21 5.58502702E-22 5.58502702E-22 5.58502702E-22 5.25129365E-21 9.85450692E-18 1.05569011E-22 2.99879373E-21 2.99879373E-21 1.92357309E-23 1.41044403E-21 1.41044403E-21 1.06887602E-21 2.94864561E-23 0.00000000E+00 0.00000000E+00 8.81469438E-24 7.62251485E-25 2.04818266E-17
LN-ET      6.50659893E-20 2.02915652E-20 2.02915652E-20 2.12144189E-22 4.06952828E-23 4.92220660E-23 6.19898105E-23 1.71512993E-24 2.50884816E-21 3.16109421E-18 3.16109421E-18 7.71624218E-14 2.40422604E-20 2.40422604E-20 1.17569313E-21 1.17569313E-21 1.17582130E-21 1.56024753E-20 1.18096429E-17 2.08218856E-22 1.44423393E-21 1.44423393E-21 3.25898719E-23 1.74605194E-21 1.74605194E-21 1.14520371E-21 5.62812556E-23 0.00000000E+00 7.34005114E-31 1.47872879E-23 8.52646283E-25 1.80400962E-21
