  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
O-mucosa   3.67635417E-14 3.11991827E-16 3.11991827E-16 1.31064445E-17 2.90074053E-18 1.64863961E-18 1.24075752E-18 2.05174721E-19 2.29063172E-15 5.49979123E-15 5.49979123E-15 8.59904142E-15 3.01177136E-16 3.01177136E-16 7.60873614E-17 7.60873614E-17 7.60873614E-17 3.47752407E-16 1.34813538E-13 1.77617285E-17 5.58646897E-18 2.63814380E-16 2.63814380E-16 2.44283849E-16 2.44283849E-16 2.04950416E-19 3.76672992E-13
Oesophagus 3.13914439E-16 5.70326764E-13 4.46206152E-14 4.08555004E-16 5.08514795E-17 1.73675931E-17 1.53664747E-17 2.65544731E-18 6.77111827E-17 9.90369374E-16 9.90369374E-16 1.06898817E-15 4.81357904E-15 4.81357904E-15 8.40902329E-16 8.40902329E-16 8.40902329E-16 4.76230939E-15 8.57036246E-13 3.74204340E-16 1.25669917E-16 1.89473391E-16 1.89473391E-16 1.55356645E-16 1.55356645E-16 2.13650235E-18 3.05259419E-13
St-stem    1.24077354E-17 3.77312563E-16 3.77312563E-16 1.23563055E-14 8.46253599E-16 1.22648212E-16 2.23343402E-16 2.18168372E-17 1.04457100E-17 9.82486665E-18 9.82486665E-18 1.45038629E-17 1.05113993E-16 1.05113993E-16 2.45741830E-16 2.45741830E-16 2.45741830E-16 8.42953115E-17 8.56972159E-13 7.07200701E-16 7.57989696E-16 5.90450101E-17 5.90450101E-17 7.56243324E-17 7.56243324E-17 1.87807128E-17 3.05219316E-13
SI-stem    2.64407186E-18 3.98733662E-17 3.98733662E-17 4.48721569E-16 3.02122420E-15 8.05990904E-16 1.08178956E-15 8.60865448E-16 2.58030523E-18 1.99134516E-18 1.99134516E-18 2.89657487E-18 1.78242134E-17 1.78242134E-17 3.52254522E-17 3.52254522E-17 3.52254522E-17 1.49398151E-17 9.30528082E-13 2.26707973E-16 6.14979423E-16 8.22749670E-17 8.22749670E-17 1.35707553E-16 1.35707553E-16 7.46614243E-16 2.99101346E-13
RC-stem    1.86829800E-18 1.83513295E-17 1.83513295E-17 8.51652933E-17 6.26034441E-16 5.81413825E-15 3.94551982E-16 1.75486391E-16 1.82712207E-18 1.38860636E-18 1.38860636E-18 2.03188022E-18 1.04952173E-17 1.04952173E-17 1.99278711E-17 1.99278711E-17 1.99278711E-17 9.09395374E-18 9.04396583E-13 1.90258458E-16 5.37802581E-16 7.41022647E-17 7.41022647E-17 1.14023696E-16 1.14023696E-16 2.75622421E-16 3.01303787E-13
LC-stem    1.31508248E-18 1.47858459E-17 1.47858459E-17 1.62989414E-16 8.15235462E-16 3.90818910E-16 7.03788065E-15 4.33725197E-16 1.51572304E-18 9.46405651E-19 9.46405651E-19 1.33168103E-18 7.61754811E-18 7.61754811E-18 1.50248907E-17 1.50248907E-17 1.50248907E-17 6.32186798E-18 9.04396583E-13 6.47359410E-17 2.32107308E-16 7.62427725E-17 7.62427725E-17 1.12093074E-16 1.12093074E-16 3.69622116E-16 3.01316341E-13
RS-stem    2.50099750E-19 2.29191346E-18 2.29191346E-18 1.43281041E-17 7.84697978E-16 1.60954650E-16 2.78730643E-16 7.21844594E-15 2.78666556E-19 2.10670186E-19 2.10670186E-19 2.55386932E-19 1.46586331E-18 1.46586331E-18 2.75285964E-18 2.75285964E-18 2.75301986E-18 1.22109881E-18 9.04364540E-13 1.20236937E-17 3.60585840E-17 9.38923487E-17 9.38923487E-17 1.17381858E-16 1.17381858E-16 1.68613053E-15 3.01252358E-13
ET1-bas    2.25842798E-15 6.38579482E-17 6.38579482E-17 9.06671674E-18 2.49506944E-18 1.82568011E-18 1.17385062E-18 1.78129982E-19 4.61811351E-09 1.58532159E-15 1.58532159E-15 4.92829487E-16 6.45196471E-17 6.45196471E-17 3.47672298E-17 3.47672298E-17 3.47672298E-17 7.37097315E-17 1.34730225E-13 1.13200178E-17 3.93686806E-18 2.02627260E-16 2.02627260E-16 1.45343042E-16 1.45343042E-16 4.67739404E-19 3.25458521E-13
ET2-bas    5.43169873E-15 9.82903231E-16 9.82903231E-16 1.01600420E-17 2.19818614E-18 1.29560002E-18 9.45941020E-19 1.97740622E-19 1.58839777E-15 2.48593704E-11 6.19609713E-09 1.12826870E-14 9.19777478E-16 9.19777478E-16 8.09531714E-17 8.09531714E-17 8.09531714E-17 1.25150812E-15 1.34743043E-13 1.41794221E-17 5.02570720E-18 2.56139955E-16 2.56139955E-16 2.54858214E-16 2.54858214E-16 1.45040231E-19 3.25498939E-13
LN-ET      8.64037758E-15 1.09388600E-15 1.09388600E-15 1.69942860E-17 3.74124231E-18 1.97516317E-18 7.47142961E-19 2.92365165E-19 5.11094299E-16 1.15518527E-14 1.15518527E-14 1.45733973E-09 1.19690594E-15 1.19690594E-15 1.29779500E-16 1.29779500E-16 1.29779500E-16 1.56708882E-15 2.45052894E-13 2.02851565E-17 7.86220046E-18 1.84266318E-16 1.84266318E-16 1.90322545E-16 1.90322545E-16 2.65801079E-19 1.27105343E-16
