  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
O-mucosa   1.42044161E-15 7.77135705E-18 7.77135705E-18 4.99654759E-19 1.60329801E-19 1.75230042E-19 2.24705252E-19 1.16066471E-20 7.52622405E-17 1.86108821E-16 1.86108821E-16 1.35678714E-16 3.59207968E-18 3.59207968E-18 2.19578288E-18 2.19578288E-18 2.19530222E-18 6.38098829E-18 1.24492317E-13 6.14290487E-19 1.85852472E-19 9.34629654E-18 9.34629654E-18 7.87597917E-18 7.87597917E-18 3.99166250E-21 2.65781294E-13
Oesophagus 7.89905052E-18 3.77168367E-14 1.68308640E-15 2.36705554E-17 5.74652641E-18 3.09892976E-18 4.93854880E-18 2.66826472E-19 1.75566499E-18 4.27076164E-17 4.27076164E-17 6.47022953E-17 7.22581596E-17 7.22581596E-17 3.32900230E-17 3.32900230E-17 3.32900230E-17 2.03508457E-16 6.33132082E-13 1.81142074E-17 7.26667146E-18 8.66232739E-18 8.66232739E-18 5.82711588E-18 5.82711588E-18 1.47421065E-19 2.05288072E-13
St-stem    5.77312254E-19 2.66746363E-17 2.66746363E-17 7.33652635E-16 3.84266009E-17 1.45078683E-17 6.47231235E-17 1.62941349E-18 4.61587046E-19 5.45749377E-19 5.45749377E-19 9.99101236E-19 1.26661664E-17 1.26661664E-17 1.47223997E-17 1.47223997E-17 1.47223997E-17 6.32026581E-18 6.33116061E-13 2.87542614E-17 2.03909002E-17 2.80749386E-18 2.80749386E-18 3.12648720E-18 3.12648720E-18 7.82150517E-19 2.05456033E-13
SI-stem    1.08704470E-19 3.13081307E-18 3.13081307E-18 1.85035362E-17 1.37367408E-16 3.04605794E-17 3.38571935E-17 2.80845516E-17 9.39516292E-20 1.00035093E-19 1.00035093E-19 1.77152654E-19 1.90578893E-18 1.90578893E-18 2.30296848E-18 2.30296848E-18 2.30296848E-18 1.09947759E-18 6.85923798E-13 8.80059523E-18 2.20811963E-17 3.80661112E-18 3.80661112E-18 4.31450106E-18 4.31450106E-18 2.48481551E-17 2.00199694E-13
RC-stem    1.43715231E-19 2.47632398E-18 2.47632398E-18 8.01408679E-18 3.51629674E-17 2.35007247E-16 1.66818616E-17 4.08314678E-18 1.35959095E-19 1.28364778E-19 1.28364778E-19 2.15332520E-19 1.86188930E-18 1.86188930E-18 2.34094007E-18 2.34094007E-18 2.34094007E-18 1.12556103E-18 6.94799855E-13 2.29063172E-17 2.71216436E-17 2.87847028E-18 2.87847028E-18 3.37210085E-18 3.37210085E-18 4.84546235E-18 1.99374738E-13
LC-stem    2.22366075E-19 4.31273867E-18 4.31273867E-18 4.82255123E-17 5.93894780E-17 1.54932068E-17 2.62724900E-16 1.23401235E-17 1.93703137E-19 1.99727321E-19 1.99727321E-19 3.52815284E-19 3.86236686E-18 3.86236686E-18 4.45180759E-18 4.45180759E-18 4.45180759E-18 1.81895097E-18 6.94799855E-13 8.17686792E-18 2.28197997E-17 2.19017526E-18 2.19017526E-18 3.21652952E-18 3.21652952E-18 2.36641467E-18 1.99374588E-13
RS-stem    9.10821311E-21 1.94872726E-19 1.94872726E-19 8.91050453E-19 8.97298942E-18 2.69790499E-18 2.61779616E-18 2.89817705E-16 7.13961886E-21 8.84369377E-21 8.84369377E-21 1.45168405E-20 1.36952444E-19 1.36952444E-19 1.86589474E-19 1.86589474E-19 1.86589474E-19 8.09643866E-20 6.94783834E-13 6.58029905E-19 1.89825870E-18 5.69541698E-18 5.69541698E-18 5.83640851E-18 5.83640851E-18 8.01793201E-17 1.99447153E-13
ET1-bas    7.41807713E-17 1.55662661E-18 1.55662661E-18 3.54449504E-19 1.13203382E-19 1.72009668E-19 2.00784757E-19 7.98813153E-21 1.76848241E-12 1.51269493E-16 1.51269493E-16 1.19809156E-17 1.40067075E-18 1.40067075E-18 9.54080076E-19 9.54080076E-19 9.54080076E-19 1.54089324E-18 1.24489113E-13 4.55130275E-19 1.16422154E-19 7.90898401E-18 7.90898401E-18 3.25562262E-18 3.25562262E-18 5.87934684E-21 2.40221932E-13
ET2-bas    1.84923210E-16 4.26483359E-17 4.26483359E-17 4.94704034E-19 1.51782189E-19 1.35995945E-19 1.96202533E-19 9.99501780E-21 1.52421458E-16 5.56179546E-14 4.81598230E-09 7.68259647E-16 1.03311544E-17 1.03311544E-17 2.84210087E-18 2.84210087E-18 2.84210087E-18 1.89585544E-17 1.24489113E-13 6.04340971E-19 2.11375144E-19 1.02279743E-17 1.02279743E-17 5.87438009E-18 5.87438009E-18 3.94744243E-21 2.40224268E-13
LN-ET      1.35834125E-16 6.56684077E-17 6.56684077E-17 9.69797428E-19 2.60802289E-19 3.38251500E-19 3.83336746E-19 9.33860609E-21 1.28664385E-17 7.75004810E-16 7.75004810E-16 9.76382373E-10 2.45789895E-17 2.45789895E-17 5.60649618E-18 5.60649618E-18 5.60745749E-18 4.94031120E-17 1.64319221E-13 1.21557130E-18 3.49723084E-19 6.74740606E-18 6.74740606E-18 6.25153243E-18 6.25153243E-18 1.30899421E-20 5.35943261E-18
Bronch-bas 2.52631188E-18 4.93246053E-17 4.93246053E-17 1.53054318E-17 3.72842490E-18 2.56155977E-18 4.79915945E-18 2.24080403E-19 1.26246701E-18 3.09588563E-18 3.09588563E-18 6.03908383E-18 6.41399313E-13 4.36849441E-09 5.81109412E-16 9.64045614E-17 7.31425610E-17 1.98733971E-16 5.08995448E-13 1.39280406E-17 4.58735172E-18 4.99574650E-18 4.99574650E-18 4.70495147E-18 4.70495147E-18 1.22249270E-19 2.69553233E-13
