  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
O-mucosa   8.44875727E-14 4.40246055E-19 4.40246055E-19 2.02787478E-21 0.00000000E+00 3.39212806E-22 0.00000000E+00 0.00000000E+00 3.46070121E-18 2.83617282E-15 2.83617282E-15 6.57837644E-15 4.10557725E-19 4.10557725E-19 6.78585829E-20 6.78585829E-20 6.78585829E-20 4.62964918E-19 2.45453438E-16 2.25970972E-16 2.25970972E-16 3.46470665E-17 3.46470665E-17 0.00000000E+00 5.78354981E-16
Oesophagus 4.24240312E-19 2.69614259E-12 2.22301988E-13 6.48737281E-19 4.53592185E-20 2.08250900E-20 5.75149315E-21 0.00000000E+00 3.45156881E-20 8.77912606E-16 8.77912606E-16 3.10966434E-18 3.84490313E-15 3.84490313E-15 6.41703727E-17 6.41703727E-17 6.41703727E-17 3.07217341E-15 1.43769705E-15 4.28101557E-17 4.28101557E-17 8.74067382E-19 8.74067382E-19 8.99766293E-23 4.37772374E-16
St-stem    8.60849426E-21 5.87165639E-17 5.87165639E-17 4.76359113E-14 3.95096722E-17 1.16665685E-19 2.79595819E-19 8.90393561E-21 5.63517514E-21 5.69141153E-21 5.69141153E-21 1.69814686E-20 9.96153231E-20 9.96153231E-20 2.24304708E-17 2.24304708E-17 2.24304708E-17 7.84633891E-20 1.39870007E-15 1.13759337E-19 1.13759337E-19 1.31016380E-19 1.31016380E-19 9.64510245E-21 3.81197178E-16
SI-stem    1.91908700E-21 3.94503916E-20 3.94503916E-20 1.28468919E-17 7.66721558E-15 2.85091284E-17 6.38146895E-17 6.67851247E-17 1.82023271E-21 1.57711845E-21 1.57711845E-21 2.08266922E-21 1.15951115E-20 1.15951115E-20 3.13401743E-20 3.13401743E-20 3.13401743E-20 1.01195069E-20 1.51122093E-15 2.09516619E-19 2.09516619E-19 2.89673509E-19 2.89673509E-19 3.49610931E-17 4.02652827E-16
RC-stem    5.16349438E-22 1.18277475E-20 1.18277475E-20 7.24263881E-20 7.72329176E-18 3.25466132E-15 2.96883303E-18 1.62252413E-19 8.27395981E-22 0.00000000E+00 0.00000000E+00 2.94175625E-22 1.00028685E-20 1.00028685E-20 1.31291954E-20 1.31291954E-20 1.31291954E-20 7.54753299E-21 1.44357704E-15 1.61002715E-19 1.61002715E-19 1.59033640E-19 1.59033640E-19 3.56612442E-19 4.57341081E-16
LC-stem    1.77777503E-22 7.35463095E-21 7.35463095E-21 1.82503924E-19 1.40313810E-17 1.65552896E-17 3.95849745E-15 5.30688918E-17 4.40678643E-23 6.02722773E-23 6.02722773E-23 0.00000000E+00 3.36777498E-21 3.36777498E-21 9.54817077E-21 9.54817077E-21 9.54817077E-21 4.44668062E-21 1.47227202E-15 1.76031131E-19 1.76031131E-19 1.52663387E-19 1.52663387E-19 4.84578278E-19 4.54847870E-16
RS-stem    0.00000000E+00 0.00000000E+00 0.00000000E+00 7.37289576E-21 4.83649016E-17 1.75310151E-19 8.34637819E-19 1.09279652E-14 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.86317104E-21 1.86317104E-21 1.07470794E-21 0.00000000E+00 1.46951627E-15 1.90146305E-19 1.90146305E-19 1.18895915E-18 1.18895915E-18 1.22018557E-16 4.59332472E-16
ET1-bas    3.43250291E-18 2.46623027E-20 2.46623027E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.82783532E-11 1.32725902E-16 1.32725902E-16 3.38091282E-19 3.84073747E-20 3.84073747E-20 1.38569040E-20 1.38569040E-20 1.38569040E-20 9.72569193E-21 2.00720670E-16 8.87253295E-17 8.87253295E-17 4.89737287E-18 4.89737287E-18 0.00000000E+00 2.33475644E-16
ET2-bas    2.85155371E-15 8.71856379E-16 8.71856379E-16 5.18512376E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.33764113E-16 2.11455253E-12 3.26956156E-12 8.93309522E-15 1.57894493E-15 1.57894493E-15 8.52854566E-20 8.52854566E-20 8.52854566E-20 2.32267525E-15 2.13121516E-16 3.85916250E-17 3.85916250E-17 8.16405051E-18 8.16405051E-18 0.00000000E+00 2.33875674E-16
LN-ET      6.66745745E-15 2.63189532E-18 2.63189532E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.98461601E-19 8.92604564E-15 8.92604564E-15 2.24016316E-12 4.83456755E-17 4.83456755E-17 1.58658731E-19 1.58658731E-19 1.58658731E-19 1.04985819E-17 2.50804707E-17 4.74708871E-18 4.74708871E-18 2.36689532E-19 2.36689532E-19 0.00000000E+00 7.48999258E-17
