  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
O-mucosa   8.44875727E-14 1.55089082E-19 1.55089082E-19 9.84889930E-21 0.00000000E+00 0.00000000E+00 3.15132093E-22 0.00000000E+00 1.75085846E-18 1.99663234E-15 1.99663234E-15 9.36584309E-16 5.93061648E-20 5.93061648E-20 3.94551982E-20 3.94551982E-20 3.29631790E-20 9.30063451E-20 2.55803498E-16 3.63021148E-17 3.63021148E-17 1.84586753E-17 1.84586753E-17 0.00000000E+00 5.01719099E-16
Oesophagus 2.13570126E-19 2.50372120E-12 2.06440440E-13 1.37538841E-18 1.01981738E-19 5.02250285E-20 9.47479109E-20 1.02829289E-21 1.90338567E-20 6.36192239E-16 6.36192239E-16 1.47803985E-17 5.13801978E-16 5.13801978E-16 1.88383911E-17 1.88383911E-17 1.88383911E-17 3.12905068E-15 1.25903835E-15 1.90899328E-17 1.90899328E-17 6.93421984E-19 6.93421984E-19 7.19441330E-22 3.47834354E-16
St-stem    1.07150359E-20 1.06410154E-16 1.06410154E-16 4.76359113E-14 1.27634185E-17 4.17575258E-19 3.28766615E-17 2.10077381E-20 5.36777188E-21 4.98292909E-21 4.98292909E-21 1.36529469E-20 3.26811960E-19 3.26811960E-19 7.36328270E-18 7.36328270E-18 7.36328270E-18 1.34672547E-19 1.21316804E-15 9.40749968E-20 9.40749968E-20 7.86812851E-20 7.86812851E-20 8.62067081E-21 3.03973108E-16
SI-stem    6.03011164E-22 6.51829482E-20 6.51829482E-20 5.57301069E-18 7.12007231E-15 1.67539595E-17 5.72553789E-18 1.33272245E-17 1.18682825E-21 5.45813464E-22 5.45813464E-22 2.32603982E-21 3.12648720E-20 3.12648720E-20 4.48224894E-20 4.48224894E-20 4.48224894E-20 1.84442557E-20 1.31291954E-15 1.74861542E-19 1.74861542E-19 1.05490504E-19 1.05490504E-19 1.13413267E-17 3.21305198E-16
RC-stem    2.21901443E-22 3.56724595E-20 3.56724595E-20 1.77264807E-19 2.78105795E-17 2.87254222E-15 5.80436498E-18 6.88423193E-20 1.16361272E-21 7.12119383E-22 7.12119383E-22 3.55362745E-21 2.78410208E-20 2.78410208E-20 3.68612744E-20 3.68612744E-20 3.68612744E-20 1.51319160E-20 1.32275691E-15 1.02177203E-19 1.02177203E-19 9.12167139E-20 9.12167139E-20 8.84850030E-20 3.59521873E-16
LC-stem    2.66682276E-21 8.41559222E-20 8.41559222E-20 3.26171089E-18 1.23857856E-17 2.97267825E-17 3.64399020E-15 5.07265098E-17 2.97251804E-21 1.49697758E-21 1.49697758E-21 3.51982152E-21 6.94431355E-20 6.94431355E-20 9.77984549E-20 9.77984549E-20 9.77984549E-20 2.42409302E-20 1.33791350E-15 9.27291685E-20 9.27291685E-20 3.61322841E-18 3.61322841E-18 3.85099140E-20 3.60046937E-16
RS-stem    0.00000000E+00 6.10269024E-22 6.10269024E-22 8.34317384E-21 3.99678946E-18 3.78001499E-20 6.19353365E-20 1.00666351E-14 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.53167454E-22 5.53167454E-22 1.88784455E-21 1.88784455E-21 1.88784455E-21 0.00000000E+00 1.30425177E-15 2.20090984E-19 2.20090984E-19 1.20864990E-19 1.20864990E-19 3.35720061E-18 3.64075595E-16
ET1-bas    1.83673512E-18 3.67314981E-20 3.67314981E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.90289883E-11 3.77232454E-15 3.77232454E-15 2.12352472E-19 4.99814977E-21 4.99814977E-21 3.39357002E-21 3.39357002E-21 3.39357002E-21 2.08971879E-20 2.27412931E-16 1.09005679E-16 1.09005679E-16 4.78457964E-18 4.78457964E-18 0.00000000E+00 1.77132973E-16
ET2-bas    2.01489715E-15 6.38355178E-16 6.38355178E-16 9.84857887E-21 8.20939210E-22 3.37482455E-21 3.58214619E-21 0.00000000E+00 3.77088258E-15 1.82792315E-12 2.82688019E-12 3.96843094E-14 2.57437718E-16 2.57437718E-16 3.77472780E-20 3.77472780E-20 3.77472780E-20 2.91740317E-17 2.36785663E-16 4.14579188E-17 4.14579188E-17 1.10526145E-17 1.10526145E-17 0.00000000E+00 1.82252622E-16
LN-ET      9.06110912E-16 1.59871579E-17 1.59871579E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.72922290E-20 3.95529309E-14 3.95529309E-14 1.82584032E-12 4.71103974E-16 4.71103974E-16 6.46974887E-20 6.46974887E-20 1.10708793E-19 7.67795016E-17 1.29015262E-16 4.28357906E-19 4.28357906E-19 3.96074049E-17 3.96074049E-17 0.00000000E+00 4.28409036E-17
