  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-wall        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       T-bone-S       T-bone-V       C-bone-S       C-bone-V       UB-cont        Other          
O-mucosa   7.72649611E-15 1.04876871E-19 1.04876871E-19 1.09241199E-22 4.36705245E-23 6.79851549E-24 3.07842190E-24 2.57501805E-24 1.97292013E-24 1.42125872E-25 9.61273849E-19 5.76831601E-16 5.76831601E-16 1.31378472E-15 1.06413358E-19 1.06413358E-19 1.43372365E-20 1.43372365E-20 1.43372365E-20 1.10595039E-19 1.25013025E-16 3.26107002E-21 1.64367286E-23 2.37250294E-19 1.82551989E-20 6.66745745E-18 6.66745745E-18 4.69197384E-17 4.69197384E-17 4.68780818E-25 3.23416182E-16
Oesophagus 1.21622819E-19 7.96986672E-13 2.23727925E-14 1.14550812E-17 1.74781433E-19 4.99061954E-21 2.14275083E-21 7.42656867E-21 2.47504224E-22 6.52678636E-24 3.89457060E-21 1.81142074E-16 1.81142074E-16 9.05149606E-19 7.88895680E-16 7.88895680E-16 1.42383822E-17 1.42383822E-17 1.42383822E-17 6.33019930E-16 7.44947979E-16 7.24151729E-18 2.25426232E-20 1.15095552E-16 1.17745552E-19 1.16837118E-19 1.16837118E-19 8.92973065E-18 8.92973065E-18 5.61979425E-24 2.59468628E-16
St-stem    2.89449204E-21 1.21348847E-17 1.21348847E-17 8.04981532E-14 1.15752445E-14 8.02594289E-18 2.84915045E-20 2.50275989E-20 7.05918960E-20 4.19626044E-22 3.06240014E-22 8.04116357E-22 8.04116357E-22 5.63293209E-21 2.30136631E-20 2.30136631E-20 4.75029307E-18 4.75029307E-18 4.75029307E-18 1.64303199E-20 7.38042599E-16 2.46895397E-17 3.37562564E-19 2.86164742E-21 1.59706554E-22 3.06784754E-20 3.06784754E-20 3.21781126E-20 3.21781126E-20 1.37332160E-21 3.12585960E-18
SI-stem    3.44964619E-22 1.05418406E-20 1.05418406E-20 2.88920486E-17 2.65753014E-18 1.33632734E-15 2.56139955E-17 5.83817090E-18 1.29556797E-17 1.36035999E-17 4.72722172E-22 1.73291409E-22 1.73291409E-22 2.23407489E-22 2.53480342E-21 2.53480342E-21 6.99670472E-21 6.99670472E-21 6.99670472E-21 1.89489413E-21 8.01360614E-16 3.40526591E-18 3.21364560E-18 2.41768432E-22 2.18248481E-22 6.75990303E-20 6.75990303E-20 5.21668664E-20 5.21668664E-20 7.17150217E-18 2.45121262E-16
RC-stem    4.28950711E-24 1.86573452E-21 1.86573452E-21 2.79467645E-20 1.33501356E-20 1.62652957E-18 8.71872401E-14 1.62140260E-16 4.79307118E-19 3.54161112E-20 1.74589172E-23 3.08675322E-24 3.08675322E-24 4.91211289E-24 3.79395392E-22 3.79395392E-22 3.46278404E-21 3.46278404E-21 3.46278404E-21 1.72474299E-21 7.71848523E-16 1.10635093E-18 1.49894826E-17 1.01361695E-23 4.84834627E-23 4.30200409E-20 4.30200409E-20 4.60369392E-20 4.60369392E-20 9.39580379E-20 3.86343345E-18
LC-stem    3.09700715E-24 9.00599425E-22 9.00599425E-22 6.99301971E-20 3.92741522E-20 2.86453134E-18 1.36672063E-17 3.23255128E-18 1.79668071E-16 1.05783703E-17 3.91107302E-24 2.04053197E-24 2.04053197E-24 2.83296846E-24 8.57452812E-23 8.57452812E-23 3.09284149E-22 3.09284149E-22 3.09284149E-22 1.74428954E-21 7.79442839E-16 1.25304621E-20 6.37409894E-20 6.68732444E-24 2.05030525E-24 3.63629975E-20 3.63629975E-20 4.63878158E-20 4.63878158E-20 1.30795280E-19 2.61900785E-16
RS-stem    1.87022061E-25 6.28597923E-24 6.28597923E-24 3.80052284E-21 9.11366051E-22 9.65022942E-18 5.11302582E-20 4.56716429E-20 1.46690473E-19 4.85683780E-16 3.74508754E-25 2.34991225E-25 2.34991225E-25 5.49722774E-25 3.32451621E-24 3.32451621E-24 6.57869687E-24 6.57869687E-24 3.00231852E-22 2.68861236E-24 7.81974278E-16 8.69885702E-23 2.82688019E-21 7.08963095E-25 2.06584636E-25 2.53576473E-19 2.53576473E-19 4.40726708E-20 4.40726708E-20 2.48241225E-17 2.64735980E-16
ET1-bas    9.05582194E-19 8.71391748E-22 8.71391748E-22 3.59240012E-23 3.04669881E-23 6.49314065E-24 2.05895700E-24 4.74516610E-24 2.96002106E-24 0.00000000E+00 4.94335533E-11 3.14411114E-17 3.14411114E-17 8.76951300E-20 1.29058520E-20 1.29058520E-20 1.22781193E-22 1.22781193E-22 1.22781193E-22 4.99526585E-22 1.10508521E-16 3.56980943E-23 9.89776568E-24 2.70014803E-20 3.66049262E-20 7.96794411E-19 7.96794411E-19 1.91091590E-17 1.91091590E-17 1.01390535E-24 1.75100129E-16
ET2-bas    5.84794418E-16 1.79331614E-16 1.79331614E-16 2.62436509E-23 3.33108513E-22 5.14571022E-24 1.19634518E-24 2.01521759E-24 2.59520547E-24 4.20475197E-25 2.99174415E-17 1.44364112E-12 2.74100353E-12 1.86028712E-15 3.19105491E-16 3.19105491E-16 1.79379679E-20 1.79379679E-20 1.79379679E-20 4.88295328E-16 1.16165806E-16 4.53431968E-23 2.93662928E-22 5.35415338E-19 1.52517589E-18 1.71897515E-18 1.71897515E-18 7.81141146E-18 7.81141146E-18 3.22357909E-26 1.75678695E-16
LN-ET      1.33334729E-15 5.10902038E-19 5.10902038E-19 5.62347925E-21 6.14466726E-23 1.41223846E-23 5.60745749E-25 4.24881183E-24 1.60055829E-24 0.00000000E+00 1.70295339E-20 1.89793827E-15 1.89793827E-15 1.20768859E-12 3.95208874E-18 3.95208874E-18 4.16774170E-20 4.16774170E-20 4.16774170E-20 1.99999691E-18 1.37660606E-17 4.39188619E-21 6.97331294E-22 1.03949210E-18 1.91331916E-16 8.95264177E-21 8.95264177E-21 5.12984868E-19 5.12984868E-19 1.33467710E-24 1.57273055E-17
