  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-wall        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       T-bone-S       T-bone-V       C-bone-S       C-bone-V       UB-cont        Other          
O-mucosa   7.72649611E-15 4.06055609E-20 4.06055609E-20 2.82415649E-23 4.82735776E-22 7.24023554E-24 7.87261460E-24 7.71303783E-24 1.04522790E-23 1.77344915E-25 4.83072233E-19 4.03972779E-16 4.03972779E-16 1.94584334E-16 1.34497910E-20 1.34497910E-20 1.56293918E-20 1.56293918E-20 5.62299860E-21 1.82984577E-20 1.32628170E-16 5.55490610E-23 1.26190624E-22 6.89608804E-20 5.05791095E-19 3.56532334E-18 3.56532334E-18 7.05694655E-18 7.05694655E-18 2.15652955E-25 2.74989017E-16
Oesophagus 6.61090062E-20 7.40029298E-13 2.07786269E-14 2.22910815E-17 2.86501199E-19 1.71032340E-20 1.39120189E-20 2.00944975E-20 1.64094916E-20 1.48332704E-23 2.72482155E-21 1.29997396E-16 1.29997396E-16 2.30665349E-18 1.04535607E-16 1.04535607E-16 4.05254521E-18 4.05254521E-18 4.05254521E-18 6.43225794E-16 6.59968539E-16 2.09692859E-18 2.93118188E-20 1.85660211E-16 7.77360010E-20 1.41015564E-19 1.41015564E-19 3.64302890E-18 3.64302890E-18 6.85843689E-24 2.06031591E-16
St-stem    1.91011481E-21 2.22301988E-17 2.22301988E-17 7.18528089E-14 1.15752445E-14 2.69870607E-18 7.06511765E-20 1.08765353E-19 6.88471258E-18 4.25762380E-21 9.00166837E-22 3.89360930E-22 3.89360930E-22 1.45450388E-21 7.89584616E-20 7.89584616E-20 1.60441953E-18 1.60441953E-18 1.60441953E-18 3.10261477E-20 6.44667753E-16 6.55306205E-18 1.29068133E-19 4.54521448E-21 4.26082815E-22 2.21068312E-20 2.21068312E-20 2.29479738E-20 2.29479738E-20 5.38843996E-22 2.73320390E-18
SI-stem    4.73314978E-23 1.64479438E-20 1.64479438E-20 4.08154460E-18 1.12381465E-18 1.24077354E-15 1.28073182E-17 3.47896602E-18 1.27563690E-18 2.75141768E-18 8.99477902E-23 1.50019795E-23 1.50019795E-23 2.91307729E-22 5.28077370E-21 5.28077370E-21 1.01305619E-20 1.01305619E-20 1.01305619E-20 4.47343697E-21 6.99926820E-16 2.95361235E-19 7.11750883E-19 1.84730949E-21 3.63581910E-22 2.66554102E-20 2.66554102E-20 4.13185294E-20 4.13185294E-20 2.35760270E-18 1.95063305E-16
RC-stem    9.26426510E-24 5.08899318E-21 5.08899318E-21 6.97747860E-20 4.25938619E-20 5.63068905E-18 7.89824943E-14 1.43091984E-16 1.13608733E-18 1.77024480E-20 7.17903240E-24 5.99390246E-24 5.99390246E-24 1.07815262E-22 6.37906568E-21 6.37906568E-21 6.01328879E-21 6.01328879E-21 6.01328879E-21 3.12680763E-21 7.05085828E-16 4.07994242E-18 1.15042680E-18 8.20138122E-22 1.18695643E-22 2.71857306E-20 2.71857306E-20 2.38083426E-20 2.38083426E-20 1.87951324E-20 3.06390079E-18
LC-stem    1.67651748E-22 1.99006341E-20 1.99006341E-20 2.13842496E-17 8.35775364E-19 2.69726412E-18 8.46477903E-18 5.96522350E-18 1.65408701E-16 1.01775057E-17 4.34285959E-22 1.06249936E-23 1.06249936E-23 1.10200903E-21 1.54145400E-20 1.54145400E-20 2.10750295E-20 2.10750295E-20 2.10750295E-20 4.63397505E-21 7.11013881E-16 3.89697387E-20 1.83224903E-19 9.65920160E-22 1.40643859E-23 7.26202514E-19 7.26202514E-19 2.13089473E-20 2.13089473E-20 5.03548048E-21 2.07822968E-16
RS-stem    3.11879675E-25 1.26515866E-23 1.26515866E-23 1.18988841E-21 2.31081915E-21 7.76623009E-19 7.20146287E-21 8.38723369E-21 1.40574965E-20 4.47359719E-16 1.61435303E-25 2.32411721E-25 2.32411721E-25 4.83056211E-25 2.97235782E-23 2.97235782E-23 3.55955550E-23 3.55955550E-23 3.55955550E-23 3.92292913E-24 6.99317993E-16 8.19913817E-23 3.55795332E-21 1.19141048E-24 1.70279317E-25 2.50628468E-20 2.50628468E-20 5.85323136E-20 5.85323136E-20 9.51933160E-19 2.09756283E-16
ET1-bas    5.14042304E-19 4.53800468E-21 4.53800468E-21 4.44347627E-22 2.37987295E-23 5.58582810E-24 5.20643271E-24 7.63709466E-24 1.16630437E-23 5.18464311E-25 4.27364556E-11 7.78257229E-16 7.78257229E-16 5.33684988E-20 9.01720949E-23 9.01720949E-23 5.56371807E-23 5.56371807E-23 5.56371807E-23 1.41121307E-20 1.22896550E-16 2.64198903E-23 5.24840974E-24 1.54970521E-21 5.03115460E-20 1.11019615E-18 1.11019615E-18 2.30921697E-17 2.30921697E-17 1.40919433E-25 1.42838175E-16
ET2-bas    4.05863348E-16 1.30726386E-16 1.30726386E-16 2.84386326E-23 5.72730029E-21 2.21965531E-23 5.38267213E-24 5.73611226E-24 1.96891468E-22 2.93983364E-25 7.78048946E-16 1.24811151E-12 2.36993946E-12 8.41687396E-15 5.15404154E-17 5.15404154E-17 7.93654145E-21 7.93654145E-21 7.93654145E-21 3.69317702E-18 1.27629379E-16 7.48088245E-23 9.22613330E-24 4.27140251E-19 4.18344303E-19 2.32027199E-18 2.32027199E-18 8.28213091E-18 8.28213091E-18 2.38644188E-25 1.43887793E-16
LN-ET      1.89633609E-16 2.53063776E-18 2.53063776E-18 1.44932885E-21 7.91250880E-23 1.33422849E-23 1.07962663E-22 1.38312692E-23 2.09740924E-23 5.29807721E-25 9.06511456E-21 8.36608496E-15 8.36608496E-15 9.86395976E-13 9.67121793E-17 9.67121793E-17 4.59327977E-21 4.59327977E-21 2.56155977E-20 7.52366057E-18 5.41167152E-17 3.06752710E-21 1.25254953E-21 1.26049633E-18 1.04593285E-18 7.81301364E-18 7.81301364E-18 7.21059528E-20 7.21059528E-20 0.00000000E+00 9.48559063E-18
Bronch-bas 2.52503014E-21 4.51349138E-17 4.51349138E-17 8.23743019E-20 1.11461816E-19 1.16590383E-20 5.50203427E-21 8.36191930E-21 1.83192860E-20 1.47696639E-23 7.23142357E-21 1.42388629E-20 1.42388629E-20 3.13369699E-20 2.57085239E-12 3.09636628E-12 1.32937390E-14 5.71736679E-16 1.69590381E-17 1.87006040E-15 5.59383899E-16 4.30761170E-19 9.95047729E-21 1.11976115E-19 9.51324333E-21 5.11959475E-20 5.11959475E-20 5.23126645E-20 5.23126645E-20 5.25321627E-24 2.63855679E-16
Bronch-sec 2.52503014E-21 4.51349138E-17 4.51349138E-17 8.23743019E-20 1.11461816E-19 1.16590383E-20 5.50203427E-21 8.36191930E-21 1.83192860E-20 1.47696639E-23 7.23142357E-21 1.42388629E-20 1.42388629E-20 3.13369699E-20 4.15748777E-12 2.52919580E-12 1.32937390E-14 5.71736679E-16 1.51911966E-17 1.87006040E-15 5.59383899E-16 4.30761170E-19 9.95047729E-21 1.11976115E-19 9.51324333E-21 5.11959475E-20 5.11959475E-20 5.23126645E-20 5.23126645E-20 5.25321627E-24 2.58280720E-16
Bchiol-sec 5.63277188E-21 3.62989105E-18 3.62989105E-18 1.38253411E-18 8.48736972E-19 1.92052895E-20 7.31714002E-21 1.20012632E-20 2.39124841E-20 1.91347938E-22 3.37626651E-21 1.12862118E-20 1.12862118E-20 2.56107911E-20 4.34830699E-16 4.34830699E-16 7.39468536E-13 5.36152340E-13 7.87373613E-15 5.11206452E-17 5.59383899E-16 3.94375742E-18 2.65368492E-20 1.34414596E-19 9.05037454E-21 1.60473997E-18 1.60473997E-18 2.10509969E-18 2.10509969E-18 1.38794947E-22 1.74462954E-16
