  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
O-mucosa   1.05705196E-12 1.00897064E-17 1.00897064E-17 4.42248776E-19 6.75509650E-20 1.61739716E-20 9.24167441E-21 3.08002408E-21 2.23103076E-16 7.97451303E-14 7.97451303E-14 2.14723693E-13 9.00551360E-18 9.00551360E-18 1.98910211E-18 1.98910211E-18 1.98910211E-18 1.00812149E-17 1.24838388E-15 5.53391759E-19 1.33831404E-19 3.97900531E-15 3.97900531E-15 1.45596186E-15 1.45596186E-15 7.50811945E-21 2.23967297E-15
Oesophagus 1.03797004E-17 6.25361526E-12 2.45853982E-12 3.57157182E-17 1.25991955E-18 3.19217643E-19 3.36825563E-19 1.19357342E-19 1.72266016E-18 2.20267223E-14 2.20267223E-14 1.34422607E-15 1.12889355E-13 1.12889355E-13 1.62348543E-15 1.62348543E-15 1.62348543E-15 9.05966716E-14 6.82703423E-15 9.65103050E-16 3.07057124E-18 1.28416048E-15 1.28416048E-15 1.40464415E-16 1.40464415E-16 6.01553184E-20 1.92214204E-15
St-stem    3.53536264E-19 1.93767224E-15 1.93767224E-15 3.53472177E-13 1.53578229E-15 3.05631187E-18 5.73258747E-18 6.06551974E-19 2.87702832E-19 2.40022060E-19 2.40022060E-19 4.13778100E-19 2.60273570E-18 2.60273570E-18 6.37506024E-16 6.37506024E-16 6.37506024E-16 2.12753016E-18 5.59720356E-15 3.17134814E-15 5.00551978E-17 4.09308027E-18 4.09308027E-18 6.03379665E-18 6.03379665E-18 5.03371809E-19 1.82354638E-15
SI-stem    8.43818290E-20 9.99229410E-19 9.99229410E-19 4.55386623E-16 7.11670774E-14 1.09707433E-15 2.23984273E-15 2.31001806E-15 8.21564059E-20 6.66024766E-20 6.66024766E-20 7.85579175E-20 4.54537469E-19 4.54537469E-19 9.00327055E-19 9.00327055E-19 9.00327055E-19 3.74380580E-19 5.89568904E-15 4.38147204E-16 8.38066477E-16 9.28252991E-18 9.28252991E-18 1.28659578E-17 1.28659578E-17 1.24441048E-15 1.80332333E-15
RC-stem    5.73547139E-20 4.62644482E-19 4.62644482E-19 2.07786269E-18 3.26555612E-16 6.31898406E-14 3.26459481E-16 4.28614254E-18 3.47912624E-20 4.38355487E-20 4.38355487E-20 5.51004516E-20 2.74068310E-19 2.74068310E-19 5.98092483E-19 5.98092483E-19 5.98092483E-19 2.88151441E-19 5.24119994E-15 1.49649693E-16 1.97836753E-15 3.91587955E-18 3.91587955E-18 3.42096724E-18 3.42096724E-18 7.44323131E-18 1.74050890E-15
LC-stem    3.85051075E-20 3.45140859E-19 3.45140859E-19 4.21901134E-18 5.52750888E-16 6.38835831E-16 7.75501485E-14 1.77761481E-15 3.71769032E-20 1.16479833E-20 1.16479833E-20 3.42064680E-20 2.04485785E-19 2.04485785E-19 3.87262079E-19 3.87262079E-19 3.87262079E-19 1.74316802E-19 5.68756631E-15 1.61515412E-18 6.01953728E-18 7.02698585E-18 7.02698585E-18 4.13890252E-18 4.13890252E-18 1.13475752E-17 1.71808057E-15
RS-stem    1.75999087E-21 6.91467328E-20 6.91467328E-20 3.74893276E-19 1.67491530E-15 3.90033844E-18 1.76271457E-16 2.10926535E-13 1.21090897E-20 1.38317498E-21 1.38317498E-21 4.44828280E-21 2.09068010E-20 2.09068010E-20 8.93325544E-20 8.93325544E-20 7.46021438E-20 2.12016015E-20 5.49546535E-15 3.25962806E-19 9.49417743E-19 3.90770845E-18 3.90770845E-18 4.43386321E-17 4.43386321E-17 4.91467637E-15 1.68254487E-15
ET1-bas    2.28662628E-16 1.31772607E-18 1.31772607E-18 8.56843985E-20 2.97043521E-20 1.28329530E-24 1.22912571E-24 4.83921386E-25 6.78489699E-11 4.49586744E-15 4.49586744E-15 1.33062359E-17 1.18322336E-18 1.18322336E-18 9.43954321E-19 9.43954321E-19 9.43954321E-19 1.50923423E-18 6.02290185E-16 7.75405354E-19 1.33748091E-19 2.84642675E-15 2.84642675E-15 2.89881792E-16 2.89881792E-16 1.33243405E-24 1.34428252E-15
ET2-bas    8.01088244E-14 2.19434092E-14 2.19434092E-14 2.19738505E-19 3.41776288E-20 3.24360630E-20 3.81510265E-20 3.33509058E-23 4.53464011E-15 2.22350053E-12 3.53247872E-12 3.47752407E-13 2.74933485E-14 2.74933485E-14 2.15925325E-18 2.15925325E-18 2.15925325E-18 4.13329490E-14 6.64550763E-16 2.72177742E-19 1.15994373E-19 1.65488809E-15 1.65488809E-15 3.23271150E-16 3.23271150E-16 1.92966136E-24 1.36707993E-15
LN-ET      2.15909303E-13 1.35494463E-15 1.35494463E-15 1.30234518E-18 1.17864113E-19 1.65360635E-24 1.17982674E-24 4.90666549E-25 1.34108581E-17 3.47896602E-13 3.47896602E-13 7.02602455E-12 1.12692288E-14 1.12692288E-14 3.05086447E-18 3.05086447E-18 3.05086447E-18 1.26554319E-14 1.83385121E-16 6.02818903E-19 2.32636026E-19 3.87310144E-16 3.87310144E-16 2.49410814E-17 2.49410814E-17 3.10357607E-25 1.66025162E-15
Bronch-bas 2.00384213E-18 5.02891156E-14 5.02891156E-14 5.09524166E-18 6.50675915E-19 3.77184389E-19 1.78530526E-19 5.48008446E-20 8.23807106E-19 1.27592529E-17 1.27592529E-17 4.52807119E-18 4.22221570E-12 4.36593093E-12 1.34872819E-13 3.89857605E-14 1.04851236E-13 8.46253599E-13 9.54624816E-15 7.11110012E-18 2.13602169E-18 1.98205253E-17 1.98205253E-17 4.70366973E-18 4.70366973E-18 6.74035648E-20 2.26928058E-15
Bronch-sec 2.00384213E-18 5.02891156E-14 5.02891156E-14 5.09524166E-18 6.50675915E-19 3.77184389E-19 1.78530526E-19 5.48008446E-20 8.23807106E-19 1.27592529E-17 1.27592529E-17 4.52807119E-18 4.81790491E-12 4.06440131E-12 1.34872819E-13 3.89857605E-14 1.04066169E-13 8.46253599E-13 9.54624816E-15 7.11110012E-18 2.13602169E-18 1.98205253E-17 1.98205253E-17 4.70366973E-18 4.70366973E-18 6.74035648E-20 2.25777525E-15
Bchiol-sec 2.11647514E-18 1.46618375E-15 1.46618375E-15 4.18648716E-17 1.13616743E-18 5.20659293E-19 4.08266612E-19 1.01191865E-19 9.36263874E-19 2.10365773E-18 2.10365773E-18 3.32419578E-18 2.33725506E-14 2.33725506E-14 5.58566789E-13 5.05278399E-13 1.37647789E-13 1.06954894E-14 9.54624816E-15 9.62299242E-16 2.94944669E-18 6.15235771E-16 6.15235771E-16 4.23279006E-16 4.23279006E-16 6.52614548E-20 1.47365328E-15
