  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
O-mucosa   1.05705196E-12 4.67018424E-18 4.67018424E-18 2.23711903E-19 8.77111518E-20 7.95400517E-20 8.53815872E-20 1.19342922E-21 4.18216128E-17 5.53039280E-14 5.53039280E-14 2.53384211E-14 1.72153864E-18 1.72153864E-18 9.16957647E-19 9.16957647E-19 1.09962179E-18 4.12624532E-18 1.22316562E-15 3.22694366E-19 1.31519463E-19 9.16877538E-16 9.16877538E-16 6.40117572E-16 6.40117572E-16 4.71087952E-22 2.18469621E-15
Oesophagus 5.52446474E-18 5.80740911E-12 2.28294128E-12 1.36648030E-16 2.89513291E-18 1.34118194E-18 2.30681371E-18 1.19847608E-19 8.09227300E-19 1.72730647E-14 1.72730647E-14 4.63317397E-15 1.84474601E-14 1.84474601E-14 5.19762074E-16 5.19762074E-16 5.19762074E-16 8.07336732E-14 5.37690429E-15 2.72370003E-16 3.52671088E-18 6.56155358E-16 6.56155358E-16 4.26883903E-17 4.26883903E-17 9.41535034E-20 1.57375438E-15
St-stem    2.93502711E-19 2.78554404E-15 2.78554404E-15 3.53472177E-13 4.61506937E-16 9.10789268E-18 1.21831102E-15 7.63244835E-19 2.53592494E-19 2.65208274E-19 2.65208274E-19 4.83472777E-19 6.65784439E-18 6.65784439E-18 2.35856401E-16 2.35856401E-16 2.35856401E-16 3.00360026E-18 4.49090069E-15 1.10213721E-15 1.04048545E-17 2.08090682E-18 2.08090682E-18 1.77521155E-18 1.77521155E-18 3.90322236E-19 1.49756761E-15
SI-stem    6.19032929E-20 1.49100146E-18 1.49100146E-18 1.89569522E-16 6.60785649E-14 5.79667453E-16 2.57069217E-16 5.57990005E-16 5.30192243E-20 5.35543513E-20 5.35543513E-20 8.41527178E-20 9.33444043E-19 9.33444043E-19 1.09465504E-18 1.09465504E-18 1.09465504E-18 5.20178640E-19 4.82479427E-15 3.97676226E-17 1.27647003E-16 4.63461592E-18 4.63461592E-18 2.45966134E-18 2.45966134E-18 3.89248778E-16 1.51167541E-15
RC-stem    8.16949791E-20 1.13692046E-18 1.13692046E-18 3.97708269E-18 9.80419858E-16 5.57701613E-14 3.69493941E-16 1.90707067E-18 8.57276573E-20 6.61442541E-20 6.61442541E-20 1.01212693E-19 8.51572825E-19 8.51572825E-19 1.10979561E-18 1.10979561E-18 1.10979561E-18 5.17503005E-19 4.79579488E-15 5.62011468E-16 2.50243946E-16 2.31194067E-18 2.31194067E-18 6.34718237E-18 6.34718237E-18 2.35071334E-18 1.35935816E-15
LC-stem    1.31458581E-19 2.01393584E-18 2.01393584E-18 1.14342529E-16 6.42152336E-16 9.56947972E-16 7.13737581E-14 1.58778894E-15 7.24808621E-20 1.00717621E-19 1.00717621E-19 1.74012388E-19 1.88976717E-18 1.88976717E-18 2.22766619E-18 2.22766619E-18 2.22766619E-18 8.72529293E-19 4.94367577E-15 3.99534751E-18 1.29654530E-17 4.16213408E-18 4.16213408E-18 1.17417106E-16 1.17417106E-16 1.04932947E-18 1.40776692E-15
RS-stem    1.41930406E-20 1.01023636E-19 1.01023636E-19 4.51557421E-19 1.75149934E-16 1.21874361E-18 1.25426386E-17 1.94295943E-13 8.51124215E-21 2.98421392E-21 2.98421392E-21 6.01553184E-21 6.18584320E-20 6.18584320E-20 8.89832799E-20 8.89832799E-20 8.89832799E-20 4.99190128E-20 4.61346719E-15 3.28958876E-19 9.36263874E-19 9.95127838E-18 9.95127838E-18 3.18160207E-18 3.18160207E-18 1.45745188E-16 1.35463917E-15
ET1-bas    4.49714918E-17 7.30720652E-19 7.30720652E-19 1.15733219E-19 3.45957969E-20 9.34373305E-20 2.62612748E-19 1.26868345E-20 5.86572834E-11 7.78721860E-14 7.78721860E-14 6.16004816E-18 7.27548343E-19 7.27548343E-19 6.55706749E-19 6.55706749E-19 6.55706749E-19 6.11454634E-19 7.64670772E-16 2.52727319E-19 3.58438924E-20 2.80573146E-15 2.80573146E-15 1.39147426E-16 1.39147426E-16 3.09091888E-25 7.74866168E-16
ET2-bas    5.56035350E-14 1.72650538E-14 1.72650538E-14 2.32908396E-19 5.65424104E-20 5.57525374E-20 8.47150818E-20 3.61963712E-21 7.77840663E-14 1.92181070E-12 3.05358817E-12 6.90441935E-13 4.64022354E-15 4.64022354E-15 1.46004741E-18 1.46004741E-18 1.46004741E-18 3.16750291E-15 8.01520831E-16 2.42649629E-19 9.13913512E-20 1.24465080E-15 1.24465080E-15 3.14250896E-16 3.14250896E-16 2.04357611E-21 9.53925747E-16
LN-ET      2.51045034E-14 4.72209476E-15 4.72209476E-15 4.02018124E-19 4.19385717E-23 2.20155071E-19 9.31633584E-20 6.28101248E-25 6.17030209E-18 6.90217631E-13 6.90217631E-13 5.60281118E-12 1.25335062E-14 1.25335062E-14 1.68196488E-18 1.68196488E-18 2.80428951E-18 1.12822064E-14 1.24767892E-15 5.97563764E-19 2.26675929E-19 5.84089460E-18 5.84089460E-18 1.11106133E-15 1.11106133E-15 5.09764493E-25 1.05925698E-15
