  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Kidneys        Liver          Pancreas       Muscle         Other          
O-mucosa   7.35879660E-14 1.18527414E-15 1.18527414E-15 8.65784130E-17 2.84097935E-17 2.23824055E-17 1.87903258E-17 5.47223379E-18 8.88486971E-15 1.71625145E-14 1.71625145E-14 2.56716739E-14 1.15637088E-15 1.15637088E-15 3.39276893E-16 3.39276893E-16 3.39276893E-16 1.32996670E-15 3.88191341E-16 5.74636619E-18 8.79226391E-16 8.79226391E-16 9.28685579E-16 9.28685579E-16 4.93614554E-17 1.05754863E-16 5.78722169E-17 2.79339471E-16 5.01515060E-16
Oesophagus 1.16925238E-15 8.19689513E-14 6.17542905E-14 1.37553260E-15 2.03620610E-16 1.00956345E-16 9.18623911E-17 2.80236689E-17 3.53904764E-16 2.93230341E-15 2.93230341E-15 3.73579491E-15 1.38408822E-14 1.38408822E-14 2.77737294E-15 2.77737294E-15 2.77737294E-15 1.43162480E-14 1.34342498E-15 2.32539895E-17 6.82831597E-16 6.82831597E-16 5.80676824E-16 5.80676824E-16 4.67899621E-16 1.26403714E-15 4.84209778E-16 3.88511776E-16 5.27800095E-16
St-stem    8.08746647E-17 1.23873877E-15 1.23873877E-15 1.49747425E-14 2.81550474E-15 4.85155062E-16 8.01536853E-16 1.28877474E-16 6.89624825E-17 6.73394777E-17 6.73394777E-17 8.88326753E-17 3.96410506E-16 3.96410506E-16 8.44571313E-16 8.44571313E-16 8.44571313E-16 3.27997570E-16 1.12094676E-15 1.17397880E-16 2.27765409E-16 2.27765409E-16 2.80893582E-16 2.80893582E-16 2.45197090E-15 2.29976413E-15 7.22998162E-15 2.97604282E-16 5.29659391E-16
SI-stem    2.60674114E-17 1.67860031E-16 1.67860031E-16 1.50194433E-15 6.51573134E-15 2.65048056E-15 3.53135719E-15 2.76071030E-15 2.43675022E-17 2.05431069E-17 2.05431069E-17 2.68957367E-17 9.52269617E-17 9.52269617E-17 1.63902655E-16 1.63902655E-16 1.63902655E-16 8.31898097E-17 8.38675304E-16 2.42681672E-15 2.97748478E-16 2.97748478E-16 4.63173201E-16 4.63173201E-16 2.04229437E-15 7.93622101E-16 3.69445876E-15 4.46110021E-16 6.40914919E-16
RC-stem    2.37346425E-17 1.01807101E-16 1.01807101E-16 3.58647207E-16 2.08090682E-15 1.83577382E-14 1.35153200E-15 6.35214912E-16 2.10734273E-17 1.89841892E-17 1.89841892E-17 2.47536267E-17 7.29967629E-17 7.29967629E-17 1.17370643E-16 1.17370643E-16 1.17370643E-16 6.51012372E-17 7.44851849E-16 9.71527778E-16 2.79916254E-16 2.79916254E-16 3.98236988E-16 3.98236988E-16 1.77280828E-15 7.00631778E-16 1.70840079E-15 4.89753309E-16 5.65462393E-16
LC-stem    1.79235484E-17 8.78777781E-17 8.78777781E-17 6.11150221E-16 2.67819822E-15 1.34041289E-15 2.21741226E-14 1.44269584E-15 1.90418675E-17 1.39547970E-17 1.39547970E-17 1.72538386E-17 5.72762072E-17 5.72762072E-17 9.45844889E-17 9.45844889E-17 9.45844889E-17 4.92909596E-17 7.04493023E-16 1.27546066E-15 2.83441042E-16 2.83441042E-16 3.90995150E-16 3.90995150E-16 8.05029598E-16 2.93246362E-16 9.23879049E-16 4.92877553E-16 6.17501627E-16
RS-stem    5.38042908E-18 2.33581310E-17 2.33581310E-17 9.45476389E-17 2.53095820E-15 5.79314974E-16 9.61145675E-16 2.11295035E-14 6.31690124E-18 3.93110023E-18 3.93110023E-18 5.54433173E-18 1.80997878E-17 1.80997878E-17 2.87061961E-17 2.87061961E-17 2.87061961E-17 1.54909638E-17 6.07513280E-16 5.32467334E-15 3.29775986E-16 3.29775986E-16 3.96987290E-16 3.96987290E-16 1.87182279E-16 8.57292595E-17 1.69077685E-16 5.81782326E-16 6.88024010E-16
ET1-bas    8.88006318E-15 3.57493640E-16 3.57493640E-16 8.37345497E-17 2.44091588E-17 1.97916861E-17 1.34400177E-17 6.56491816E-18 1.27121489E-12 5.65183778E-15 5.65183778E-15 2.18056220E-15 3.69429854E-16 3.69429854E-16 2.02306825E-16 2.02306825E-16 2.02306825E-16 4.00480035E-16 8.50050757E-17 6.83696772E-18 7.86428329E-16 7.86428329E-16 6.25121200E-16 6.25121200E-16 3.90178040E-17 8.03411399E-17 5.66145083E-17 1.28464113E-16 4.16699244E-16
ET2-bas    1.71801385E-14 2.92493339E-15 2.92493339E-15 7.95592778E-17 2.39397211E-17 1.94472182E-17 1.21344041E-17 4.34670481E-18 5.80981238E-15 1.15121187E-13 1.33313901E-13 3.30064378E-14 2.30905675E-15 2.30905675E-15 3.64126650E-16 3.64126650E-16 3.64126650E-16 3.03804705E-15 1.17079047E-16 5.07569511E-18 9.54640838E-16 9.54640838E-16 9.54288359E-16 9.54288359E-16 4.36849441E-17 9.58662301E-17 4.86356694E-17 3.29711899E-16 5.01627093E-16
LN-ET      2.58126654E-14 3.67763591E-15 3.67763591E-15 8.62067081E-17 2.38467948E-17 2.50420185E-17 1.52439082E-17 5.12552280E-18 2.17062870E-15 3.29359420E-14 3.29359420E-14 3.96698898E-13 4.09356092E-15 4.09356092E-15 5.51565277E-16 5.51565277E-16 5.51565277E-16 5.23815581E-15 1.20163237E-16 4.38707966E-18 7.34309528E-16 7.34309528E-16 7.41855779E-16 7.41855779E-16 4.81694361E-17 1.27930588E-16 6.27444356E-17 4.25457966E-16 4.26432425E-16
