  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Kidneys        Liver          Pancreas       Muscle         Other          
O-mucosa   6.78553786E-14 6.00095203E-16 6.00095203E-16 6.97106989E-17 2.74917463E-17 3.27372722E-17 4.27909296E-17 6.77512371E-18 5.74908989E-15 1.13767348E-14 1.13767348E-14 8.62275364E-15 3.19682274E-16 3.19682274E-16 2.12560755E-16 2.12560755E-16 2.12560755E-16 5.37626342E-16 3.78129673E-16 4.33500892E-18 6.70558925E-16 6.70558925E-16 5.68388131E-16 5.68388131E-16 3.38171391E-17 7.98204326E-17 4.49058026E-17 2.60658093E-16 4.83750686E-16
Oesophagus 6.00704030E-16 7.43473977E-14 5.55779002E-14 1.52913326E-15 3.83817399E-16 2.35423813E-16 3.55026288E-16 4.16870300E-17 1.99663234E-16 2.59488504E-15 2.59488504E-15 4.45308933E-15 4.45132693E-15 4.45132693E-15 2.11086752E-15 2.11086752E-15 2.11086752E-15 1.17622185E-14 1.10965141E-15 2.73699809E-17 5.98669266E-16 5.98669266E-16 4.16085234E-16 4.16085234E-16 4.92877553E-16 1.16092106E-15 7.81045016E-16 2.78826774E-16 5.61035416E-16
St-stem    6.90842479E-17 1.64751808E-15 1.64751808E-15 1.39724209E-14 2.39445276E-15 9.42127840E-16 4.12977011E-15 1.59483852E-16 5.95432870E-17 6.84962492E-17 6.84962492E-17 1.05354319E-16 8.26915328E-16 8.26915328E-16 9.43153233E-16 9.43153233E-16 9.43153233E-16 4.37105789E-16 1.01276780E-15 9.36311939E-17 2.02691347E-16 2.02691347E-16 2.24096425E-16 2.24096425E-16 1.26403714E-15 1.81686814E-15 4.69694059E-15 2.22974902E-16 5.79535754E-16
SI-stem    2.08363052E-17 2.23343402E-16 2.23343402E-16 1.17692680E-15 5.29262981E-15 1.93350658E-15 2.16486087E-15 1.82391771E-15 1.92950114E-17 1.90402654E-17 1.90402654E-17 2.84065891E-17 1.58559396E-16 1.58559396E-16 1.85067406E-16 1.85067406E-16 1.85067406E-16 1.00281828E-16 6.94575551E-16 1.58812540E-15 2.64871817E-16 2.64871817E-16 2.93727015E-16 2.93727015E-16 1.38943949E-15 5.82519327E-16 2.50243946E-15 3.33989710E-16 6.66997117E-16
RC-stem    2.83937717E-17 1.93751203E-16 1.93751203E-16 5.42785350E-16 2.22942858E-15 1.51231041E-14 1.10984367E-15 3.20307123E-16 2.61234876E-17 2.58399024E-17 2.58399024E-17 3.86140555E-17 1.62668979E-16 1.62668979E-16 1.96875447E-16 1.96875447E-16 1.96875447E-16 1.10720008E-16 7.16701608E-16 3.63197388E-16 2.11839775E-16 2.11839775E-16 2.40727017E-16 2.40727017E-16 1.70775992E-15 1.46727323E-15 2.29015107E-15 3.25241827E-16 5.77910194E-16
LC-stem    3.69862442E-17 3.05791404E-16 3.05791404E-16 3.07585842E-15 3.78257847E-15 1.01683733E-15 1.68725206E-14 8.38659282E-16 3.48361234E-17 3.42753616E-17 3.42753616E-17 5.03660200E-17 2.97251804E-16 2.97251804E-16 3.28253919E-16 3.28253919E-16 3.28253919E-16 1.55834094E-16 6.82959771E-16 2.06953137E-16 1.70423513E-16 1.70423513E-16 2.35648118E-16 2.35648118E-16 1.43401204E-15 5.55426523E-16 1.89056825E-15 2.73683788E-16 6.15453424E-16
RS-stem    4.74068001E-18 3.17006640E-17 3.17006640E-17 1.01981738E-16 6.20875432E-16 2.34318311E-16 2.26852169E-16 1.82151445E-14 4.69982451E-18 4.19049260E-18 4.19049260E-18 6.10941938E-18 2.88151441E-17 2.88151441E-17 3.24088260E-17 3.24088260E-17 3.24088260E-17 1.95801988E-17 4.76439222E-16 4.99382389E-15 3.87967036E-16 3.87967036E-16 3.84794727E-16 3.84794727E-16 1.81318313E-16 8.42408375E-17 1.65520853E-16 4.43017820E-16 6.27354398E-16
ET1-bas    5.74171988E-15 1.93799268E-16 1.93799268E-16 5.24792908E-17 2.53768734E-17 2.92829797E-17 3.77296541E-17 5.74428336E-18 1.01339265E-12 8.42119983E-15 8.42119983E-15 1.10609458E-15 1.69077685E-16 1.69077685E-16 1.17204017E-16 1.17204017E-16 1.17204017E-16 2.01281432E-16 7.24392055E-17 4.03588257E-18 5.89280512E-16 5.89280512E-16 2.86517221E-16 2.86517221E-16 2.85603981E-17 5.94824043E-17 3.88655972E-17 8.38867565E-17 3.21544441E-16
ET2-bas    1.13466139E-14 2.59280221E-15 2.59280221E-15 6.77416240E-17 2.80364863E-17 3.06688623E-17 3.83304703E-17 6.66713702E-18 8.36079778E-15 7.72761763E-14 9.30095494E-14 2.69181672E-14 6.07513280E-16 6.07513280E-16 2.53640560E-16 2.53640560E-16 2.53640560E-16 1.35707553E-15 1.05150843E-16 3.57157182E-18 7.18159589E-16 7.18159589E-16 4.27284447E-16 4.27284447E-16 3.67571330E-17 7.74780506E-17 4.18504520E-17 2.69293824E-16 4.45351666E-16
LN-ET      8.65784130E-15 4.41223383E-15 4.41223383E-15 1.06041653E-16 3.08515104E-17 4.11871510E-17 5.93526280E-17 7.64302271E-18 1.18846247E-15 2.70431369E-14 2.70431369E-14 2.90746967E-13 1.39829953E-15 1.39829953E-15 4.42601255E-16 4.42601255E-16 4.42601255E-16 3.39581306E-15 3.44403858E-16 6.31658080E-18 4.92204639E-16 4.92204639E-16 4.62083721E-16 4.62083721E-16 5.54897805E-17 1.15803714E-16 6.53111223E-17 3.60073144E-16 3.79850219E-16
Bronch-bas 2.36144792E-16 3.08899627E-15 3.08899627E-15 1.00530166E-15 2.84818914E-16 2.21100355E-16 3.69125441E-16 4.16726104E-17 1.44505104E-16 2.71024175E-16 2.71024175E-16 4.79996054E-16 6.98084317E-14 7.68035343E-14 5.17919571E-15 4.64775377E-15 4.63942245E-15 7.71480022E-15 9.49674091E-16 2.70719761E-17 3.51068912E-16 3.51068912E-16 3.27420787E-16 3.27420787E-16 3.44868489E-16 9.24535942E-16 4.75590068E-16 2.67515408E-16 4.71003286E-16
Bronch-sec 2.36144792E-16 3.08899627E-15 3.08899627E-15 1.00530166E-15 2.84818914E-16 2.21100355E-16 3.69125441E-16 4.16726104E-17 1.44505104E-16 2.71024175E-16 2.71024175E-16 4.79996054E-16 9.46357586E-14 6.95937401E-14 5.17919571E-15 4.64775377E-15 4.63926224E-15 7.71480022E-15 9.49674091E-16 2.70719761E-17 3.51068912E-16 3.51068912E-16 3.27420787E-16 3.27420787E-16 3.44868489E-16 9.24535942E-16 4.75590068E-16 2.67515408E-16 4.70622606E-16
Bchiol-sec 2.07401746E-16 2.17399328E-15 2.17399328E-15 1.00281828E-15 3.05214621E-16 2.37490621E-16 3.67987896E-16 4.35167156E-17 1.19777112E-16 2.53656581E-16 2.53656581E-16 4.46254217E-16 4.22333722E-15 4.22333722E-15 1.67299269E-14 1.42172335E-14 4.88183176E-15 2.89673509E-15 9.49674091E-16 2.96002106E-17 4.63269331E-16 4.63269331E-16 3.91091280E-16 3.91091280E-16 4.23743637E-16 1.12333400E-15 5.14619088E-16 3.03820727E-16 4.48215385E-16
AI         2.07401746E-16 2.17399328E-15 2.17399328E-15 1.00281828E-15 3.05214621E-16 2.37490621E-16 3.67987896E-16 4.35167156E-17 1.19777112E-16 2.53656581E-16 2.53656581E-16 4.46254217E-16 4.22333722E-15 4.22333722E-15 5.17919571E-15 5.17919571E-15 5.79523257E-15 2.89673509E-15 1.50468405E-15 2.96002106E-17 4.63269331E-16 4.63269331E-16 3.91091280E-16 3.91091280E-16 4.23743637E-16 1.12333400E-15 5.14619088E-16 3.03820727E-16 4.34320573E-16
LN-Th      5.31586137E-16 1.17936211E-14 1.17936211E-14 4.77817094E-16 1.61627564E-16 1.27608551E-16 1.71913537E-16 2.59248177E-17 1.97163838E-16 1.36479802E-15 1.36479802E-15 3.33733362E-15 1.14699815E-14 1.14699815E-14 2.83889652E-15 2.83889652E-15 2.83889652E-15 1.69446185E-13 7.76094290E-16 1.53781706E-17 5.65712496E-16 5.65712496E-16 3.96042006E-16 3.96042006E-16 2.39861842E-16 5.31730333E-16 2.84017826E-16 2.78394186E-16 4.83631860E-16
R-marrow   5.01208870E-16 1.23766531E-15 1.23766531E-15 4.82912015E-16 6.18167754E-16 4.60673805E-16 4.24688921E-16 8.00944048E-16 2.43626957E-16 5.42352763E-16 5.42352763E-16 6.14002095E-16 7.30272043E-16 7.30272043E-16 7.57172586E-16 7.57172586E-16 7.57172586E-16 1.04086998E-15 1.62412630E-15 8.17750879E-16 7.36007835E-16 7.31297436E-16 1.63454045E-15 9.52654139E-16 7.15131475E-16 5.95577066E-16 6.96065575E-16 3.97147508E-16 5.27069922E-16
Endost-BS  5.04797746E-16 4.64807421E-16 4.64807421E-16 1.85435907E-16 2.56636630E-16 1.96506946E-16 1.76207370E-16 4.12223988E-16 3.37658695E-16 5.26186802E-16 5.26186802E-16 3.73082817E-16 2.80781429E-16 2.80781429E-16 2.88327681E-16 2.88327681E-16 2.88327681E-16 3.93943155E-16 6.56411707E-16 4.57020843E-16 7.03547739E-16 6.40021441E-16 1.45227685E-14 1.18399240E-15 2.79515710E-16 2.26483668E-16 2.61379072E-16 3.18400533E-16 4.17419656E-16
Brain      1.36503835E-15 1.44985757E-16 1.44985757E-16 2.32716135E-17 1.04748697E-17 1.21073273E-17 1.40594191E-17 2.24128469E-18 1.29018466E-15 2.41303801E-15 2.41303801E-15 6.74580388E-16 9.55730318E-17 9.55730318E-17 7.94150819E-17 7.94150819E-17 7.94150819E-17 1.49539142E-16 2.06280223E-16 1.52823604E-18 6.31129362E-16 6.31129362E-16 4.98501192E-16 4.98501192E-16 1.51202202E-17 2.94095516E-17 1.54435394E-17 8.70830986E-17 6.50922398E-16
Eye-lens   3.19922601E-15 1.51058006E-16 1.51058006E-16 5.02618786E-17 1.63277806E-17 1.43551809E-17 4.17863650E-17 2.32491830E-18 1.12812451E-14 5.13882086E-15 5.13882086E-15 8.94879655E-16 1.40868163E-16 1.40868163E-16 1.04937753E-16 1.04937753E-16 1.04937753E-16 1.40574965E-16 6.08506630E-17 0.00000000E+00 5.55602762E-16 5.55602762E-16 3.55218549E-16 3.55218549E-16 1.60554106E-17 3.17759663E-17 2.78650535E-17 9.32899303E-17 3.49362161E-16
P-gland    3.88479733E-15 1.82968555E-16 1.82968555E-16 2.57325566E-17 6.22782022E-18 4.21372416E-18 2.50532337E-17 0.00000000E+00 2.60818310E-15 1.96763294E-14 1.96763294E-14 1.40333036E-15 1.42981434E-16 1.42981434E-16 8.62067081E-17 8.62067081E-17 8.62083102E-17 2.09564684E-16 1.13086423E-16 2.87814984E-19 7.64927120E-16 7.64927120E-16 5.10293211E-16 5.10293211E-16 1.98621819E-17 4.81758448E-17 2.64711599E-17 1.40456404E-16 6.69678899E-16
Tongue     6.11967331E-14 6.80764789E-16 6.80764789E-16 7.38507230E-17 2.93198297E-17 3.37770847E-17 4.24112138E-17 7.03627848E-18 4.59984869E-15 1.07134337E-14 1.07134337E-14 9.78176811E-15 3.48537473E-16 3.48537473E-16 2.27140561E-16 2.27140561E-16 2.27140561E-16 6.02081902E-16 3.83673203E-16 4.58078279E-18 6.61138127E-16 6.61138127E-16 5.86172290E-16 5.86172290E-16 3.51373325E-17 8.08426212E-17 4.69662015E-17 2.72722482E-16 4.13144805E-16
Tonsils    9.78721551E-15 4.08026286E-16 4.08026286E-16 4.13617882E-17 2.22382096E-17 1.88111541E-17 2.35519944E-17 5.15500285E-18 2.07770247E-15 1.54336059E-14 1.54336059E-14 3.28526289E-15 2.29191346E-16 2.29191346E-16 1.51269493E-16 1.51269493E-16 1.51269493E-16 4.00335839E-16 9.88558914E-17 1.14755891E-18 9.96601840E-16 9.96601840E-16 5.06896597E-16 5.06896597E-16 2.32379678E-17 5.14106391E-17 3.26171089E-17 2.91163533E-16 5.38854968E-16
S-glands   3.93302284E-15 7.31297436E-16 7.31297436E-16 6.59455842E-17 2.67243038E-17 2.90859119E-17 3.83432877E-17 5.86412616E-18 1.13267469E-15 3.72666251E-15 3.72666251E-15 6.00031116E-15 3.47544124E-16 3.47544124E-16 2.43915348E-16 2.43915348E-16 2.43915348E-16 6.28213401E-16 9.21780198E-17 3.88495755E-18 5.82086739E-16 5.82086739E-16 3.95176831E-16 3.95176831E-16 3.86797447E-17 7.72297132E-17 4.11246661E-17 2.73267222E-16 4.34079398E-16
Thyroid    1.06131375E-15 9.34036848E-15 9.34036848E-15 1.89457370E-16 7.32483046E-17 6.83248163E-17 9.27836425E-17 1.20235334E-17 3.49386627E-16 2.68156279E-15 2.68156279E-15 6.07144780E-15 4.58847324E-15 4.58847324E-15 1.24330498E-15 1.24330498E-15 1.24330498E-15 1.47350569E-14 5.42288676E-16 9.01176209E-18 5.09668362E-16 5.09668362E-16 3.56644486E-16 3.56644486E-16 9.83592167E-17 2.19626353E-16 1.15262179E-16 3.47480037E-16 4.90735795E-16
Breast     1.74797455E-16 4.81838557E-16 4.81838557E-16 1.02311786E-15 3.05390860E-16 3.14699506E-16 4.62195873E-16 4.50916551E-17 1.56627171E-16 1.46942014E-16 1.46942014E-16 2.17495458E-16 1.17381858E-15 1.17381858E-15 1.09894887E-15 1.09894887E-15 1.09894887E-15 4.73667457E-16 3.32707969E-16 2.95761780E-17 1.30678321E-16 1.30678321E-16 1.90450719E-16 1.90450719E-16 2.89417161E-16 9.19264781E-16 5.09572232E-16 1.95769945E-16 4.22085457E-16
Thymus     5.42000284E-16 4.44780215E-15 4.44780215E-15 3.46230339E-16 1.20632674E-16 1.16149784E-16 1.41284729E-16 1.96955556E-17 2.53015711E-16 9.30848517E-16 9.30848517E-16 1.82840381E-15 4.88840068E-15 4.88840068E-15 2.31081915E-15 2.31081915E-15 2.31081915E-15 1.02305377E-14 2.46190439E-16 1.45775630E-17 5.14090369E-16 5.14090369E-16 3.78674413E-16 3.78674413E-16 1.49223514E-16 3.74092188E-16 2.01633911E-16 2.61523268E-16 5.51674569E-16
Ht-wall    1.73691953E-16 5.16573743E-15 5.16573743E-15 2.92797753E-15 4.94559838E-16 3.02619095E-16 5.80356389E-16 5.60585531E-17 1.12248485E-16 2.03476414E-16 2.03476414E-16 3.50027497E-16 4.16726104E-15 4.16726104E-15 2.68364562E-15 2.68364562E-15 2.68364562E-15 4.76262983E-15 1.93558941E-15 3.64975804E-17 3.09700715E-16 3.09700715E-16 2.79659906E-16 2.79659906E-16 5.12920781E-16 1.30973121E-15 8.93485762E-16 2.29928348E-16 5.36578530E-16
Adrenals   4.71408388E-17 9.83463993E-16 9.83463993E-16 2.02723391E-15 1.68196488E-15 8.50275062E-16 1.11676508E-15 1.46480588E-16 3.50556215E-17 5.36184383E-17 5.36184383E-17 8.45484554E-17 5.33092183E-16 5.33092183E-16 7.37273554E-16 7.37273554E-16 7.37273554E-16 4.03860627E-16 1.02002566E-15 9.87549543E-17 3.70999987E-16 3.70999987E-16 3.56067702E-16 3.56067702E-16 9.46069194E-15 2.67851865E-15 2.68092192E-15 2.91612142E-16 5.70075164E-16
Liver      7.90017204E-17 1.15890232E-15 1.15890232E-15 1.54674118E-15 9.20979110E-16 1.89905979E-15 7.33364243E-16 1.05339900E-16 6.46974887E-17 7.79843383E-17 7.79843383E-17 1.19834790E-16 8.36031713E-16 8.36031713E-16 1.13448515E-15 1.13448515E-15 1.13448515E-15 5.14074348E-16 1.04412239E-15 8.38979717E-17 2.48433486E-16 2.48433486E-16 2.81758757E-16 2.81758757E-16 1.71208579E-15 6.37666242E-15 2.90795032E-15 2.39845820E-16 3.44569923E-16
Pancreas   4.87029609E-17 7.86844895E-16 7.86844895E-16 3.44451923E-15 4.89817396E-15 3.00888744E-15 2.64983969E-15 2.30953741E-16 4.05286564E-17 4.45356998E-17 4.45356998E-17 6.80428332E-17 4.38003008E-16 4.38003008E-16 5.15564372E-16 5.15564372E-16 5.15564372E-16 2.80589168E-16 1.03229833E-15 1.56327564E-16 2.50035663E-16 2.50035663E-16 2.71216436E-16 2.71216436E-16 2.46510874E-15 2.92637535E-15 4.08090373E-14 2.22782641E-16 5.14616871E-16
Kidneys    3.60569818E-17 4.88872111E-16 4.88872111E-16 1.27578109E-15 2.38163535E-15 1.61339172E-15 1.51803018E-15 2.38692253E-16 2.88359724E-17 3.58871511E-17 3.58871511E-17 5.60345205E-17 3.17198901E-16 3.17198901E-16 4.16501800E-16 4.16501800E-16 4.16501800E-16 2.30376957E-16 8.49922583E-16 1.59535122E-16 2.78954948E-16 2.78954948E-16 3.13193460E-16 3.13193460E-16 1.82279619E-14 1.71384819E-15 2.45565590E-15 3.24809239E-16 4.71615088E-16
Spleen     6.84497861E-17 1.05841381E-15 1.05841381E-15 3.30609118E-15 1.29858006E-15 2.66682276E-16 2.13762387E-15 1.16954077E-16 4.74292305E-17 7.53375428E-17 7.53375428E-17 1.18854258E-16 8.79546826E-16 8.79546826E-16 1.41486603E-15 1.41486603E-15 1.41486603E-15 5.47079183E-16 9.29999364E-16 6.52967027E-17 3.21829191E-16 3.21829191E-16 3.50107606E-16 3.50107606E-16 2.33885724E-15 5.72041093E-16 1.06584791E-15 2.93470667E-16 6.07769125E-16
GB-wall    5.64687103E-17 7.09652031E-16 7.09652031E-16 1.22936604E-15 1.83000598E-15 5.40253911E-15 9.63132373E-16 1.54930466E-16 5.25818301E-17 5.19601856E-17 5.19601856E-17 8.26835220E-17 4.94015098E-16 4.94015098E-16 5.96137827E-16 5.96137827E-16 5.96137827E-16 3.11030521E-16 3.04253315E-16 1.23990836E-16 2.09468554E-16 2.09468554E-16 2.45918069E-16 2.45918069E-16 2.13682278E-15 6.36544718E-15 1.04141472E-14 2.16822544E-16 4.39433411E-16
Ureters    1.56662419E-17 1.77937721E-16 1.77937721E-16 6.11198286E-16 3.01930159E-15 1.56515019E-15 9.85739084E-16 1.60842498E-15 1.63902655E-17 1.58552987E-17 1.58552987E-17 2.47744550E-17 1.28835818E-16 1.28835818E-16 1.56846669E-16 1.56846669E-16 1.56846669E-16 8.70702812E-17 2.28758759E-16 2.36833728E-15 3.91571933E-16 3.91571933E-16 4.21436503E-16 4.21436503E-16 2.29399629E-15 5.25545931E-16 1.67555617E-15 3.88127254E-16 7.42998400E-16
UB-wall    4.42024471E-18 2.61459181E-17 2.61459181E-17 8.06087034E-17 5.76543209E-16 2.55242736E-16 1.49462238E-16 3.25706458E-15 4.65848835E-18 3.97163529E-18 3.97163529E-18 5.51565277E-18 2.40694974E-17 2.40694974E-17 2.83745456E-17 2.83745456E-17 2.83745456E-17 1.63197697E-17 3.06127861E-16 2.04005132E-14 3.93879068E-16 3.93879068E-16 4.87318000E-16 4.87318000E-16 1.47784759E-16 7.82198583E-17 1.42928562E-16 4.43418365E-16 6.36587343E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     1.27169554E-18 5.43938917E-18 5.43938917E-18 1.70743948E-17 6.05206146E-17 4.26227011E-17 3.04557728E-17 2.74853376E-16 1.57550025E-18 8.55017504E-19 8.55017504E-19 1.58804529E-18 5.49594600E-18 5.49594600E-18 7.36168052E-18 7.36168052E-18 7.36168052E-18 4.24608813E-18 2.06472484E-16 6.32667451E-16 1.41539475E-16 1.41539475E-16 1.38229379E-16 1.38229379E-16 2.74020245E-17 1.55505648E-17 2.52919580E-17 4.40870904E-16 5.46621051E-16
Prostate   3.50395998E-18 1.76463718E-17 1.76463718E-17 5.05086138E-17 2.45100959E-16 1.49084124E-16 8.89207950E-17 1.57107824E-15 3.41776288E-18 2.01537780E-18 2.01537780E-18 3.36296845E-18 1.59208278E-17 1.59208278E-17 1.92950114E-17 1.92950114E-17 1.92950114E-17 1.07776810E-17 1.08012330E-16 8.78249063E-15 4.01777798E-16 4.01777798E-16 4.68860927E-16 4.68860927E-16 9.55858492E-17 4.77464615E-17 8.44667444E-17 5.48505120E-16 6.57048124E-16
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
