   T           wT
O-mucosa    0.00923076923076923
Oesophagus  0.04
St-stem     0.12
SI-stem     0.00923076923076923
RC-stem     0.048
LC-stem     0.048
RS-stem     0.024
ET1-bas     0.00000923076923076923
ET2-bas     0.00922153846153846
LN-ET       0.000738461538461538
Bronch-bas  0.02
Bronch-sec  0.02
Bchiol-sec  0.04
AI          0.04
LN-Th       0.000738461538461538
R-marrow    0.12
Endost-BS   0.01
Brain       0.01
Eye-lens    0.00
P-gland     0.00
Tongue      0.00
Tonsils     0.00
S-glands    0.01
Thyroid     0.04
Breast      0.12
Thymus      0.00923076923076923
Ht-wall     0.00923076923076923
Adrenals    0.00923076923076923
Liver       0.04
Pancreas    0.00923076923076923
Kidneys     0.00923076923076923
Spleen      0.00923076923076923
GB-wall     0.00923076923076923
Ureters     0.0
UB-wall     0.04
Ovaries     0.08
Testes      0.08
Prostate    0.00923076923076923
Uterus      0.00923076923076923
LN-Sys      0.00775384615384615
Skin        0.01
Adipose     0.00
Muscle      0.00923076923076923
