  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   2.60497875E-13 2.55659302E-15 2.55659302E-15 3.05166555E-16 1.25083521E-16 1.45094705E-16 1.90530828E-16 3.27805309E-17 2.44604284E-14 4.81405969E-14 4.81405969E-14 3.65344304E-14 1.37005316E-15 1.37005316E-15 9.17806801E-16 9.17806801E-16 9.17806801E-16 2.29223390E-15 1.69334033E-15 3.48537473E-16 2.85748176E-15 2.85748176E-15 7.94198885E-17 2.42489411E-15 2.42489411E-15 1.55797244E-15 1.52810787E-16 0.00000000E+00 4.76006634E-18 7.22341269E-17 2.03764806E-17 1.73365500E-15
Oesophagus 2.56380281E-15 8.90986366E-13 2.21212508E-13 6.48657173E-15 1.64159003E-15 1.00270613E-15 1.52477534E-15 1.84154165E-16 8.68700091E-16 1.09909307E-14 1.09909307E-14 1.88399933E-14 1.88447998E-14 1.88447998E-14 8.94206741E-15 8.94206741E-15 8.94206741E-15 4.98148713E-14 5.05054094E-15 4.92412922E-15 2.55434997E-15 2.55434997E-15 3.28430158E-16 1.76335544E-15 1.76335544E-15 2.68540801E-15 2.09772967E-15 0.00000000E+00 2.94736387E-17 7.74684375E-16 1.21848726E-16 1.90789743E-15
St-stem    3.02555008E-16 6.99125732E-15 6.99125732E-15 6.84417752E-14 1.01472246E-14 4.00512078E-15 1.74957672E-14 6.93566179E-16 2.60754223E-16 3.02106398E-16 3.02106398E-16 4.59728521E-16 3.51517521E-15 3.51517521E-15 4.00784448E-15 4.00784448E-15 4.00784448E-15 1.87006040E-15 4.63253309E-15 7.70438607E-15 8.65063151E-16 8.65063151E-16 3.50476107E-16 9.58678323E-16 9.58678323E-16 1.11698938E-15 5.36136318E-15 0.00000000E+00 8.50355170E-17 2.71600958E-15 4.12047749E-16 1.85104868E-15
SI-stem    9.34789871E-17 9.56755711E-16 9.56755711E-16 4.99350346E-15 2.32283547E-14 8.19737578E-15 9.17678626E-15 7.73707047E-15 8.64534432E-17 8.58862728E-17 8.58862728E-17 1.26442166E-16 6.84417752E-16 6.84417752E-16 7.96554084E-16 7.96554084E-16 7.96554084E-16 4.35151134E-16 3.31650533E-15 2.48257247E-15 1.12975873E-15 1.12975873E-15 2.35343704E-16 1.25272577E-15 1.25272577E-15 1.72602473E-15 5.89584925E-15 0.00000000E+00 5.05406573E-16 1.53273816E-14 6.73474886E-15 2.25356323E-15
RC-stem    1.26741773E-16 8.34685884E-16 8.34685884E-16 2.31802894E-15 9.44659279E-15 6.34125432E-14 4.71600649E-15 1.37618949E-15 1.16641653E-16 1.15826145E-16 1.15826145E-16 1.71080405E-16 7.04541088E-16 7.04541088E-16 8.49217625E-16 8.49217625E-16 8.49217625E-16 4.81165643E-16 3.41135418E-15 6.23374828E-15 9.08305894E-16 9.08305894E-16 2.51349447E-16 1.02891774E-15 1.02891774E-15 1.26911604E-15 7.24952817E-15 0.00000000E+00 2.56556521E-16 7.62267507E-15 1.55669070E-15 2.05776542E-15
LC-stem    1.62797153E-16 1.31200630E-15 1.31200630E-15 1.30373907E-14 1.60297758E-14 4.32283238E-15 7.03836131E-14 3.57301378E-15 1.53232159E-16 1.51612359E-16 1.51612359E-16 2.21436812E-16 1.27443526E-15 1.27443526E-15 1.40352262E-15 1.40352262E-15 1.40352262E-15 6.73827365E-16 3.27372722E-15 2.36801685E-15 7.31281414E-16 7.31281414E-16 3.23527498E-16 1.00720825E-15 1.00720825E-15 1.06685728E-15 6.08009955E-15 0.00000000E+00 1.63870611E-16 4.32924109E-15 8.93886306E-16 2.02487448E-15
RS-stem    2.20507550E-17 1.39849179E-16 1.39849179E-16 4.47584023E-16 2.64423207E-15 1.01086121E-15 9.75068588E-16 7.59175307E-14 2.21100355E-17 2.01585846E-17 2.01585846E-17 2.84065891E-17 1.29271610E-16 1.29271610E-16 1.44143012E-16 1.44143012E-16 1.44143012E-16 8.81469438E-17 2.38916558E-15 3.67587351E-16 1.64783852E-15 1.64783852E-15 2.65112143E-16 1.63934698E-15 1.63934698E-15 2.31722785E-15 7.87309526E-16 0.00000000E+00 1.83064685E-15 6.07080693E-15 2.11295035E-14 2.39271101E-15
ET1-bas    2.43675022E-14 8.48192232E-16 8.48192232E-16 2.31065893E-16 1.11905619E-16 1.28685213E-16 1.65120309E-16 2.60081309E-17 3.98461292E-11 3.57782031E-14 3.57782031E-14 4.73234869E-15 7.26554993E-16 7.26554993E-16 5.11895388E-16 5.11895388E-16 5.11895388E-16 8.72993924E-16 3.69942551E-16 2.60017222E-16 2.52342797E-15 2.52342797E-15 6.65464004E-17 1.22805226E-15 1.22805226E-15 7.74187700E-16 1.28869464E-16 0.00000000E+00 4.80252402E-18 6.40229724E-17 1.90707067E-17 9.37777258E-16
ET2-bas    4.80156271E-14 1.10013448E-14 1.10013448E-14 2.95617584E-16 1.25926265E-16 1.36556706E-16 1.69878773E-16 3.15116071E-17 3.55378767E-14 1.31722940E-12 2.44908698E-12 1.15156435E-13 2.59824961E-15 2.59824961E-15 1.09300480E-15 1.09300480E-15 1.09300480E-15 5.75501794E-15 5.16061046E-16 3.41039287E-16 3.05294730E-15 3.05294730E-15 8.10348824E-17 1.82007249E-15 1.82007249E-15 1.53876234E-15 1.62797153E-16 0.00000000E+00 4.26130880E-18 6.60128756E-17 1.65488809E-17 1.58203716E-15
LN-ET      3.66626046E-14 1.86733670E-14 1.86733670E-14 4.53960686E-16 1.42132281E-16 1.84907188E-16 2.58238806E-16 3.93446480E-17 5.10357298E-15 1.15020250E-13 1.15020250E-13 1.70679861E-12 5.92052277E-15 5.92052277E-15 1.88111541E-15 1.88111541E-15 1.88111541E-15 1.43116017E-14 1.47232008E-15 5.05054094E-16 2.10173512E-15 2.10173512E-15 9.94406858E-17 1.96474903E-15 1.96474903E-15 1.64223090E-15 2.45453438E-16 0.00000000E+00 7.61306201E-18 1.16231495E-16 2.86196786E-17 1.57284105E-15
